"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Pima County, AZ"	"04019"	"25-34 years"	"25-34"	"2007"	"2007"	15	125489	Unreliable
	"Pima County, AZ"	"04019"	"25-34 years"	"25-34"	"2008"	"2008"	11	125930	Unreliable
	"Pima County, AZ"	"04019"	"25-34 years"	"25-34"	"2009"	"2009"	28	126406	22.2
	"Pima County, AZ"	"04019"	"25-34 years"	"25-34"	"2010"	"2010"	34	126173	26.9
	"Pima County, AZ"	"04019"	"25-34 years"	"25-34"	"2011"	"2011"	30	128565	23.3
	"Pima County, AZ"	"04019"	"35-44 years"	"35-44"	"2007"	"2007"	30	120097	25.0
	"Pima County, AZ"	"04019"	"35-44 years"	"35-44"	"2008"	"2008"	20	118729	16.8
	"Pima County, AZ"	"04019"	"35-44 years"	"35-44"	"2009"	"2009"	36	116708	30.8
	"Pima County, AZ"	"04019"	"35-44 years"	"35-44"	"2010"	"2010"	26	115795	22.5
	"Pima County, AZ"	"04019"	"35-44 years"	"35-44"	"2011"	"2011"	37	115226	32.1
	"Pima County, AZ"	"04019"	"45-54 years"	"45-54"	"2007"	"2007"	23	131560	17.5
	"Pima County, AZ"	"04019"	"45-54 years"	"45-54"	"2008"	"2008"	31	132257	23.4
	"Pima County, AZ"	"04019"	"45-54 years"	"45-54"	"2009"	"2009"	40	132021	30.3
	"Pima County, AZ"	"04019"	"45-54 years"	"45-54"	"2010"	"2010"	38	131528	28.9
	"Pima County, AZ"	"04019"	"45-54 years"	"45-54"	"2011"	"2011"	32	129769	24.7
	"Pima County, AZ"	"04019"	"55-64 years"	"55-64"	"2009"	"2009"	15	119810	Unreliable
	"Pima County, AZ"	"04019"	"55-64 years"	"55-64"	"2010"	"2010"	22	122367	18.0
	"Pima County, AZ"	"04019"	"55-64 years"	"55-64"	"2011"	"2011"	16	126405	Unreliable
	"Pinal County, AZ"	"04021"	"45-54 years"	"45-54"	"2009"	"2009"	15	41707	Unreliable
	"Yavapai County, AZ"	"04025"	"45-54 years"	"45-54"	"2009"	"2009"	13	30497	Unreliable
	"Alameda County, CA"	"06001"	"45-54 years"	"45-54"	"2007"	"2007"	10	215481	Unreliable
	"Alameda County, CA"	"06001"	"45-54 years"	"45-54"	"2009"	"2009"	11	221319	Unreliable
	"Alameda County, CA"	"06001"	"45-54 years"	"45-54"	"2010"	"2010"	14	222617	Unreliable
	"Alameda County, CA"	"06001"	"45-54 years"	"45-54"	"2011"	"2011"	14	222821	Unreliable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"2011"	"2011"	16	181234	Unreliable
	"Contra Costa County, CA"	"06013"	"35-44 years"	"35-44"	"2007"	"2007"	10	153366	Unreliable
	"Contra Costa County, CA"	"06013"	"35-44 years"	"35-44"	"2008"	"2008"	12	151716	Unreliable
	"Contra Costa County, CA"	"06013"	"45-54 years"	"45-54"	"2008"	"2008"	19	160015	Unreliable
	"Contra Costa County, CA"	"06013"	"45-54 years"	"45-54"	"2009"	"2009"	12	162859	Unreliable
	"Contra Costa County, CA"	"06013"	"45-54 years"	"45-54"	"2011"	"2011"	10	164699	Unreliable
	"Contra Costa County, CA"	"06013"	"55-64 years"	"55-64"	"2007"	"2007"	10	115850	Unreliable
	"Contra Costa County, CA"	"06013"	"55-64 years"	"55-64"	"2008"	"2008"	14	119600	Unreliable
	"Fresno County, CA"	"06019"	"25-34 years"	"25-34"	"2009"	"2009"	15	131610	Unreliable
	"Fresno County, CA"	"06019"	"35-44 years"	"35-44"	"2007"	"2007"	14	115567	Unreliable
	"Fresno County, CA"	"06019"	"35-44 years"	"35-44"	"2008"	"2008"	13	115179	Unreliable
	"Fresno County, CA"	"06019"	"35-44 years"	"35-44"	"2009"	"2009"	10	114543	Unreliable
	"Fresno County, CA"	"06019"	"35-44 years"	"35-44"	"2010"	"2010"	16	114369	Unreliable
	"Fresno County, CA"	"06019"	"35-44 years"	"35-44"	"2011"	"2011"	10	114872	Unreliable
	"Fresno County, CA"	"06019"	"45-54 years"	"45-54"	"2007"	"2007"	29	111410	26.0
	"Fresno County, CA"	"06019"	"45-54 years"	"45-54"	"2008"	"2008"	29	113275	25.6
	"Fresno County, CA"	"06019"	"45-54 years"	"45-54"	"2009"	"2009"	20	114278	17.5
	"Fresno County, CA"	"06019"	"45-54 years"	"45-54"	"2010"	"2010"	24	115052	20.9
	"Fresno County, CA"	"06019"	"45-54 years"	"45-54"	"2011"	"2011"	27	115345	23.4
	"Fresno County, CA"	"06019"	"55-64 years"	"55-64"	"2009"	"2009"	11	85803	Unreliable
	"Fresno County, CA"	"06019"	"55-64 years"	"55-64"	"2010"	"2010"	15	88854	Unreliable
	"Fresno County, CA"	"06019"	"55-64 years"	"55-64"	"2011"	"2011"	10	92681	Unreliable
	"Kern County, CA"	"06029"	"25-34 years"	"25-34"	"2008"	"2008"	11	117795	Unreliable
	"Kern County, CA"	"06029"	"35-44 years"	"35-44"	"2007"	"2007"	11	109831	Unreliable
	"Kern County, CA"	"06029"	"35-44 years"	"35-44"	"2009"	"2009"	12	108318	Unreliable
	"Kern County, CA"	"06029"	"45-54 years"	"45-54"	"2007"	"2007"	16	103969	Unreliable
	"Kern County, CA"	"06029"	"45-54 years"	"45-54"	"2008"	"2008"	24	106355	22.6
	"Kern County, CA"	"06029"	"45-54 years"	"45-54"	"2009"	"2009"	14	107847	Unreliable
	"Kern County, CA"	"06029"	"45-54 years"	"45-54"	"2011"	"2011"	12	108206	Unreliable
	"Kern County, CA"	"06029"	"55-64 years"	"55-64"	"2009"	"2009"	10	74495	Unreliable
	"Kern County, CA"	"06029"	"55-64 years"	"55-64"	"2010"	"2010"	11	77285	Unreliable
	"Los Angeles County, CA"	"06037"	"15-24 years"	"15-24"	"2007"	"2007"	18	1468863	Unreliable
	"Los Angeles County, CA"	"06037"	"15-24 years"	"15-24"	"2008"	"2008"	15	1483593	Unreliable
	"Los Angeles County, CA"	"06037"	"15-24 years"	"15-24"	"2009"	"2009"	21	1498872	1.4
	"Los Angeles County, CA"	"06037"	"15-24 years"	"15-24"	"2010"	"2010"	38	1506418	2.5
	"Los Angeles County, CA"	"06037"	"15-24 years"	"15-24"	"2011"	"2011"	26	1502269	1.7
	"Los Angeles County, CA"	"06037"	"25-34 years"	"25-34"	"2007"	"2007"	32	1482639	2.2
	"Los Angeles County, CA"	"06037"	"25-34 years"	"25-34"	"2008"	"2008"	33	1478765	2.2
	"Los Angeles County, CA"	"06037"	"25-34 years"	"25-34"	"2009"	"2009"	41	1478176	2.8
	"Los Angeles County, CA"	"06037"	"25-34 years"	"25-34"	"2010"	"2010"	37	1475731	2.5
	"Los Angeles County, CA"	"06037"	"25-34 years"	"25-34"	"2011"	"2011"	63	1493904	4.2
	"Los Angeles County, CA"	"06037"	"35-44 years"	"35-44"	"2007"	"2007"	60	1480261	4.1
	"Los Angeles County, CA"	"06037"	"35-44 years"	"35-44"	"2008"	"2008"	58	1461350	4.0
	"Los Angeles County, CA"	"06037"	"35-44 years"	"35-44"	"2009"	"2009"	63	1443328	4.4
	"Los Angeles County, CA"	"06037"	"35-44 years"	"35-44"	"2010"	"2010"	47	1430326	3.3
	"Los Angeles County, CA"	"06037"	"35-44 years"	"35-44"	"2011"	"2011"	47	1420986	3.3
	"Los Angeles County, CA"	"06037"	"45-54 years"	"45-54"	"2007"	"2007"	108	1329239	8.1
	"Los Angeles County, CA"	"06037"	"45-54 years"	"45-54"	"2008"	"2008"	81	1345965	6.0
	"Los Angeles County, CA"	"06037"	"45-54 years"	"45-54"	"2009"	"2009"	114	1362368	8.4
	"Los Angeles County, CA"	"06037"	"45-54 years"	"45-54"	"2010"	"2010"	79	1368947	5.8
	"Los Angeles County, CA"	"06037"	"45-54 years"	"45-54"	"2011"	"2011"	75	1370921	5.5
	"Los Angeles County, CA"	"06037"	"55-64 years"	"55-64"	"2007"	"2007"	47	914704	5.1
	"Los Angeles County, CA"	"06037"	"55-64 years"	"55-64"	"2008"	"2008"	45	945350	4.8
	"Los Angeles County, CA"	"06037"	"55-64 years"	"55-64"	"2009"	"2009"	51	981839	5.2
	"Los Angeles County, CA"	"06037"	"55-64 years"	"55-64"	"2010"	"2010"	53	1013156	5.2
	"Los Angeles County, CA"	"06037"	"55-64 years"	"55-64"	"2011"	"2011"	45	1058231	4.3
	"Los Angeles County, CA"	"06037"	"65-74 years"	"65-74"	"2009"	"2009"	12	556136	Unreliable
	"Los Angeles County, CA"	"06037"	"65-74 years"	"65-74"	"2010"	"2010"	10	568470	Unreliable
	"Monterey County, CA"	"06053"	"25-34 years"	"25-34"	"2011"	"2011"	10	63541	Unreliable
	"Orange County, CA"	"06059"	"15-24 years"	"15-24"	"2007"	"2007"	26	422791	6.1
	"Orange County, CA"	"06059"	"15-24 years"	"15-24"	"2008"	"2008"	23	430107	5.3
	"Orange County, CA"	"06059"	"15-24 years"	"15-24"	"2009"	"2009"	29	436700	6.6
	"Orange County, CA"	"06059"	"15-24 years"	"15-24"	"2010"	"2010"	29	441290	6.6
	"Orange County, CA"	"06059"	"15-24 years"	"15-24"	"2011"	"2011"	30	444000	6.8
	"Orange County, CA"	"06059"	"25-34 years"	"25-34"	"2007"	"2007"	21	409423	5.1
	"Orange County, CA"	"06059"	"25-34 years"	"25-34"	"2008"	"2008"	34	410250	8.3
	"Orange County, CA"	"06059"	"25-34 years"	"25-34"	"2009"	"2009"	48	412679	11.6
	"Orange County, CA"	"06059"	"25-34 years"	"25-34"	"2010"	"2010"	45	413528	10.9
	"Orange County, CA"	"06059"	"25-34 years"	"25-34"	"2011"	"2011"	46	421768	10.9
	"Orange County, CA"	"06059"	"35-44 years"	"35-44"	"2007"	"2007"	44	456694	9.6
	"Orange County, CA"	"06059"	"35-44 years"	"35-44"	"2008"	"2008"	64	450187	14.2
	"Orange County, CA"	"06059"	"35-44 years"	"35-44"	"2009"	"2009"	53	443295	12.0
	"Orange County, CA"	"06059"	"35-44 years"	"35-44"	"2010"	"2010"	41	439043	9.3
	"Orange County, CA"	"06059"	"35-44 years"	"35-44"	"2011"	"2011"	38	436962	8.7
	"Orange County, CA"	"06059"	"45-54 years"	"45-54"	"2007"	"2007"	55	424037	13.0
	"Orange County, CA"	"06059"	"45-54 years"	"45-54"	"2008"	"2008"	74	431665	17.1
	"Orange County, CA"	"06059"	"45-54 years"	"45-54"	"2009"	"2009"	63	439573	14.3
	"Orange County, CA"	"06059"	"45-54 years"	"45-54"	"2010"	"2010"	54	444185	12.2
	"Orange County, CA"	"06059"	"45-54 years"	"45-54"	"2011"	"2011"	70	448417	15.6
	"Orange County, CA"	"06059"	"55-64 years"	"55-64"	"2007"	"2007"	28	292450	9.6
	"Orange County, CA"	"06059"	"55-64 years"	"55-64"	"2008"	"2008"	33	300944	11.0
	"Orange County, CA"	"06059"	"55-64 years"	"55-64"	"2009"	"2009"	33	312224	10.6
	"Orange County, CA"	"06059"	"55-64 years"	"55-64"	"2010"	"2010"	32	321854	9.9
	"Orange County, CA"	"06059"	"55-64 years"	"55-64"	"2011"	"2011"	32	338184	9.5
	"Riverside County, CA"	"06065"	"15-24 years"	"15-24"	"2007"	"2007"	10	317243	Unreliable
	"Riverside County, CA"	"06065"	"15-24 years"	"15-24"	"2008"	"2008"	14	324918	Unreliable
	"Riverside County, CA"	"06065"	"15-24 years"	"15-24"	"2009"	"2009"	11	333380	Unreliable
	"Riverside County, CA"	"06065"	"15-24 years"	"15-24"	"2010"	"2010"	13	341697	Unreliable
	"Riverside County, CA"	"06065"	"15-24 years"	"15-24"	"2011"	"2011"	16	349020	Unreliable
	"Riverside County, CA"	"06065"	"25-34 years"	"25-34"	"2007"	"2007"	10	270170	Unreliable
	"Riverside County, CA"	"06065"	"25-34 years"	"25-34"	"2008"	"2008"	14	272127	Unreliable
	"Riverside County, CA"	"06065"	"25-34 years"	"25-34"	"2009"	"2009"	15	275746	Unreliable
	"Riverside County, CA"	"06065"	"25-34 years"	"25-34"	"2010"	"2010"	17	282429	Unreliable
	"Riverside County, CA"	"06065"	"25-34 years"	"25-34"	"2011"	"2011"	13	292198	Unreliable
	"Riverside County, CA"	"06065"	"35-44 years"	"35-44"	"2007"	"2007"	13	296576	Unreliable
	"Riverside County, CA"	"06065"	"35-44 years"	"35-44"	"2008"	"2008"	27	294630	9.2
	"Riverside County, CA"	"06065"	"35-44 years"	"35-44"	"2009"	"2009"	28	292371	9.6
	"Riverside County, CA"	"06065"	"35-44 years"	"35-44"	"2010"	"2010"	25	293305	8.5
	"Riverside County, CA"	"06065"	"35-44 years"	"35-44"	"2011"	"2011"	17	294960	Unreliable
	"Riverside County, CA"	"06065"	"45-54 years"	"45-54"	"2007"	"2007"	29	268469	10.8
	"Riverside County, CA"	"06065"	"45-54 years"	"45-54"	"2008"	"2008"	32	277362	11.5
	"Riverside County, CA"	"06065"	"45-54 years"	"45-54"	"2009"	"2009"	44	286471	15.4
	"Riverside County, CA"	"06065"	"45-54 years"	"45-54"	"2010"	"2010"	35	292738	12.0
	"Riverside County, CA"	"06065"	"45-54 years"	"45-54"	"2011"	"2011"	37	297935	12.4
	"Riverside County, CA"	"06065"	"55-64 years"	"55-64"	"2007"	"2007"	15	186247	Unreliable
	"Riverside County, CA"	"06065"	"55-64 years"	"55-64"	"2008"	"2008"	19	193536	Unreliable
	"Riverside County, CA"	"06065"	"55-64 years"	"55-64"	"2009"	"2009"	26	203696	12.8
	"Riverside County, CA"	"06065"	"55-64 years"	"55-64"	"2010"	"2010"	18	213739	Unreliable
	"Riverside County, CA"	"06065"	"55-64 years"	"55-64"	"2011"	"2011"	21	226493	9.3
	"Sacramento County, CA"	"06067"	"15-24 years"	"15-24"	"2010"	"2010"	10	207588	Unreliable
	"Sacramento County, CA"	"06067"	"25-34 years"	"25-34"	"2007"	"2007"	12	201903	Unreliable
	"Sacramento County, CA"	"06067"	"25-34 years"	"25-34"	"2008"	"2008"	11	203522	Unreliable
	"Sacramento County, CA"	"06067"	"25-34 years"	"25-34"	"2009"	"2009"	16	205436	Unreliable
	"Sacramento County, CA"	"06067"	"25-34 years"	"25-34"	"2010"	"2010"	13	206646	Unreliable
	"Sacramento County, CA"	"06067"	"25-34 years"	"25-34"	"2011"	"2011"	12	211200	Unreliable
	"Sacramento County, CA"	"06067"	"35-44 years"	"35-44"	"2007"	"2007"	18	197646	Unreliable
	"Sacramento County, CA"	"06067"	"35-44 years"	"35-44"	"2008"	"2008"	16	195052	Unreliable
	"Sacramento County, CA"	"06067"	"35-44 years"	"35-44"	"2009"	"2009"	11	192222	Unreliable
	"Sacramento County, CA"	"06067"	"35-44 years"	"35-44"	"2010"	"2010"	11	190835	Unreliable
	"Sacramento County, CA"	"06067"	"35-44 years"	"35-44"	"2011"	"2011"	15	190418	Unreliable
	"Sacramento County, CA"	"06067"	"45-54 years"	"45-54"	"2007"	"2007"	25	195461	12.8
	"Sacramento County, CA"	"06067"	"45-54 years"	"45-54"	"2008"	"2008"	42	197757	21.2
	"Sacramento County, CA"	"06067"	"45-54 years"	"45-54"	"2009"	"2009"	27	199925	13.5
	"Sacramento County, CA"	"06067"	"45-54 years"	"45-54"	"2010"	"2010"	27	200536	13.5
	"Sacramento County, CA"	"06067"	"45-54 years"	"45-54"	"2011"	"2011"	24	199877	12.0
	"Sacramento County, CA"	"06067"	"55-64 years"	"55-64"	"2007"	"2007"	13	137714	Unreliable
	"Sacramento County, CA"	"06067"	"55-64 years"	"55-64"	"2008"	"2008"	13	143460	Unreliable
