"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Jefferson County, AL"	"01073"	"15-24 years"	"15-24"	"2014"	"2014"	11	85532	Unreliable
	"Jefferson County, AL"	"01073"	"15-24 years"	"15-24"	"2015"	"2015"	14	84488	Unreliable
	"Jefferson County, AL"	"01073"	"15-24 years"	"15-24"	"2016"	"2016"	10	83753	Unreliable
	"Jefferson County, AL"	"01073"	"25-34 years"	"25-34"	"2012"	"2012"	20	94746	21.1
	"Jefferson County, AL"	"01073"	"25-34 years"	"25-34"	"2013"	"2013"	20	94552	21.2
	"Jefferson County, AL"	"01073"	"25-34 years"	"25-34"	"2014"	"2014"	33	95069	34.7
	"Jefferson County, AL"	"01073"	"25-34 years"	"25-34"	"2015"	"2015"	34	95196	35.7
	"Jefferson County, AL"	"01073"	"25-34 years"	"25-34"	"2016"	"2016"	39	95223	41.0
	"Jefferson County, AL"	"01073"	"25-34 years"	"25-34"	"2017"	"2017"	38	95493	39.8
	"Jefferson County, AL"	"01073"	"35-44 years"	"35-44"	"2012"	"2012"	14	82610	Unreliable
	"Jefferson County, AL"	"01073"	"35-44 years"	"35-44"	"2014"	"2014"	36	83906	42.9
	"Jefferson County, AL"	"01073"	"35-44 years"	"35-44"	"2015"	"2015"	33	84099	39.2
	"Jefferson County, AL"	"01073"	"35-44 years"	"35-44"	"2016"	"2016"	35	83192	42.1
	"Jefferson County, AL"	"01073"	"35-44 years"	"35-44"	"2017"	"2017"	25	83121	30.1
	"Jefferson County, AL"	"01073"	"45-54 years"	"45-54"	"2012"	"2012"	12	90340	Unreliable
	"Jefferson County, AL"	"01073"	"45-54 years"	"45-54"	"2014"	"2014"	32	86541	37.0
	"Jefferson County, AL"	"01073"	"45-54 years"	"45-54"	"2015"	"2015"	23	84897	27.1
	"Jefferson County, AL"	"01073"	"45-54 years"	"45-54"	"2016"	"2016"	12	83571	Unreliable
	"Jefferson County, AL"	"01073"	"45-54 years"	"45-54"	"2017"	"2017"	27	82006	32.9
	"Jefferson County, AL"	"01073"	"55-64 years"	"55-64"	"2014"	"2014"	27	87327	30.9
	"Jefferson County, AL"	"01073"	"55-64 years"	"55-64"	"2015"	"2015"	12	87948	Unreliable
	"Jefferson County, AL"	"01073"	"55-64 years"	"55-64"	"2016"	"2016"	18	87792	Unreliable
	"Jefferson County, AL"	"01073"	"55-64 years"	"55-64"	"2017"	"2017"	14	87507	Unreliable
	"Mobile County, AL"	"01097"	"45-54 years"	"45-54"	"2015"	"2015"	11	53695	Unreliable
	"Anchorage Borough, AK"	"02020"	"25-34 years"	"25-34"	"2015"	"2015"	12	52784	Unreliable
	"Anchorage Borough, AK"	"02020"	"25-34 years"	"25-34"	"2016"	"2016"	13	52263	Unreliable
	"Anchorage Borough, AK"	"02020"	"25-34 years"	"25-34"	"2017"	"2017"	13	51584	Unreliable
	"Anchorage Borough, AK"	"02020"	"35-44 years"	"35-44"	"2014"	"2014"	11	37571	Unreliable
