"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Galax city, VA"	"51640"	2360	136855	1724.5
	"Hampton city, VA"	"51650"	23393	2782126	840.8
	"Harrisonburg city, VA"	"51660"	5378	951263	565.4
	"Hopewell city, VA"	"51670"	5638	447285	1260.5
	"Lexington city, VA"	"51678"	1412	139985	1008.7
	"Lynchburg city, VA"	"51680"	15625	1465565	1066.1
	"Manassas city, VA"	"51683"	4013	760233	527.9
	"Manassas Park city, VA"	"51685"	756	271798	278.1
	"Martinsville city, VA"	"51690"	5008	282774	1771.0
	"Newport News city, VA"	"51700"	28827	3634228	793.2
	"Norfolk city, VA"	"51710"	39771	4839512	821.8
	"Norton city, VA"	"51720"	905	78571	1151.8
	"Petersburg city, VA"	"51730"	9322	649396	1435.5
	"Poquoson city, VA"	"51735"	1991	238800	833.8
	"Portsmouth city, VA"	"51740"	21240	1940288	1094.7
	"Radford city, VA"	"51750"	2206	331746	665.0
	"Richmond city, VA"	"51760"	40475	4139720	977.7
	"Roanoke city, VA"	"51770"	24161	1930912	1251.3
	"Salem city, VA"	"51775"	6147	497649	1235.2
	"Staunton city, VA"	"51790"	6550	479911	1364.8
	"Suffolk city, VA"	"51800"	13781	1602096	860.2
	"Virginia Beach city, VA"	"51810"	55056	8785467	626.7
	"Waynesboro city, VA"	"51820"	4896	417407	1173.0
	"Williamsburg city, VA"	"51830"	2060	270731	760.9
	"Winchester city, VA"	"51840"	5222	520090	1004.1
	"Adams County, WA"	"53001"	2301	358925	641.1
	"Asotin County, WA"	"53003"	4554	428654	1062.4
	"Benton County, WA"	"53005"	23690	3398543	697.1
	"Chelan County, WA"	"53007"	12507	1425463	877.4
	"Clallam County, WA"	"53009"	17887	1403815	1274.2
	"Clark County, WA"	"53011"	57426	8283643	693.2
	"Columbia County, WA"	"53013"	1032	79958	1290.7
	"Cowlitz County, WA"	"53015"	20614	1999416	1031.0
	"Douglas County, WA"	"53017"	5541	743147	745.6
	"Ferry County, WA"	"53019"	1499	150043	999.0
	"Franklin County, WA"	"53021"	6720	1440364	466.5
	"Garfield County, WA"	"53023"	543	45352	1197.3
	"Grant County, WA"	"53025"	12322	1710226	720.5
	"Grays Harbor County, WA"	"53027"	15933	1415739	1125.4
	"Island County, WA"	"53029"	12777	1560711	818.7
	"Jefferson County, WA"	"53031"	6455	582157	1108.8
	"King County, WA"	"53033"	241545	38492591	627.5
	"Kitsap County, WA"	"53035"	38853	4970468	781.7
	"Kittitas County, WA"	"53037"	5402	793963	680.4
	"Klickitat County, WA"	"53039"	3533	403648	875.3
	"Lewis County, WA"	"53041"	16059	1474478	1089.1
	"Lincoln County, WA"	"53043"	2285	207655	1100.4
	"Mason County, WA"	"53045"	11837	1152904	1026.7
	"Okanogan County, WA"	"53047"	7955	806679	986.1
	"Pacific County, WA"	"53049"	6058	420549	1440.5
	"Pend Oreille County, WA"	"53051"	2763	253263	1091.0
	"Pierce County, WA"	"53053"	116343	15717859	740.2
	"San Juan County, WA"	"53055"	2557	309561	826.0
	"Skagit County, WA"	"53057"	21524	2292697	938.8
	"Skamania County, WA"	"53059"	1575	215806	729.8
	"Snohomish County, WA"	"53061"	90983	13998414	650.0
	"Spokane County, WA"	"53063"	80312	9219209	871.1
	"Stevens County, WA"	"53065"	8214	851587	964.6
	"Thurston County, WA"	"53067"	37658	4882388	771.3
	"Wahkiakum County, WA"	"53069"	960	79275	1211.0
	"Walla Walla County, WA"	"53071"	11089	1158330	957.3
	"Whatcom County, WA"	"53073"	28579	3901791	732.5
	"Whitman County, WA"	"53075"	4820	890023	541.6
	"Yakima County, WA"	"53077"	36855	4741735	777.2
	"Barbour County, WV"	"54001"	3809	323551	1177.2
	"Berkeley County, WV"	"54003"	16616	1968068	844.3
	"Boone County, WV"	"54005"	6346	490116	1294.8
	"Braxton County, WV"	"54007"	3468	290524	1193.7
	"Brooke County, WV"	"54009"	6531	483241	1351.5
	"Cabell County, WV"	"54011"	24163	1917613	1260.1
	"Calhoun County, WV"	"54013"	1857	150110	1237.1
	"Clay County, WV"	"54015"	2342	190869	1227.0
	"Doddridge County, WV"	"54017"	1631	159987	1019.5
	"Fayette County, WV"	"54019"	12628	918243	1375.2
	"Gilmer County, WV"	"54021"	1652	161800	1021.0
	"Grant County, WV"	"54023"	2505	233532	1072.7
	"Greenbrier County, WV"	"54025"	9305	703323	1323.0
	"Hampshire County, WV"	"54027"	4602	453237	1015.4
	"Hancock County, WV"	"54029"	8410	618860	1359.0
	"Hardy County, WV"	"54031"	2884	270861	1064.8
	"Harrison County, WV"	"54033"	17249	1368005	1260.9
	"Jackson County, WV"	"54035"	6591	576223	1143.8
	"Jefferson County, WV"	"54037"	8470	1019275	831.0
	"Kanawha County, WV"	"54039"	49968	3849151	1298.2
	"Lewis County, WV"	"54041"	4508	330017	1366.0
	"Lincoln County, WV"	"54043"	5301	434616	1219.7
	"Logan County, WV"	"54045"	10293	720845	1427.9
	"McDowell County, WV"	"54047"	7390	453034	1631.2
	"Marion County, WV"	"54049"	13962	1128127	1237.6
	"Marshall County, WV"	"54051"	7933	667842	1187.9
	"Mason County, WV"	"54053"	6478	534992	1210.9
	"Mercer County, WV"	"54055"	17356	1233416	1407.1
	"Mineral County, WV"	"54057"	6281	549827	1142.4
	"Mingo County, WV"	"54059"	7071	531183	1331.2
	"Monongalia County, WV"	"54061"	13043	1880141	693.7
