"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	18	208563	Unreliable
	"Cullman County, AL"	"01043"	13	82471	Unreliable
	"Jefferson County, AL"	"01073"	173	659521	26.2
	"Madison County, AL"	"01089"	15	356967	Unreliable
	"Mobile County, AL"	"01097"	20	414836	4.8
	"St. Clair County, AL"	"01115"	13	88019	Unreliable
	"Shelby County, AL"	"01117"	29	210622	13.8
	"Anchorage Borough, AK"	"02020"	46	298192	15.4
	"Fairbanks North Star Borough, AK"	"02090"	10	100605	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	13	58506	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	21	104365	20.1
	"Cochise County, AZ"	"04003"	18	125770	Unreliable
	"Maricopa County, AZ"	"04013"	498	4242997	11.7
	"Mohave County, AZ"	"04015"	19	205249	Unreliable
	"Pima County, AZ"	"04019"	175	1016206	17.2
	"Pinal County, AZ"	"04021"	35	418540	8.4
	"Yavapai County, AZ"	"04025"	16	225562	Unreliable
	"Benton County, AR"	"05007"	22	258291	8.5
	"Faulkner County, AR"	"05045"	10	122227	Unreliable
	"Garland County, AR"	"05051"	13	97477	Unreliable
	"Lonoke County, AR"	"05085"	11	72228	Unreliable
	"Pulaski County, AR"	"05119"	34	393250	8.6
	"Saline County, AR"	"05125"	13	118703	Unreliable
	"Sebastian County, AR"	"05131"	14	127793	Unreliable
	"Alameda County, CA"	"06001"	53	1647704	3.2
	"Butte County, CA"	"06007"	27	226864	11.9
	"Contra Costa County, CA"	"06013"	57	1135127	5.0
	"El Dorado County, CA"	"06017"	11	185625	Unreliable
	"Fresno County, CA"	"06019"	66	979915	6.7
	"Humboldt County, CA"	"06023"	39	136646	28.5
	"Kern County, CA"	"06029"	61	884788	6.9
	"Lake County, CA"	"06033"	13	64116	Unreliable
	"Los Angeles County, CA"	"06037"	406	10137915	4.0
	"Marin County, CA"	"06041"	15	260651	Unreliable
	"Mendocino County, CA"	"06045"	18	87628	Unreliable
	"Merced County, CA"	"06047"	26	268672	9.7
	"Monterey County, CA"	"06053"	12	435232	Unreliable
	"Orange County, CA"	"06059"	300	3172532	9.5
	"Placer County, CA"	"06061"	17	380531	Unreliable
	"Riverside County, CA"	"06065"	134	2387741	5.6
	"Sacramento County, CA"	"06067"	64	1514460	4.2
	"San Bernardino County, CA"	"06071"	61	2140096	2.9
	"San Diego County, CA"	"06073"	281	3317749	8.5
	"San Francisco County, CA"	"06075"	103	870887	11.8
	"San Joaquin County, CA"	"06077"	66	733709	9.0
	"San Luis Obispo County, CA"	"06079"	16	282887	Unreliable
	"San Mateo County, CA"	"06081"	23	764797	3.0
	"Santa Barbara County, CA"	"06083"	33	446170	7.4
	"Santa Clara County, CA"	"06085"	73	1919402	3.8
	"Santa Cruz County, CA"	"06087"	40	274673	14.6
	"Shasta County, CA"	"06089"	19	179631	Unreliable
	"Siskiyou County, CA"	"06093"	11	43603	Unreliable
	"Solano County, CA"	"06095"	17	440207	Unreliable
	"Sonoma County, CA"	"06097"	34	503070	6.8
	"Stanislaus County, CA"	"06099"	21	541560	3.9
	"Tulare County, CA"	"06107"	10	460437	Unreliable
	"Ventura County, CA"	"06111"	55	849738	6.5
	"Adams County, CO"	"08001"	62	498187	12.4
	"Arapahoe County, CO"	"08005"	78	637068	12.2
	"Boulder County, CO"	"08013"	20	322226	6.2
	"Broomfield County, CO"	"08014"	10	66529	Unreliable
	"Denver County, CO"	"08031"	87	693060	12.6
	"Douglas County, CO"	"08035"	15	328632	Unreliable
	"El Paso County, CO"	"08041"	110	688284	16.0
	"Jefferson County, CO"	"08059"	59	571837	10.3
	"Larimer County, CO"	"08069"	34	339993	10.0
	"Mesa County, CO"	"08077"	18	150083	Unreliable
	"Pueblo County, CO"	"08101"	21	165123	12.7
	"Weld County, CO"	"08123"	21	294932	7.1
	"Fairfield County, CT"	"09001"	156	944177	16.5
	"Hartford County, CT"	"09003"	255	892389	28.6
	"Litchfield County, CT"	"09005"	38	182571	20.8
	"Middlesex County, CT"	"09007"	44	163329	26.9
	"New Haven County, CT"	"09009"	233	856875	27.2
	"New London County, CT"	"09011"	87	269801	32.2
	"Tolland County, CT"	"09013"	34	151118	22.5
	"Windham County, CT"	"09015"	33	116192	28.4
	"Kent County, DE"	"10001"	34	174827	19.4
	"New Castle County, DE"	"10003"	121	556987	21.7
	"Sussex County, DE"	"10005"	58	220251	26.3
	"District of Columbia, DC"	"11001"	215	681170	31.6
	"Alachua County, FL"	"12001"	19	263496	Unreliable
	"Bay County, FL"	"12005"	42	183974	22.8
	"Brevard County, FL"	"12009"	57	579130	9.8
	"Broward County, FL"	"12011"	274	1909632	14.3
	"Charlotte County, FL"	"12015"	19	178465	Unreliable
	"Citrus County, FL"	"12017"	51	143621	35.5
	"Clay County, FL"	"12019"	69	208311	33.1
	"Collier County, FL"	"12021"	46	365136	12.6
	"Duval County, FL"	"12031"	321	926255	34.7
	"Escambia County, FL"	"12033"	30	315187	9.5
	"Flagler County, FL"	"12035"	13	108310	Unreliable
	"Hernando County, FL"	"12053"	30	182835	16.4
	"Hillsborough County, FL"	"12057"	173	1376238	12.6
	"Indian River County, FL"	"12061"	13	151563	Unreliable
	"Lake County, FL"	"12069"	37	335396	11.0
	"Lee County, FL"	"12071"	133	722336	18.4
	"Leon County, FL"	"12073"	16	287822	Unreliable
	"Manatee County, FL"	"12081"	147	375888	39.1
	"Marion County, FL"	"12083"	129	349020	37.0
	"Martin County, FL"	"12085"	10	158701	Unreliable
	"Miami-Dade County, FL"	"12086"	254	2712945	9.4
	"Monroe County, FL"	"12087"	11	79077	Unreliable
	"Nassau County, FL"	"12089"	21	80622	26.0
	"Okaloosa County, FL"	"12091"	36	201170	17.9
	"Orange County, FL"	"12095"	164	1314367	12.5
	"Osceola County, FL"	"12097"	41	336015	12.2
	"Palm Beach County, FL"	"12099"	303	1443810	21.0
	"Pasco County, FL"	"12101"	70	512368	13.7
	"Pinellas County, FL"	"12103"	92	960730	9.6
	"Polk County, FL"	"12105"	34	666149	5.1
	"Putnam County, FL"	"12107"	12	72277	Unreliable
	"St. Johns County, FL"	"12109"	32	235087	13.6
	"St. Lucie County, FL"	"12111"	45	306507	14.7
	"Santa Rosa County, FL"	"12113"	11	170497	Unreliable
	"Sarasota County, FL"	"12115"	79	412569	19.1
	"Seminole County, FL"	"12117"	73	455479	16.0
	"Sumter County, FL"	"12119"	10	123996	Unreliable
	"Volusia County, FL"	"12127"	96	529364	18.1
	"Bartow County, GA"	"13015"	16	103807	Unreliable
	"Bibb County, GA"	"13021"	12	152760	Unreliable
	"Carroll County, GA"	"13045"	19	116261	Unreliable
	"Catoosa County, GA"	"13047"	12	66398	Unreliable
	"Chatham County, GA"	"13051"	27	289082	9.3
	"Cherokee County, GA"	"13057"	35	241689	14.5
	"Clarke County, GA"	"13059"	12	124707	Unreliable
	"Clayton County, GA"	"13063"	14	279462	Unreliable
	"Cobb County, GA"	"13067"	97	748150	13.0
	"Columbia County, GA"	"13073"	16	147450	Unreliable
	"Coweta County, GA"	"13077"	14	140526	Unreliable
	"DeKalb County, GA"	"13089"	52	740321	7.0
	"Douglas County, GA"	"13097"	24	142224	16.9
	"Forsyth County, GA"	"13117"	13	221009	Unreliable
	"Fulton County, GA"	"13121"	108	1023336	10.6
	"Gwinnett County, GA"	"13135"	63	907135	6.9
	"Hall County, GA"	"13139"	14	196637	Unreliable
	"Henry County, GA"	"13151"	28	221768	12.6
	"Muscogee County, GA"	"13215"	10	197485	Unreliable
	"Paulding County, GA"	"13223"	25	155825	16.0
	"Richmond County, GA"	"13245"	28	201647	13.9
	"Walker County, GA"	"13295"	11	67896	Unreliable
	"Walton County, GA"	"13297"	14	90184	Unreliable
	"Hawaii County, HI"	"15001"	12	198449	Unreliable
	"Honolulu County, HI"	"15003"	56	992605	5.6
	"Maui County, HI"	"15009"	16	165386	Unreliable
	"Ada County, ID"	"16001"	32	444028	7.2
	"Bannock County, ID"	"16005"	17	84377	Unreliable
	"Kootenai County, ID"	"16055"	18	154311	Unreliable
	"Champaign County, IL"	"17019"	20	208419	9.6
	"Cook County, IL"	"17031"	980	5203499	18.8
	"DeKalb County, IL"	"17037"	12	104528	Unreliable
	"DuPage County, IL"	"17043"	115	929368	12.4
	"Grundy County, IL"	"17063"	11	50437	Unreliable
	"Jackson County, IL"	"17077"	10	58870	Unreliable
	"Kane County, IL"	"17089"	43	531715	8.1
	"Kankakee County, IL"	"17091"	15	110008	Unreliable
	"Kendall County, IL"	"17093"	21	124695	16.8
	"Lake County, IL"	"17097"	76	703047	10.8
	"LaSalle County, IL"	"17099"	15	110642	Unreliable
	"Livingston County, IL"	"17105"	11	36526	Unreliable
	"McHenry County, IL"	"17111"	51	307004	16.6
	"McLean County, IL"	"17113"	14	172418	Unreliable
	"Macoupin County, IL"	"17117"	10	45908	Unreliable
