"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Johnston County, NC"	"37101"	23	191450	12.0
	"Lee County, NC"	"37105"	10	59616	Unreliable
	"Lincoln County, NC"	"37109"	20	81168	24.6
	"McDowell County, NC"	"37111"	20	45075	44.4
	"Mecklenburg County, NC"	"37119"	176	1054835	16.7
	"Moore County, NC"	"37125"	16	95776	Unreliable
	"Nash County, NC"	"37127"	27	94005	28.7
	"New Hanover County, NC"	"37129"	70	223483	31.3
	"Onslow County, NC"	"37133"	44	187136	23.5
	"Orange County, NC"	"37135"	18	141796	Unreliable
	"Pender County, NC"	"37141"	19	59090	Unreliable
	"Pitt County, NC"	"37147"	30	177220	16.9
	"Randolph County, NC"	"37151"	38	143416	26.5
	"Robeson County, NC"	"37155"	22	133235	16.5
	"Rockingham County, NC"	"37157"	25	91393	27.4
	"Rowan County, NC"	"37159"	46	139933	32.9
	"Rutherford County, NC"	"37161"	17	66421	Unreliable
	"Sampson County, NC"	"37163"	14	63124	Unreliable
	"Stokes County, NC"	"37169"	17	46097	Unreliable
	"Surry County, NC"	"37171"	16	72113	Unreliable
	"Union County, NC"	"37179"	26	226606	11.5
	"Wake County, NC"	"37183"	134	1046791	12.8
	"Wayne County, NC"	"37191"	22	124150	17.7
	"Wilkes County, NC"	"37193"	32	68740	46.6
	"Wilson County, NC"	"37195"	15	81661	Unreliable
	"Cass County, ND"	"38017"	32	175249	18.3
	"Grand Forks County, ND"	"38035"	10	71083	Unreliable
	"Adams County, OH"	"39001"	12	27907	Unreliable
	"Allen County, OH"	"39003"	32	103742	30.8
	"Ashland County, OH"	"39005"	14	53652	Unreliable
	"Ashtabula County, OH"	"39007"	45	98231	45.8
	"Athens County, OH"	"39009"	11	66186	Unreliable
	"Belmont County, OH"	"39013"	22	68673	32.0
	"Brown County, OH"	"39015"	23	43759	52.6
	"Butler County, OH"	"39017"	226	377537	59.9
	"Champaign County, OH"	"39021"	14	38747	Unreliable
	"Clark County, OH"	"39023"	84	134786	62.3
	"Clermont County, OH"	"39025"	106	203022	52.2
	"Clinton County, OH"	"39027"	15	41902	Unreliable
	"Columbiana County, OH"	"39029"	48	103685	46.3
	"Cuyahoga County, OH"	"39035"	613	1249352	49.1
