"HCPCS CODE","MODIFIER","SHORT DESCRIPTION","PROC STAT","MAC LOCALITY","NON-FACILITY PRICE","FACILITY PRICE","NON-FACILITY LIMITING CHARGE","FACILITY LIMITING CHARGE","CONV FACT","GPCI WORK","GPCI PE","GPCI MP","PROC STAT","PCTC","NOT USED FOR MEDICARE","WORK RVU","NA FLAG FOR NON-FAC PE RVU","NON-FACILITY PE RVU","NA FLAG FOR TRANS NON-FAC PE RVU","TRANSITIONED NON-FAC PE RVU","NA FLG FOR FULLY IMP NON-FAC PE RVU","FULLY IMPLEMENTED NON-FAC PE RVU","NA FLAG FOR TRANS FACILITY PE RVU","NA FLAG FOR FACILITY PE RVU","FACILITY PE RVU","TRANSITIONED FACILITY PE RVU","NA FLAG FOR FULLY IMP FAC PE RVU","FULLY IMPLEMENTED FACILITY PE RVU","MP RVU","NON-FACILITY TOTAL","TRANSITIONED NON-FAC TOTAL","FACILITY TOTAL","TRANSITIONED FACILITY TOTAL","FULLY IMPLEMENTED NON-FAC TOTAL","FULLY IMPLEMENTED FACILITY TOTAL","PCTC","GLOBAL","PRE OP","INTRA OP","POST OP","MULT SURG","BILT SURG","ASST SURG","CO SURG","TEAM SURG","PHYS SUPV","ENDOBASE","CONV FACT","NOT USED FOR MEDICARE","DIAG IMAGING FAMILY IND","OPPS NON-FACILITY PAYMENT AMOUNT<sup>1</sup>","OPPS FACILITY PAYMENT AMOUNT<sup>1</sup>","NON-FAC PE USED FOR OPPS PMT AMT","FACILITY PE USED FOR OPPS PMT AMT","MALPRACTICE USED FOR OPPS PMT AMT",
"","","","","0720299","","","","","","1.000","0.887","1.205","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1411203","","","","","","1.000","1.007","0.642","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1411299","","","","","","1.000","0.918","0.642","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1230201","","","","","","1.023","1.097","1.181","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1230299","","","","","","1.015","1.036","0.971","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1421201","","","","","","1.017","1.163","0.617","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1421299","","","","","","1.017","1.066","0.617","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0820201","","","","","","1.000","0.994","1.328","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0820299","","","","","","1.000","0.920","0.954","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0620200","","","","","","1.000","1.020","0.319","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0730200","","","","","","1.000","0.864","0.613","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0530202","","","","","","1.000","0.952","1.025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0530201","","","","","","1.000","0.955","1.025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0530299","","","","","","1.000","0.848","0.946","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0320201","","","","","","1.000","1.000","1.226","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0540200","","","","","","1.000","0.908","0.362","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0131200","","","","","","1.005","1.051","0.982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1431240","","","","","","1.000","1.058","0.873","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1240201","","","","","","1.040","1.182","1.090","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1240299","","","","","","1.025","1.125","1.090","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0421205","","","","","","1.000","0.919","1.161","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1320201","","","","","","1.052","1.168","1.764","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1320202","","","","","","1.046","1.209","2.215","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1320203","","","","","","1.010","1.074","1.484","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1329204","","","","","","1.052","1.199","2.181","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1328299","","","","","","1.000","0.945","0.760","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1150200","","","","","","1.000","0.930","0.768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0330201","","","","","","1.000","1.000","0.554","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1520200","","","","","","1.000","0.918","0.993","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0431200","","","","","","1.000","0.872","0.845","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0230201","","","","","","1.005","1.049","0.708","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0230299","","","","","","1.000","0.967","0.708","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1250201","","","","","","1.021","1.087","1.264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1250299","","","","","","1.000","0.929","0.987","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0920220","","","","","","1.000","0.705","0.293","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1441201","","","","","","1.022","1.053","0.759","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1120201","","","","","","1.000","0.912","0.715","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0340202","","","","","","1.000","1.000","0.400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1030235","","","","","","1.000","0.898","0.524","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0441231","","","","","","1.000","1.019","0.766","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0441220","","","","","","1.000","0.902","0.955","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0441209","","","","","","1.019","0.990","0.955","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0441211","","","","","","1.018","1.009","0.772","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0441228","","","","","","1.005","0.995","0.772","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0441215","","","","","","1.019","1.013","0.955","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0441218","","","","","","1.019","1.006","0.955","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0441299","","","","","","1.000","0.920","0.822","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0350209","","","","","","1.000","0.922","1.169","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1451250","","","","","","1.000","1.004","0.682","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1130200","","","","","","1.000","0.983","0.824","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0920250","","","","","","1.000","0.960","0.996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0240202","","","","","","1.025","1.155","0.495","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0240299","","","","","","1.000","1.015","0.475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1140216","","","","","","1.000","0.836","1.282","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0630200","","","","","","1.000","0.955","0.566","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0360221","","","","","","1.000","1.000","1.219","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
