"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	19	212628	Unreliable
	"Cullman County, AL"	"01043"	12	82755	Unreliable
	"DeKalb County, AL"	"01049"	12	71617	Unreliable
	"Escambia County, AL"	"01053"	11	37447	Unreliable
	"Etowah County, AL"	"01055"	26	102755	25.3
	"Jefferson County, AL"	"01073"	171	659197	25.9
	"Madison County, AL"	"01089"	19	361046	Unreliable
	"Mobile County, AL"	"01097"	14	413955	Unreliable
	"St. Clair County, AL"	"01115"	15	88199	Unreliable
	"Shelby County, AL"	"01117"	30	213605	14.0
	"Tuscaloosa County, AL"	"01125"	14	207811	Unreliable
	"Anchorage Borough, AK"	"02020"	53	294356	18.0
	"Juneau Borough, AK"	"02110"	12	32094	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	20	106532	18.8
	"Cochise County, AZ"	"04003"	17	124756	Unreliable
	"Maricopa County, AZ"	"04013"	649	4307033	15.1
	"Pima County, AZ"	"04019"	181	1022769	17.7
	"Pinal County, AZ"	"04021"	37	430237	8.6
	"Yavapai County, AZ"	"04025"	22	228168	9.6
	"Benton County, AR"	"05007"	15	266300	Unreliable
	"Crittenden County, AR"	"05035"	11	48750	Unreliable
	"Faulkner County, AR"	"05045"	12	123654	Unreliable
	"Garland County, AR"	"05051"	18	98658	Unreliable
	"Pulaski County, AR"	"05119"	51	393956	12.9
	"Saline County, AR"	"05125"	24	119323	20.1
	"Washington County, AR"	"05143"	10	231996	Unreliable
	"Alameda County, CA"	"06001"	47	1663190	2.8
	"Butte County, CA"	"06007"	24	229294	10.5
	"Contra Costa County, CA"	"06013"	60	1147439	5.2
	"Fresno County, CA"	"06019"	45	989255	4.5
	"Humboldt County, CA"	"06023"	34	136754	24.9
	"Kern County, CA"	"06029"	83	893119	9.3
	"Lake County, CA"	"06033"	18	64246	Unreliable
	"Los Angeles County, CA"	"06037"	486	10163507	4.8
	"Marin County, CA"	"06041"	16	260955	Unreliable
	"Mendocino County, CA"	"06045"	20	88018	22.7
	"Merced County, CA"	"06047"	15	272673	Unreliable
	"Orange County, CA"	"06059"	272	3190400	8.5
	"Placer County, CA"	"06061"	20	386166	5.2
	"Riverside County, CA"	"06065"	154	2423266	6.4
	"Sacramento County, CA"	"06067"	78	1530615	5.1
	"San Bernardino County, CA"	"06071"	78	2157404	3.6
	"San Diego County, CA"	"06073"	309	3337685	9.3
	"San Francisco County, CA"	"06075"	113	884363	12.8
	"San Joaquin County, CA"	"06077"	80	745424	10.7
	"San Luis Obispo County, CA"	"06079"	16	283405	Unreliable
	"San Mateo County, CA"	"06081"	43	771410	5.6
	"Santa Barbara County, CA"	"06083"	36	448150	8.0
	"Santa Clara County, CA"	"06085"	70	1938153	3.6
	"Santa Cruz County, CA"	"06087"	23	275897	8.3
	"Shasta County, CA"	"06089"	33	179921	18.3
	"Solano County, CA"	"06095"	12	445458	Unreliable
	"Sonoma County, CA"	"06097"	40	504217	7.9
	"Stanislaus County, CA"	"06099"	23	547899	4.2
	"Ventura County, CA"	"06111"	94	854223	11.0
	"Yolo County, CA"	"06113"	10	219116	Unreliable
	"Adams County, CO"	"08001"	81	503167	16.1
	"Arapahoe County, CO"	"08005"	65	643052	10.1
	"Boulder County, CO"	"08013"	27	322514	8.4
	"Denver County, CO"	"08031"	106	704621	15.0
	"Douglas County, CO"	"08035"	10	335299	Unreliable
	"El Paso County, CO"	"08041"	121	699232	17.3
	"Jefferson County, CO"	"08059"	67	574613	11.7
	"Larimer County, CO"	"08069"	30	343976	8.7
	"Mesa County, CO"	"08077"	34	151616	22.4
	"Pueblo County, CO"	"08101"	32	166475	19.2
	"Weld County, CO"	"08123"	17	304633	Unreliable
	"Fairfield County, CT"	"09001"	161	949921	16.9
	"Hartford County, CT"	"09003"	290	895388	32.4
	"Litchfield County, CT"	"09005"	54	182177	29.6
	"Middlesex County, CT"	"09007"	44	163410	26.9
	"New Haven County, CT"	"09009"	267	860435	31.0
	"New London County, CT"	"09011"	85	269033	31.6
	"Tolland County, CT"	"09013"	43	151461	28.4
	"Windham County, CT"	"09015"	42	116359	36.1
	"Kent County, DE"	"10001"	34	176824	19.2
	"New Castle County, DE"	"10003"	192	559793	34.3
	"Sussex County, DE"	"10005"	54	225322	24.0
	"District of Columbia, DC"	"11001"	245	693972	35.3
	"Alachua County, FL"	"12001"	14	266944	Unreliable
	"Bay County, FL"	"12005"	25	183563	13.6
	"Brevard County, FL"	"12009"	82	589162	13.9
	"Broward County, FL"	"12011"	299	1935878	15.4
	"Charlotte County, FL"	"12015"	11	182033	Unreliable
	"Citrus County, FL"	"12017"	31	145647	21.3
	"Clay County, FL"	"12019"	51	212230	24.0
	"Collier County, FL"	"12021"	55	372880	14.8
	"Columbia County, FL"	"12023"	12	69612	Unreliable
