"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	29	218022	13.3
	"Blount County, AL"	"01009"	12	57840	Unreliable
	"Calhoun County, AL"	"01015"	17	114277	Unreliable
	"Cullman County, AL"	"01043"	20	83442	24.0
	"DeKalb County, AL"	"01049"	17	71385	Unreliable
	"Escambia County, AL"	"01053"	15	36748	Unreliable
	"Etowah County, AL"	"01055"	29	102501	28.3
	"Houston County, AL"	"01069"	19	104722	Unreliable
	"Jefferson County, AL"	"01073"	205	659300	31.1
	"Lauderdale County, AL"	"01077"	16	92387	Unreliable
	"Lee County, AL"	"01081"	12	163941	Unreliable
	"Madison County, AL"	"01089"	49	366519	13.4
	"Marshall County, AL"	"01095"	18	96109	Unreliable
	"Mobile County, AL"	"01097"	60	413757	14.5
	"Montgomery County, AL"	"01101"	20	225763	8.9
	"Morgan County, AL"	"01103"	22	119089	18.5
	"Russell County, AL"	"01113"	10	57781	Unreliable
	"St. Clair County, AL"	"01115"	28	88690	31.6
	"Shelby County, AL"	"01117"	38	215707	17.6
	"Talladega County, AL"	"01121"	16	79828	Unreliable
	"Tuscaloosa County, AL"	"01125"	27	208911	12.9
	"Walker County, AL"	"01127"	10	63711	Unreliable
	"Anchorage Borough, AK"	"02020"	64	291538	22.0
	"Fairbanks North Star Borough, AK"	"02090"	12	98971	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	19	58533	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	17	107610	Unreliable
	"Apache County, AZ"	"04001"	19	71818	Unreliable
	"Cochise County, AZ"	"04003"	25	126770	19.7
	"Coconino County, AZ"	"04005"	46	142854	32.2
	"Gila County, AZ"	"04007"	22	53889	40.8
	"Graham County, AZ"	"04009"	12	38072	Unreliable
	"Maricopa County, AZ"	"04013"	1213	4410824	27.5
	"Mohave County, AZ"	"04015"	43	209550	20.5
	"Navajo County, AZ"	"04017"	21	110445	19.0
	"Pima County, AZ"	"04019"	279	1039073	26.9
	"Pinal County, AZ"	"04021"	77	447138	17.2
	"Yavapai County, AZ"	"04025"	58	231993	25.0
	"Yuma County, AZ"	"04027"	34	212128	16.0
	"Benton County, AR"	"05007"	38	272608	13.9
	"Carroll County, AR"	"05015"	13	28223	Unreliable
	"Craighead County, AR"	"05031"	11	108558	Unreliable
	"Crawford County, AR"	"05033"	13	63406	Unreliable
	"Crittenden County, AR"	"05035"	13	48342	Unreliable
	"Faulkner County, AR"	"05045"	24	124806	19.2
	"Garland County, AR"	"05051"	27	99154	27.2
	"Jefferson County, AR"	"05069"	15	68114	Unreliable
	"Lonoke County, AR"	"05085"	14	73657	Unreliable
	"Pulaski County, AR"	"05119"	88	392680	22.4
	"Saline County, AR"	"05125"	21	121421	17.3
	"Sebastian County, AR"	"05131"	23	127753	18.0
	"Washington County, AR"	"05143"	12	236961	Unreliable
	"Alameda County, CA"	"06001"	203	1666753	12.2
	"Butte County, CA"	"06007"	69	231256	29.8
	"Contra Costa County, CA"	"06013"	170	1150215	14.8
	"El Dorado County, CA"	"06017"	35	190678	18.4
	"Fresno County, CA"	"06019"	113	994400	11.4
	"Humboldt County, CA"	"06023"	43	136373	31.5
	"Imperial County, CA"	"06025"	52	181827	28.6
	"Kern County, CA"	"06029"	255	896764	28.4
	"Kings County, CA"	"06031"	22	151366	14.5
	"Lake County, CA"	"06033"	58	64382	90.1
	"Los Angeles County, CA"	"06037"	1222	10105518	12.1
	"Madera County, CA"	"06039"	14	157672	Unreliable
	"Marin County, CA"	"06041"	40	259666	15.4
	"Mendocino County, CA"	"06045"	46	87606	52.5
	"Merced County, CA"	"06047"	41	274765	14.9
	"Monterey County, CA"	"06053"	54	435594	12.4
	"Napa County, CA"	"06055"	20	139417	14.3
	"Nevada County, CA"	"06057"	18	99696	Unreliable
	"Orange County, CA"	"06059"	452	3185968	14.2
	"Placer County, CA"	"06061"	48	393149	12.2
	"Riverside County, CA"	"06065"	487	2450758	19.9
	"Sacramento County, CA"	"06067"	260	1540975	16.9
	"San Bernardino County, CA"	"06071"	309	2171603	14.2
	"San Diego County, CA"	"06073"	573	3343364	17.1
	"San Francisco County, CA"	"06075"	252	883305	28.5
	"San Joaquin County, CA"	"06077"	131	752660	17.4
	"San Luis Obispo County, CA"	"06079"	45	284010	15.8
	"San Mateo County, CA"	"06081"	80	769545	10.4
	"Santa Barbara County, CA"	"06083"	77	446527	17.2
	"Santa Clara County, CA"	"06085"	197	1937570	10.2
	"Santa Cruz County, CA"	"06087"	48	274255	17.5
	"Shasta County, CA"	"06089"	45	180040	25.0
	"Solano County, CA"	"06095"	84	446610	18.8
	"Sonoma County, CA"	"06097"	100	499942	20.0
	"Stanislaus County, CA"	"06099"	81	549815	14.7
	"Sutter County, CA"	"06101"	17	96807	Unreliable
	"Tulare County, CA"	"06107"	59	465861	12.7
	"Ventura County, CA"	"06111"	152	850967	17.9
	"Yolo County, CA"	"06113"	22	220408	10.0
	"Yuba County, CA"	"06115"	22	78041	28.2
	"Adams County, CO"	"08001"	129	511868	25.2
	"Arapahoe County, CO"	"08005"	121	651215	18.6
	"Boulder County, CO"	"08013"	41	326078	12.6
	"Broomfield County, CO"	"08014"	12	69267	Unreliable
	"Denver County, CO"	"08031"	169	716492	23.6
	"Douglas County, CO"	"08035"	29	342776	8.5
	"El Paso County, CO"	"08041"	210	713856	29.4
	"Fremont County, CO"	"08043"	13	48021	Unreliable
	"Garfield County, CO"	"08045"	12	59770	Unreliable
	"Jefferson County, CO"	"08059"	108	580233	18.6
	"Larimer County, CO"	"08069"	55	350518	15.7
	"Mesa County, CO"	"08077"	20	153207	13.1
	"Montrose County, CO"	"08085"	12	42214	Unreliable
	"Otero County, CO"	"08089"	10	18432	Unreliable
	"Pueblo County, CO"	"08101"	52	167529	31.0
	"Weld County, CO"	"08123"	53	314305	16.9
