"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	44	203709	21.6
	"Blount County, AL"	"01009"	14	57673	Unreliable
	"Calhoun County, AL"	"01015"	20	115620	17.3
	"Cullman County, AL"	"01043"	17	82005	Unreliable
	"DeKalb County, AL"	"01049"	21	71130	29.5
	"Escambia County, AL"	"01053"	12	37789	Unreliable
	"Etowah County, AL"	"01055"	22	103057	21.3
	"Houston County, AL"	"01069"	13	104173	Unreliable
	"Jefferson County, AL"	"01073"	178	660367	27.0
	"Lee County, AL"	"01081"	17	156993	Unreliable
	"Madison County, AL"	"01089"	41	353089	11.6
	"Marshall County, AL"	"01095"	24	94725	25.3
	"Mobile County, AL"	"01097"	73	415395	17.6
	"Montgomery County, AL"	"01101"	16	226519	Unreliable
	"Morgan County, AL"	"01103"	27	119565	22.6
	"St. Clair County, AL"	"01115"	20	87074	23.0
	"Shelby County, AL"	"01117"	42	208713	20.1
	"Tuscaloosa County, AL"	"01125"	27	203976	13.2
	"Walker County, AL"	"01127"	12	65294	Unreliable
	"Anchorage Borough, AK"	"02020"	72	298695	24.1
	"Fairbanks North Star Borough, AK"	"02090"	14	99631	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	16	58059	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	17	101095	Unreliable
	"Apache County, AZ"	"04001"	10	71474	Unreliable
	"Cochise County, AZ"	"04003"	36	126427	28.5
	"Coconino County, AZ"	"04005"	28	139097	20.1
	"Gila County, AZ"	"04007"	22	53159	41.4
	"Maricopa County, AZ"	"04013"	793	4167947	19.0
	"Mohave County, AZ"	"04015"	68	204737	33.2
	"Navajo County, AZ"	"04017"	17	108277	Unreliable
	"Pima County, AZ"	"04019"	240	1010025	23.8
	"Pinal County, AZ"	"04021"	63	406584	15.5
	"Yavapai County, AZ"	"04025"	57	222255	25.6
	"Yuma County, AZ"	"04027"	32	204275	15.7
	"Baxter County, AR"	"05005"	11	41053	Unreliable
	"Benton County, AR"	"05007"	38	249672	15.2
	"Clay County, AR"	"05021"	10	15109	Unreliable
	"Craighead County, AR"	"05031"	14	104354	Unreliable
	"Crawford County, AR"	"05033"	13	61703	Unreliable
	"Faulkner County, AR"	"05045"	14	121552	Unreliable
	"Garland County, AR"	"05051"	26	97177	26.8
	"Greene County, AR"	"05055"	10	44196	Unreliable
	"Jefferson County, AR"	"05069"	13	71565	Unreliable
	"Pulaski County, AR"	"05119"	53	392664	13.5
	"Saline County, AR"	"05125"	16	117460	Unreliable
	"Sebastian County, AR"	"05131"	23	127780	18.0
	"Washington County, AR"	"05143"	22	225477	9.8
	"White County, AR"	"05145"	18	79161	Unreliable
	"Alameda County, CA"	"06001"	221	1638215	13.5
	"Butte County, CA"	"06007"	73	225411	32.4
	"Calaveras County, CA"	"06009"	12	44828	Unreliable
