RC-HEROIN DEPENDENCE OR ABUSE - PAST YEAR,RC-PAIN RELIEVER DEPENDENCE OR ABUSE - PAST YEAR,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
Overall,0 - No,0.9922767597112127,0.00045252261211848065,0.9913126834594024,0.9931345884139112,1.0,0.0,N/A,N/A,0.9922767597112127,0.00045252261211848065,0.9913126834594024,0.9931345884139112,265627020.29702652,56630,2442510.0442146207
1 - Yes,0 - No,0.0012874265874663463,0.00017563219288184182,0.0009788187024463062,0.0016931693280058141,0.0012974470830507334,0.00017701380938916,0.0009864145374296584,0.0017063857319334062,0.5885010454616956,0.04688983163588762,0.4922165865082062,0.6784549923653279,344637.002663835,87,47392.27019717818
Overall,1 - Yes,0.007723240288788866,0.00045252261211848043,0.0068654115860902806,0.008687316540599082,1.0,0.0,N/A,N/A,0.007723240288788866,0.00045252261211848043,0.0068654115860902806,0.008687316540599082,2067468.8637734416,516,123050.86585163987
0 - No/Unknown,Overall,0.9978123631259546,0.0002466161563534225,0.9972566230406605,0.9982557209722824,0.9978123631259546,0.0002466161563534225,0.9972566230406605,0.9982557209722824,1.0,0.0,N/A,N/A,267108870.82533264,56995,2451373.043120723
0 - No/Unknown,1 - Yes,0.006823030002209689,0.0004536302741693144,0.005969753510297446,0.00779731142399512,0.8834413726728234,0.019095393944701614,0.8392908005399774,0.9166670552404529,0.006837989039176109,0.0004544215822508541,0.005983198517913214,0.00781393935159807,1826487.5309703317,452,122779.42765549892
1 - Yes,1 - Yes,0.0009002102865791778,0.0001460749808685449,0.0006497977906472942,0.0012470037998591043,0.11655862732717667,0.019095393944701614,0.08333294475954721,0.1607091994600227,0.41149895453830465,0.04688983163588763,0.32154500763467225,0.507783413491794,240981.33280310998,64,39245.26457367744
1 - Yes,Overall,0.0021876368740455236,0.0002466161563534224,0.0017442790277176665,0.0027433769593395146,0.0021876368740455236,0.0002466161563534224,0.0017442790277176665,0.0027433769593395146,1.0,0.0,N/A,N/A,585618.3354669448,151,66676.41718513038
Overall,Overall,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,267694489.16079956,57146,2461297.8146322267
0 - No/Unknown,0 - No,0.9909893331237462,0.00048916512470381,0.9899518115987137,0.9919206001163221,0.9987025529169492,0.00017701380938915998,0.9982936142680665,0.9990135854625702,0.9931620109608252,0.00045442158225085413,0.9921860606484033,0.9940168014820882,265282383.29436266,56543,2435825.6079893364
