HEROIN ABUSE OR DEPENDENCE - PAST YEAR,PAIN RELIEVER ABUSE OR DEPENDENCE - PAST YEAR,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
Overall,0 - No/Unknown,0.9928422217294633,0.00047690504846132763,0.9918223274374063,0.9937357213011172,1.0,0.0,N/A,N/A,0.9928422217294633,0.00047690504846132763,0.9918223274374063,0.9937357213011172,255755108.14493716,57729,2543333.4164827107
1 - Yes,0 - No/Unknown,0.0009840282471355272,0.00018452937673335052,0.0006761996812444256,0.001431789827856097,0.0009911224821013526,0.0001858744896553442,0.0006810540523671672,0.0014421542965625067,0.5413387182598514,0.06712923531207393,0.407314713663519,0.6696370133862726,253484.63759471,64,47365.82967588466
Overall,1 - Yes,0.007157778270537912,0.0004769050484613295,0.00626427869888404,0.008177672562594955,1.0,0.0,N/A,N/A,0.007157778270537912,0.0004769050484613295,0.00626427869888404,0.008177672562594955,1843836.125814692,668,121607.16633706512
0 - No/Unknown,Overall,0.9981822319114753,0.0002820962821718817,0.9975208032162793,0.9986674327692064,0.9981822319114753,0.0002820962821718817,0.9975208032162793,0.9986674327692064,1.0,0.0,N/A,N/A,257130689.1302185,58277,2551558.9130874993
0 - No/Unknown,1 - Yes,0.0063240384291489106,0.0004313597287754365,0.005517152970794954,0.007248071084160155,0.8835197445524747,0.023925462954814836,0.8265191700251985,0.9235245575989594,0.006335554998848912,0.0004321568890813189,0.00552717926982383,0.007261296180723105,1629065.6228764213,612,111139.63292268082
1 - Yes,1 - Yes,0.0008337398413889993,0.00018749716771014228,0.0005316617929544431,0.0013072272314679136,0.11648025544752494,0.023925462954814833,0.07647544240104029,0.1734808299748012,0.45866128174014864,0.06712923531207393,0.3303629866137275,0.592685286336481,214770.50293827004,56,47924.578314684935
1 - Yes,Overall,0.0018177680885245265,0.00028209628217188126,0.0013325672307933467,0.002479196783720499,0.0018177680885245265,0.00028209628217188126,0.0013325672307933467,0.002479196783720499,1.0,0.0,N/A,N/A,468255.14053298003,120,71919.72919133955
Overall,Overall,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,257598944.27075154,58397,2541165.8501385874
0 - No/Unknown,0 - No/Unknown,0.9918581934823274,0.000516454128031501,0.9907573670920085,0.9928288570111332,0.9990088775178982,0.00018587448965534466,0.9985578457034371,0.9993189459476325,0.993664445001152,0.000432156889081318,0.9927387038192779,0.9944728207301771,255501623.50734234,57665,2545760.5623714165
