HEROIN ABUSE OR DEPENDENCE - PAST YEAR,PAIN RELIEVER ABUSE OR DEPENDENCE - PAST YEAR,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
Overall,0 - No/Unknown,0.991922200062324,0.000609407910982141,0.9906073345213993,0.9930542900858355,1.0,0.0,N/A,N/A,0.991922200062324,0.000609407910982141,0.9906073345213993,0.9930542900858355,257956633.97165677,54652,2494269.4752155184
0 - No/Unknown,1 - Yes,0.007060534597576456,0.0006079707475355712,0.005942790367350181,0.00838673503462295,0.8740665344591371,0.024024523159004735,0.8176971661160147,0.914821720318294,0.007073674293974802,0.0006089071656157578,0.005954177541897891,0.008401878302428412,1836143.740624832,543,160459.89536110096
0 - No/Unknown,0 - No/Unknown,0.9910819164324974,0.0006446104974447213,0.9896956466972665,0.9922831420901085,0.9991528734513918,0.00016655953849972673,0.998744778021527,0.9994283655951335,0.9929263257060225,0.0006089071656157557,0.9915981216975689,0.9940458224580994,257738112.05862978,54577,2493105.6366866534
Overall,1 - Yes,0.008077799937673437,0.0006094079109821432,0.006945709914162022,0.009392665478598228,1.0,0.0,N/A,N/A,0.008077799937673437,0.0006094079109821432,0.006945709914162022,0.009392665478598228,2100691.0438013943,616,161573.24159030485
1 - Yes,Overall,0.001857548969923449,0.00028269253178484947,0.0013699344133732215,0.0025182874103593994,0.001857548969923449,0.00028269253178484947,0.0013699344133732215,0.0025182874103593994,1.0,0.0,N/A,N/A,483069.2162035131,148,73767.77481303383
1 - Yes,0 - No/Unknown,0.000840283629826459,0.00016517005797879157,0.0005670765932283288,0.001244952813050745,0.0008471265486080085,0.0001665595384997267,0.0005716344048663082,0.0012552219784729057,0.4523614954070836,0.058230241801947,0.340444673800541,0.5693122436450708,218521.91302694895,75,42988.616175179784
0 - No/Unknown,Overall,0.9981424510300766,0.0002826925317848495,0.9974817125896407,0.9986300655866268,0.9981424510300766,0.0002826925317848495,0.9974817125896407,0.9986300655866268,1.0,0.0,N/A,N/A,259574255.7992553,55120,2518513.762605535
1 - Yes,1 - Yes,0.0010172653400969897,0.0001913144339481737,0.0006982789521919261,0.0014817543785632357,0.1259334655408638,0.024024523159004746,0.08517827968170674,0.18230283388398616,0.5476385045929164,0.058230241801947,0.4306877563549291,0.659555326199459,264547.3031765641,73,49919.78673494103
Overall,Overall,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,260057325.01545882,55268,2523735.9714758433
