RC-HEROIN DEPENDENCE OR ABUSE - PAST YEAR,RC-PAIN RELIEVER DEPENDENCE OR ABUSE - PAST YEAR,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
Overall,0 - No,0.9937841094874439,0.0004310197817712695,0.9928556478487998,0.9945925677968257,1.0,0.0,N/A,N/A,0.9937841094874439,0.0004310197817712695,0.9928556478487998,0.9945925677968257,270411970.57816976,55837,1891880.582173497
1 - Yes,0 - No,0.001609690378338198,0.00021799136708499452,0.001226272802977583,0.0021127371780798316,0.0016197586205804954,0.00021932414539278406,0.0012339894401160296,0.0021258700806908344,0.63487259023954,0.04507909155246993,0.5405559816705819,0.7198615270919066,438002.1204521498,106,59968.12538973159
Overall,1 - Yes,0.006215890512556408,0.0004310197817712696,0.005407432203174585,0.007144352151200575,1.0,0.0,N/A,N/A,0.006215890512556408,0.0004310197817712696,0.005407432203174585,0.007144352151200575,1691364.539190959,439,117085.50925160259
0 - No/Unknown,Overall,0.9974645457953526,0.00029091285508403726,0.9968076484903066,0.9979865449065872,0.9974645457953526,0.00029091285508403726,0.9968076484903066,0.9979865449065872,1.0,0.0,N/A,N/A,271413429.57223874,56108,1877988.3187066962
0 - No/Unknown,1 - Yes,0.005290126686247256,0.00039810400778796345,0.004547747061029713,0.006152944179198659,0.8510649721968134,0.023094547647048172,0.798511581287383,0.891768977819393,0.005303573654368883,0.00039899649927551626,0.00455951271133806,0.006168304533421771,1439461.1145212296,377,108082.850834093
1 - Yes,1 - Yes,0.0009257638263091549,0.00015539535784241953,0.0006607810151325338,0.0012968707050224728,0.148935027803187,0.02309454764704818,0.10823102218060744,0.20148841871261738,0.3651274097604598,0.045079091552469926,0.28013847290809313,0.4594440183294179,251903.42466973004,62,42311.14828061881
1 - Yes,Overall,0.0025354542046473532,0.00029091285508403726,0.00201345509341277,0.0031923515096934176,0.0025354542046473532,0.00029091285508403726,0.00201345509341277,0.0031923515096934176,1.0,0.0,N/A,N/A,689905.5451218799,168,79968.2546850224
Overall,Overall,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,272103335.11736065,56276,1892181.971891423
0 - No/Unknown,0 - No,0.9921744191091059,0.0004741138559694807,0.9911623061216968,0.9930714328416639,0.9983802413794197,0.00021932414539278436,0.9978741299193093,0.9987660105598842,0.9946964263456316,0.000398996499275516,0.9938316954665787,0.9954404872886624,269973968.45771766,55731,1878401.2351348668
