HEROIN ABUSE OR DEPENDENCE - PAST YEAR,PAIN RELIEVER ABUSE OR DEPENDENCE - PAST YEAR,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
Overall,0 - No/Unknown,0.9929162803337136,0.0004558877308586887,0.9919392873560582,0.9937756006246196,1.0,0.0,N/A,N/A,0.9929162803337136,0.0004558877308586887,0.9919392873560582,0.9937756006246196,263244808.40548402,54810,2088960.486297118
0 - No/Unknown,1 - Yes,0.00629177171666972,0.0004567651813206852,0.005437735504280075,0.007278958891020442,0.8882016811894105,0.016740986721702173,0.8499077205660573,0.9176718781301904,0.00630606778498096,0.00045740749649899107,0.005450777504337612,0.007294578707479701,1668092.5400166654,401,118092.61334696112
0 - No/Unknown,0 - No/Unknown,0.991441194563,0.0004661167855187173,0.99045235823846,0.9923284116884654,0.998514390588683,0.00019215941981176647,0.9980737565319534,0.998854343964513,0.993693932215019,0.0004574074964989912,0.9927054212925203,0.9945492224956624,262853729.4406365,54717,2076595.028140071
Overall,1 - Yes,0.007083719666286006,0.0004558877308586879,0.006224399375380037,0.008060712643941361,1.0,0.0,N/A,N/A,0.007083719666286006,0.0004558877308586879,0.006224399375380037,0.008060712643941361,1878056.0489177254,461,117291.71677655513
1 - Yes,Overall,0.002267033720329701,0.00025728044716841425,0.0018048377345630127,0.0028472546012316448,0.002267033720329701,0.00025728044716841425,0.0018048377345630127,0.0028472546012316448,1.0,0.0,N/A,N/A,601042.4737485297,153,68875.98844230482
1 - Yes,0 - No/Unknown,0.001475085770713417,0.00019090214911322818,0.0011373798730937158,0.0019128698161997007,0.001485609411316782,0.0001921594198117668,0.001145656035486792,0.0019262434680463283,0.6506677679672499,0.034221794481339,0.5792195556457651,0.7159339390245989,391078.96484747017,93,51279.98696901308
0 - No/Unknown,Overall,0.9977329662796697,0.0002572804471684136,0.9971527453987677,0.9981951622654364,0.9977329662796697,0.0002572804471684136,0.9971527453987677,0.9981951622654364,1.0,0.0,N/A,N/A,264521821.98065317,55118,2053014.3019121836
1 - Yes,1 - Yes,0.0007919479496162858,0.00011317204585520277,0.0005943307765022191,0.001055204183897759,0.11179831881058953,0.016740986721702173,0.08232812186980959,0.1500922794339427,0.349332232032751,0.03422179448133901,0.284066060975402,0.42078044435423584,209963.50890106,60,29926.672189543195
Overall,Overall,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,265122864.45440185,55271,2063976.0990447763
