HEROIN ABUSE OR DEPENDENCE - PAST YEAR,PAIN RELIEVER ABUSE OR DEPENDENCE - PAST YEAR,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
Overall,0 - No/Unknown,0.9923835751573635,0.0006577724112761375,0.990948448611024,0.9935926331505147,1.0,0.0,N/A,N/A,0.9923835751573635,0.0006577724112761375,0.990948448611024,0.9935926331505147,251687435.9018063,56659,2737785.796884435
1 - Yes,0 - No/Unknown,0.0006864093477130453,0.00015053385210149356,0.00044263210893100754,0.0010643026261266393,0.0006916774570802429,0.00015168112448733217,0.000446039455767104,0.001072445408879321,0.47521444555783776,0.07579529175702412,0.3302244510811767,0.6245070650697695,174086.525643608,49,38393.73551145673
Overall,1 - Yes,0.007616424842635768,0.0006577724112761382,0.00640736684948465,0.009051551388975287,1.0,0.0,N/A,N/A,0.007616424842635768,0.0006577724112761382,0.00640736684948465,0.009051551388975287,1931670.865348452,654,169625.75835124683
0 - No/Unknown,Overall,0.9985555797932288,0.0002331405137879622,0.9980053128123985,0.998954205725176,0.9985555797932288,0.0002331405137879622,0.9980053128123985,0.998954205725176,1.0,0.0,N/A,N/A,253252774.20451722,57217,2752354.2826505145
0 - No/Unknown,1 - Yes,0.006858413983578174,0.0006195719363843083,0.00572400097393431,0.008215793266122363,0.9004768149467783,0.020880917347682184,0.8502378507915224,0.9351481663871233,0.006868334745070822,0.0006205441672251869,0.005732152863689948,0.008227857951315495,1739424.8283544611,607,158914.57897976792
1 - Yes,1 - Yes,0.0007580108590575907,0.00016947676510469957,0.00048463865194656137,0.0011854024215010885,0.0995231850532212,0.02088091734768218,0.0648518336128763,0.1497621492084772,0.524785554442162,0.07579529175702412,0.37549293493023034,0.6697755489188232,192246.03699398992,47,43349.44419470994
1 - Yes,Overall,0.0014444202067706363,0.00023314051378796322,0.0010457942748234807,0.001994687187601025,0.0014444202067706363,0.00023314051378796322,0.0010457942748234807,0.001994687187601025,1.0,0.0,N/A,N/A,366332.562637598,96,59927.48387287123
Overall,Overall,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,253619106.76715493,57313,2765634.6461410155
0 - No/Unknown,0 - No/Unknown,0.9916971658096504,0.0006719714268105528,0.9902392351766939,0.9929388833704083,0.9993083225429197,0.0001516811244873321,0.9989275545911206,0.9995539605442328,0.9931316652549289,0.0006205441672251868,0.9917721420486842,0.9942678471363098,251513349.37616268,56610,2732706.1320815072
