"Notes"	"Census Division"	"Census Division Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2010"	"2010"	"45-54 years"	"45-54"	68	317084	21.4
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2010"	"2010"	"55-64 years"	"55-64"	28	248350	11.3
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2010"	"2010"	"65-74 years"	"65-74"	Suppressed	143161	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2010"	"2010"	"75-84 years"	"75-84"	Suppressed	97398	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2010"	"2010"	"85+ years"	"85+"	Suppressed	49675	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2010"	"2010"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2010"	"2010"			191	2242704	8.5
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2011"	"2011"	"< 1 year"	"1"	Suppressed	26600	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2011"	"2011"	"1-4 years"	"1-4"	Suppressed	101371	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2011"	"2011"	"5-14 years"	"5-14"	Suppressed	254720	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2011"	"2011"	"15-24 years"	"15-24"	18	362817	Unreliable
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2011"	"2011"	"25-34 years"	"25-34"	50	350072	14.3
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2011"	"2011"	"35-44 years"	"35-44"	58	288309	20.1
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2011"	"2011"	"45-54 years"	"45-54"	63	315581	20.0
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2011"	"2011"	"55-64 years"	"55-64"	32	258764	12.4
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2011"	"2011"	"65-74 years"	"65-74"	Suppressed	147373	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2011"	"2011"	"75-84 years"	"75-84"	Suppressed	95818	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2011"	"2011"	"85+ years"	"85+"	Suppressed	50921	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2011"	"2011"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2011"	"2011"			226	2252346	10.0
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2012"	"2012"	"< 1 year"	"1"	Suppressed	26410	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2012"	"2012"	"1-4 years"	"1-4"	Suppressed	102336	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2012"	"2012"	"5-14 years"	"5-14"	Suppressed	255503	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2012"	"2012"	"15-24 years"	"15-24"	Suppressed	358619	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2012"	"2012"	"25-34 years"	"25-34"	42	361322	11.6
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2012"	"2012"	"35-44 years"	"35-44"	61	286425	21.3
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2012"	"2012"	"45-54 years"	"45-54"	68	314269	21.6
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2012"	"2012"	"55-64 years"	"55-64"	32	263106	12.2
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2012"	"2012"	"65-74 years"	"65-74"	Suppressed	156323	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2012"	"2012"	"75-84 years"	"75-84"	Suppressed	94597	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2012"	"2012"	"85+ years"	"85+"	Suppressed	51098	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2012"	"2012"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2012"	"2012"			215	2270008	9.5
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2013"	"2013"	"< 1 year"	"1"	Suppressed	26886	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2013"	"2013"	"1-4 years"	"1-4"	Suppressed	101873	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2013"	"2013"	"5-14 years"	"5-14"	Suppressed	252633	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2013"	"2013"	"15-24 years"	"15-24"	19	349113	Unreliable
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2013"	"2013"	"25-34 years"	"25-34"	72	374749	19.2
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2013"	"2013"	"35-44 years"	"35-44"	82	286133	28.7
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2013"	"2013"	"45-54 years"	"45-54"	112	312431	35.8
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2013"	"2013"	"55-64 years"	"55-64"	48	269779	17.8
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2013"	"2013"	"65-74 years"	"65-74"	Suppressed	163205	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2013"	"2013"	"75-84 years"	"75-84"	Suppressed	93697	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2013"	"2013"	"85+ years"	"85+"	Suppressed	51876	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2013"	"2013"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2013"	"2013"			340	2282375	14.9
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2014"	"2014"	"< 1 year"	"1"	Suppressed	26660	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2014"	"2014"	"1-4 years"	"1-4"	Suppressed	102443	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2014"	"2014"	"5-14 years"	"5-14"	Suppressed	251854	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2014"	"2014"	"15-24 years"	"15-24"	22	346910	6.3
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2014"	"2014"	"25-34 years"	"25-34"	100	383497	26.1
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2014"	"2014"	"35-44 years"	"35-44"	99	286007	34.6
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2014"	"2014"	"45-54 years"	"45-54"	112	309598	36.2
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2014"	"2014"	"55-64 years"	"55-64"	46	276100	16.7
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2014"	"2014"	"65-74 years"	"65-74"	11	168999	Unreliable
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2014"	"2014"	"75-84 years"	"75-84"	Suppressed	93049	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2014"	"2014"	"85+ years"	"85+"	Suppressed	52096	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2014"	"2014"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2014"	"2014"			392	2297213	17.1
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2015"	"2015"	"< 1 year"	"1"	Suppressed	26548	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2015"	"2015"	"1-4 years"	"1-4"	Suppressed	102775	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2015"	"2015"	"5-14 years"	"5-14"	Suppressed	250155	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2015"	"2015"	"15-24 years"	"15-24"	42	341601	12.3
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2015"	"2015"	"25-34 years"	"25-34"	140	390120	35.9
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2015"	"2015"	"35-44 years"	"35-44"	112	287372	39.0
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2015"	"2015"	"45-54 years"	"45-54"	139	306928	45.3
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2015"	"2015"	"55-64 years"	"55-64"	105	281534	37.3
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2015"	"2015"	"65-74 years"	"65-74"	13	175423	Unreliable
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2015"	"2015"	"75-84 years"	"75-84"	Suppressed	92759	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2015"	"2015"	"85+ years"	"85+"	Suppressed	52220	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2015"	"2015"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2015"	"2015"			554	2307435	24.0
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2016"	"2016"	"< 1 year"	"1"	Suppressed	26388	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2016"	"2016"	"1-4 years"	"1-4"	Suppressed	100570	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2016"	"2016"	"5-14 years"	"5-14"	Suppressed	249243	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2016"	"2016"	"15-24 years"	"15-24"	37	341017	10.8
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2016"	"2016"	"25-34 years"	"25-34"	163	394040	41.4
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2016"	"2016"	"35-44 years"	"35-44"	157	285430	55.0
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2016"	"2016"	"45-54 years"	"45-54"	164	301660	54.4
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2016"	"2016"	"55-64 years"	"55-64"	124	285266	43.5
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2016"	"2016"	"65-74 years"	"65-74"	16	181576	Unreliable
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2016"	"2016"	"75-84 years"	"75-84"	Suppressed	93245	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2016"	"2016"	"85+ years"	"85+"	Suppressed	51857	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2016"	"2016"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2016"	"2016"			665	2310292	28.8
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2017"	"2017"	"< 1 year"	"1"	Suppressed	26018	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2017"	"2017"	"1-4 years"	"1-4"	Suppressed	100152	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2017"	"2017"	"5-14 years"	"5-14"	Suppressed	248003	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2017"	"2017"	"15-24 years"	"15-24"	38	340616	11.2
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2017"	"2017"	"25-34 years"	"25-34"	169	400548	42.2
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2017"	"2017"	"35-44 years"	"35-44"	160	288971	55.4
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2017"	"2017"	"45-54 years"	"45-54"	190	297360	63.9
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2017"	"2017"	"55-64 years"	"55-64"	124	289299	42.9
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2017"	"2017"	"65-74 years"	"65-74"	29	189678	15.3
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2017"	"2017"	"75-84 years"	"75-84"	Suppressed	96789	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2017"	"2017"	"85+ years"	"85+"	Suppressed	53250	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2017"	"2017"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2017"	"2017"			713	2330684	30.6
"Total"	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"					3957	24952249	15.9
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2007"	"2007"	"< 1 year"	"1"	Suppressed	56727	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2007"	"2007"	"1-4 years"	"1-4"	Suppressed	232253	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2007"	"2007"	"5-14 years"	"5-14"	Suppressed	647364	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2007"	"2007"	"15-24 years"	"15-24"	48	676648	7.1
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2007"	"2007"	"25-34 years"	"25-34"	105	592492	17.7
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2007"	"2007"	"35-44 years"	"35-44"	122	772163	15.8
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2007"	"2007"	"45-54 years"	"45-54"	147	804089	18.3
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2007"	"2007"	"55-64 years"	"55-64"	42	590614	7.1
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2007"	"2007"	"65-74 years"	"65-74"	Suppressed	325962	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2007"	"2007"	"75-84 years"	"75-84"	Suppressed	239882	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2007"	"2007"	"85+ years"	"85+"	Suppressed	103616	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2007"	"2007"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2007"	"2007"			477	5041810	9.5
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2008"	"2008"	"< 1 year"	"1"	Suppressed	55761	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2008"	"2008"	"1-4 years"	"1-4"	Suppressed	231082	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2008"	"2008"	"5-14 years"	"5-14"	Suppressed	643848	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2008"	"2008"	"15-24 years"	"15-24"	55	680656	8.1
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2008"	"2008"	"25-34 years"	"25-34"	103	599876	17.2
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2008"	"2008"	"35-44 years"	"35-44"	120	751071	16.0
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2008"	"2008"	"45-54 years"	"45-54"	144	815708	17.7
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2008"	"2008"	"55-64 years"	"55-64"	41	607129	6.8
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2008"	"2008"	"65-74 years"	"65-74"	Suppressed	341053	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2008"	"2008"	"75-84 years"	"75-84"	Suppressed	238079	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2008"	"2008"	"85+ years"	"85+"	Suppressed	106792	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2008"	"2008"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2008"	"2008"			470	5071055	9.3
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2009"	"2009"	"< 1 year"	"1"	Suppressed	54831	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2009"	"2009"	"1-4 years"	"1-4"	Suppressed	230075	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2009"	"2009"	"5-14 years"	"5-14"	Suppressed	641612	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2009"	"2009"	"15-24 years"	"15-24"	55	684933	8.0
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2009"	"2009"	"25-34 years"	"25-34"	126	608642	20.7
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2009"	"2009"	"35-44 years"	"35-44"	100	726918	13.8
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2009"	"2009"	"45-54 years"	"45-54"	142	827987	17.2
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2009"	"2009"	"55-64 years"	"55-64"	51	629049	8.1
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2009"	"2009"	"65-74 years"	"65-74"	Suppressed	354455	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2009"	"2009"	"75-84 years"	"75-84"	Suppressed	235311	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2009"	"2009"	"85+ years"	"85+"	Suppressed	109796	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2009"	"2009"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2009"	"2009"			486	5103609	9.5
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2010"	"2010"	"< 1 year"	"1"	Suppressed	54006	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2010"	"2010"	"1-4 years"	"1-4"	Suppressed	229904	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2010"	"2010"	"5-14 years"	"5-14"	Suppressed	639892	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2010"	"2010"	"15-24 years"	"15-24"	42	683593	6.1
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2010"	"2010"	"25-34 years"	"25-34"	110	614918	17.9
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2010"	"2010"	"35-44 years"	"35-44"	103	710073	14.5
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2010"	"2010"	"45-54 years"	"45-54"	115	832328	13.8
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2010"	"2010"	"55-64 years"	"55-64"	42	648688	6.5
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2010"	"2010"	"65-74 years"	"65-74"	Suppressed	363440	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2010"	"2010"	"75-84 years"	"75-84"	Suppressed	234636	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2010"	"2010"	"85+ years"	"85+"	Suppressed	111453	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Fringe Metro"	"2"	"2010"	"2010"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
