"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"< 1 year"	"1"	Suppressed	26857	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"1-4 years"	"1-4"	Suppressed	101870	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"5-14 years"	"5-14"	Suppressed	258869	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"15-24 years"	"15-24"	20	359380	5.6
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"25-34 years"	"25-34"	39	327288	11.9
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"35-44 years"	"35-44"	62	312469	19.8
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"45-54 years"	"45-54"	88	309940	28.4
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"55-64 years"	"55-64"	18	228514	Unreliable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"65-74 years"	"65-74"	Suppressed	132166	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"75-84 years"	"75-84"	Suppressed	102867	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"85+ years"	"85+"	Suppressed	46806	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"			229	2207026	10.4
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"< 1 year"	"1"	Suppressed	26679	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"1-4 years"	"1-4"	Suppressed	101741	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"5-14 years"	"5-14"	Suppressed	256463	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"15-24 years"	"15-24"	16	364421	Unreliable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"25-34 years"	"25-34"	38	330868	11.5
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"35-44 years"	"35-44"	57	305921	18.6
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"45-54 years"	"45-54"	70	312578	22.4
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"55-64 years"	"55-64"	27	233976	11.5
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"65-74 years"	"65-74"	Suppressed	136603	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"75-84 years"	"75-84"	Suppressed	100876	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"85+ years"	"85+"	Suppressed	47855	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"			213	2217981	9.6
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"< 1 year"	"1"	Suppressed	25916	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"1-4 years"	"1-4"	Suppressed	101921	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"5-14 years"	"5-14"	Suppressed	256081	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"15-24 years"	"15-24"	14	369957	Unreliable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"25-34 years"	"25-34"	32	335839	9.5
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"35-44 years"	"35-44"	64	298966	21.4
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"45-54 years"	"45-54"	75	315467	23.8
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"55-64 years"	"55-64"	30	241879	12.4
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"65-74 years"	"65-74"	Suppressed	140465	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"75-84 years"	"75-84"	Suppressed	98705	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"85+ years"	"85+"	Suppressed	48989	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"			219	2234185	9.8
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"< 1 year"	"1"	Suppressed	25677	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"1-4 years"	"1-4"	Suppressed	101961	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"5-14 years"	"5-14"	Suppressed	254996	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"15-24 years"	"15-24"	14	371299	Unreliable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"25-34 years"	"25-34"	32	338872	9.4
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"35-44 years"	"35-44"	47	294231	16.0
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"45-54 years"	"45-54"	68	317084	21.4
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"55-64 years"	"55-64"	28	248350	11.3
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"65-74 years"	"65-74"	Suppressed	143161	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"75-84 years"	"75-84"	Suppressed	97398	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"85+ years"	"85+"	Suppressed	49675	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"			191	2242704	8.5
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"< 1 year"	"1"	Suppressed	26600	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"1-4 years"	"1-4"	Suppressed	101371	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"5-14 years"	"5-14"	Suppressed	254720	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"15-24 years"	"15-24"	18	362817	Unreliable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"25-34 years"	"25-34"	50	350072	14.3
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"35-44 years"	"35-44"	58	288309	20.1
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"45-54 years"	"45-54"	63	315581	20.0
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"55-64 years"	"55-64"	32	258764	12.4
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"65-74 years"	"65-74"	Suppressed	147373	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"75-84 years"	"75-84"	Suppressed	95818	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"85+ years"	"85+"	Suppressed	50921	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"			226	2252346	10.0
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"< 1 year"	"1"	Suppressed	26410	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"1-4 years"	"1-4"	Suppressed	102336	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"5-14 years"	"5-14"	Suppressed	255503	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"15-24 years"	"15-24"	Suppressed	358619	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"25-34 years"	"25-34"	42	361322	11.6
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"35-44 years"	"35-44"	61	286425	21.3
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"45-54 years"	"45-54"	68	314269	21.6
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"55-64 years"	"55-64"	32	263106	12.2
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"65-74 years"	"65-74"	Suppressed	156323	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"75-84 years"	"75-84"	Suppressed	94597	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"85+ years"	"85+"	Suppressed	51098	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"			215	2270008	9.5
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"< 1 year"	"1"	Suppressed	26886	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"1-4 years"	"1-4"	Suppressed	101873	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"5-14 years"	"5-14"	Suppressed	252633	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"15-24 years"	"15-24"	19	349113	Unreliable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"25-34 years"	"25-34"	72	374749	19.2
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"35-44 years"	"35-44"	82	286133	28.7
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"45-54 years"	"45-54"	112	312431	35.8
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"55-64 years"	"55-64"	48	269779	17.8
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"65-74 years"	"65-74"	Suppressed	163205	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"75-84 years"	"75-84"	Suppressed	93697	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"85+ years"	"85+"	Suppressed	51876	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"			340	2282375	14.9
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"< 1 year"	"1"	Suppressed	26660	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"1-4 years"	"1-4"	Suppressed	102443	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"5-14 years"	"5-14"	Suppressed	251854	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"15-24 years"	"15-24"	22	346910	6.3
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"25-34 years"	"25-34"	100	383497	26.1
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"35-44 years"	"35-44"	99	286007	34.6
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"45-54 years"	"45-54"	112	309598	36.2
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"55-64 years"	"55-64"	46	276100	16.7
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"65-74 years"	"65-74"	11	168999	Unreliable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"75-84 years"	"75-84"	Suppressed	93049	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"85+ years"	"85+"	Suppressed	52096	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"			392	2297213	17.1
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"< 1 year"	"1"	Suppressed	26548	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"1-4 years"	"1-4"	Suppressed	102775	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"5-14 years"	"5-14"	Suppressed	250155	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"15-24 years"	"15-24"	42	341601	12.3
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"25-34 years"	"25-34"	140	390120	35.9
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"35-44 years"	"35-44"	112	287372	39.0
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"45-54 years"	"45-54"	139	306928	45.3
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"55-64 years"	"55-64"	105	281534	37.3
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"65-74 years"	"65-74"	13	175423	Unreliable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"75-84 years"	"75-84"	Suppressed	92759	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"85+ years"	"85+"	Suppressed	52220	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"			554	2307435	24.0
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"< 1 year"	"1"	Suppressed	26388	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"1-4 years"	"1-4"	Suppressed	100570	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"5-14 years"	"5-14"	Suppressed	249243	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"15-24 years"	"15-24"	37	341017	10.8
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"25-34 years"	"25-34"	163	394040	41.4
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"35-44 years"	"35-44"	157	285430	55.0
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"45-54 years"	"45-54"	164	301660	54.4
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"55-64 years"	"55-64"	124	285266	43.5
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"65-74 years"	"65-74"	16	181576	Unreliable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"75-84 years"	"75-84"	Suppressed	93245	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"85+ years"	"85+"	Suppressed	51857	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"			665	2310292	28.8
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"< 1 year"	"1"	Suppressed	26018	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"1-4 years"	"1-4"	Suppressed	100152	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"5-14 years"	"5-14"	Suppressed	248003	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"15-24 years"	"15-24"	38	340616	11.2
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"25-34 years"	"25-34"	169	400548	42.2
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"35-44 years"	"35-44"	160	288971	55.4
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"45-54 years"	"45-54"	190	297360	63.9
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"55-64 years"	"55-64"	124	289299	42.9
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"65-74 years"	"65-74"	29	189678	15.3
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"75-84 years"	"75-84"	Suppressed	96789	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"85+ years"	"85+"	Suppressed	53250	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"			713	2330684	30.6
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"< 1 year"	"1"	Suppressed	25886	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"1-4 years"	"1-4"	Suppressed	100103	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"5-14 years"	"5-14"	Suppressed	247198	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"15-24 years"	"15-24"	37	337511	11.0
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"25-34 years"	"25-34"	138	405256	34.1
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"35-44 years"	"35-44"	179	291946	61.3
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"45-54 years"	"45-54"	159	291009	54.6
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"55-64 years"	"55-64"	118	290382	40.6
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"65-74 years"	"65-74"	28	193745	14.5
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"75-84 years"	"75-84"	Suppressed	100276	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"85+ years"	"85+"	Suppressed	52721	Suppressed
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"			659	2336033	28.2
"Total"	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"					4616	27288282	16.9
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"< 1 year"	"1"	Suppressed	192985	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"1-4 years"	"1-4"	Suppressed	708243	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"5-14 years"	"5-14"	Suppressed	1731470	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"15-24 years"	"15-24"	48	2062414	2.3
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"25-34 years"	"25-34"	160	2216660	7.2
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"35-44 years"	"35-44"	209	2069648	10.1
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"45-54 years"	"45-54"	273	1999093	13.7
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"55-64 years"	"55-64"	101	1510785	6.7
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"65-74 years"	"65-74"	Suppressed	910670	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"75-84 years"	"75-84"	Suppressed	643775	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"85+ years"	"85+"	Suppressed	262552	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"			804	14308295	5.6
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"< 1 year"	"1"	Suppressed	194390	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"1-4 years"	"1-4"	Suppressed	708688	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"5-14 years"	"5-14"	Suppressed	1714801	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"15-24 years"	"15-24"	72	2087792	3.4
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"25-34 years"	"25-34"	138	2249155	6.1
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"35-44 years"	"35-44"	217	2035968	10.7
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"45-54 years"	"45-54"	299	2011872	14.9
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"55-64 years"	"55-64"	105	1542149	6.8
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"65-74 years"	"65-74"	13	931830	Unreliable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"75-84 years"	"75-84"	Suppressed	631947	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"85+ years"	"85+"	Suppressed	267220	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"			852	14375812	5.9
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"< 1 year"	"1"	Suppressed	191225	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"1-4 years"	"1-4"	Suppressed	713175	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"5-14 years"	"5-14"	Suppressed	1710516	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"15-24 years"	"15-24"	61	2112077	2.9
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"25-34 years"	"25-34"	134	2284438	5.9
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"35-44 years"	"35-44"	179	2003246	8.9
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"45-54 years"	"45-54"	227	2026004	11.2
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"55-64 years"	"55-64"	119	1588129	7.5
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"65-74 years"	"65-74"	13	951059	Unreliable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"75-84 years"	"75-84"	Suppressed	620024	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"85+ years"	"85+"	Suppressed	274215	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"			744	14474108	5.1
