"Notes"	"Census Division"	"Census Division Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Division 6: East South Central"	"CENS-D6"	"Small Metro"	"4"	"2008"	"2008"	82	2300223	3.6
	"Division 6: East South Central"	"CENS-D6"	"Small Metro"	"4"	"2009"	"2009"	98	2325850	4.2
	"Division 6: East South Central"	"CENS-D6"	"Small Metro"	"4"	"2010"	"2010"	117	2345278	5.0
	"Division 6: East South Central"	"CENS-D6"	"Small Metro"	"4"	"2011"	"2011"	126	2366188	5.3
	"Division 6: East South Central"	"CENS-D6"	"Small Metro"	"4"	"2012"	"2012"	115	2381296	4.8
	"Division 6: East South Central"	"CENS-D6"	"Small Metro"	"4"	"2013"	"2013"	119	2395889	5.0
	"Division 6: East South Central"	"CENS-D6"	"Small Metro"	"4"	"2014"	"2014"	151	2409605	6.3
	"Division 6: East South Central"	"CENS-D6"	"Small Metro"	"4"	"2015"	"2015"	158	2418266	6.5
	"Division 6: East South Central"	"CENS-D6"	"Small Metro"	"4"	"2016"	"2016"	189	2430258	7.8
	"Division 6: East South Central"	"CENS-D6"	"Small Metro"	"4"	"2017"	"2017"	236	2445537	9.7
"Total"	"Division 6: East South Central"	"CENS-D6"	"Small Metro"	"4"			1500	26091440	5.7
	"Division 6: East South Central"	"CENS-D6"	"Micropolitan (Nonmetro)"	"5"	"2007"	"2007"	184	3127229	5.9
	"Division 6: East South Central"	"CENS-D6"	"Micropolitan (Nonmetro)"	"5"	"2008"	"2008"	190	3146117	6.0
	"Division 6: East South Central"	"CENS-D6"	"Micropolitan (Nonmetro)"	"5"	"2009"	"2009"	223	3155907	7.1
	"Division 6: East South Central"	"CENS-D6"	"Micropolitan (Nonmetro)"	"5"	"2010"	"2010"	236	3163726	7.5
	"Division 6: East South Central"	"CENS-D6"	"Micropolitan (Nonmetro)"	"5"	"2011"	"2011"	257	3172123	8.1
	"Division 6: East South Central"	"CENS-D6"	"Micropolitan (Nonmetro)"	"5"	"2012"	"2012"	278	3173800	8.8
	"Division 6: East South Central"	"CENS-D6"	"Micropolitan (Nonmetro)"	"5"	"2013"	"2013"	243	3178109	7.6
	"Division 6: East South Central"	"CENS-D6"	"Micropolitan (Nonmetro)"	"5"	"2014"	"2014"	282	3184061	8.9
	"Division 6: East South Central"	"CENS-D6"	"Micropolitan (Nonmetro)"	"5"	"2015"	"2015"	301	3183365	9.5
	"Division 6: East South Central"	"CENS-D6"	"Micropolitan (Nonmetro)"	"5"	"2016"	"2016"	327	3183426	10.3
	"Division 6: East South Central"	"CENS-D6"	"Micropolitan (Nonmetro)"	"5"	"2017"	"2017"	386	3184886	12.1
"Total"	"Division 6: East South Central"	"CENS-D6"	"Micropolitan (Nonmetro)"	"5"			2907	34852749	8.3
	"Division 6: East South Central"	"CENS-D6"	"NonCore (Nonmetro)"	"6"	"2007"	"2007"	243	2973509	8.2
	"Division 6: East South Central"	"CENS-D6"	"NonCore (Nonmetro)"	"6"	"2008"	"2008"	225	2979707	7.6
	"Division 6: East South Central"	"CENS-D6"	"NonCore (Nonmetro)"	"6"	"2009"	"2009"	289	2976940	9.7
	"Division 6: East South Central"	"CENS-D6"	"NonCore (Nonmetro)"	"6"	"2010"	"2010"	369	2974706	12.4
	"Division 6: East South Central"	"CENS-D6"	"NonCore (Nonmetro)"	"6"	"2011"	"2011"	375	2966359	12.6
	"Division 6: East South Central"	"CENS-D6"	"NonCore (Nonmetro)"	"6"	"2012"	"2012"	335	2950479	11.4
	"Division 6: East South Central"	"CENS-D6"	"NonCore (Nonmetro)"	"6"	"2013"	"2013"	326	2941627	11.1
	"Division 6: East South Central"	"CENS-D6"	"NonCore (Nonmetro)"	"6"	"2014"	"2014"	341	2933073	11.6
	"Division 6: East South Central"	"CENS-D6"	"NonCore (Nonmetro)"	"6"	"2015"	"2015"	371	2921820	12.7
	"Division 6: East South Central"	"CENS-D6"	"NonCore (Nonmetro)"	"6"	"2016"	"2016"	329	2909441	11.3
	"Division 6: East South Central"	"CENS-D6"	"NonCore (Nonmetro)"	"6"	"2017"	"2017"	309	2896796	10.7
"Total"	"Division 6: East South Central"	"CENS-D6"	"NonCore (Nonmetro)"	"6"			3512	32424457	10.8
"Total"	"Division 6: East South Central"	"CENS-D6"					20705	204575152	10.1
	"Division 7: West South Central"	"CENS-D7"	"Large Central Metro"	"1"	"2007"	"2007"	706	12111788	5.8
	"Division 7: West South Central"	"CENS-D7"	"Large Central Metro"	"1"	"2008"	"2008"	539	12375198	4.4
	"Division 7: West South Central"	"CENS-D7"	"Large Central Metro"	"1"	"2009"	"2009"	745	12662642	5.9
	"Division 7: West South Central"	"CENS-D7"	"Large Central Metro"	"1"	"2010"	"2010"	719	12853474	5.6
	"Division 7: West South Central"	"CENS-D7"	"Large Central Metro"	"1"	"2011"	"2011"	768	13171343	5.8
	"Division 7: West South Central"	"CENS-D7"	"Large Central Metro"	"1"	"2012"	"2012"	777	13414657	5.8
	"Division 7: West South Central"	"CENS-D7"	"Large Central Metro"	"1"	"2013"	"2013"	761	13656027	5.6
	"Division 7: West South Central"	"CENS-D7"	"Large Central Metro"	"1"	"2014"	"2014"	805	13948155	5.8
	"Division 7: West South Central"	"CENS-D7"	"Large Central Metro"	"1"	"2015"	"2015"	850	14228830	6.0
	"Division 7: West South Central"	"CENS-D7"	"Large Central Metro"	"1"	"2016"	"2016"	929	14423837	6.4
	"Division 7: West South Central"	"CENS-D7"	"Large Central Metro"	"1"	"2017"	"2017"	932	14661732	6.4
"Total"	"Division 7: West South Central"	"CENS-D7"	"Large Central Metro"	"1"			8531	147507683	5.8
	"Division 7: West South Central"	"CENS-D7"	"Large Fringe Metro"	"2"	"2007"	"2007"	326	5446868	6.0
	"Division 7: West South Central"	"CENS-D7"	"Large Fringe Metro"	"2"	"2008"	"2008"	310	5610618	5.5
	"Division 7: West South Central"	"CENS-D7"	"Large Fringe Metro"	"2"	"2009"	"2009"	337	5749767	5.9
	"Division 7: West South Central"	"CENS-D7"	"Large Fringe Metro"	"2"	"2010"	"2010"	340	5845708	5.8
	"Division 7: West South Central"	"CENS-D7"	"Large Fringe Metro"	"2"	"2011"	"2011"	335	5989748	5.6
	"Division 7: West South Central"	"CENS-D7"	"Large Fringe Metro"	"2"	"2012"	"2012"	373	6105357	6.1
	"Division 7: West South Central"	"CENS-D7"	"Large Fringe Metro"	"2"	"2013"	"2013"	373	6239045	6.0
	"Division 7: West South Central"	"CENS-D7"	"Large Fringe Metro"	"2"	"2014"	"2014"	377	6406470	5.9
	"Division 7: West South Central"	"CENS-D7"	"Large Fringe Metro"	"2"	"2015"	"2015"	441	6586151	6.7
	"Division 7: West South Central"	"CENS-D7"	"Large Fringe Metro"	"2"	"2016"	"2016"	462	6759299	6.8
	"Division 7: West South Central"	"CENS-D7"	"Large Fringe Metro"	"2"	"2017"	"2017"	567	6928407	8.2
"Total"	"Division 7: West South Central"	"CENS-D7"	"Large Fringe Metro"	"2"			4241	67667438	6.3
	"Division 7: West South Central"	"CENS-D7"	"Medium Metro"	"3"	"2007"	"2007"	468	7990944	5.9
	"Division 7: West South Central"	"CENS-D7"	"Medium Metro"	"3"	"2008"	"2008"	422	8110714	5.2
	"Division 7: West South Central"	"CENS-D7"	"Medium Metro"	"3"	"2009"	"2009"	490	8231713	6.0
	"Division 7: West South Central"	"CENS-D7"	"Medium Metro"	"3"	"2010"	"2010"	478	8334469	5.7
	"Division 7: West South Central"	"CENS-D7"	"Medium Metro"	"3"	"2011"	"2011"	410	8462748	4.8
	"Division 7: West South Central"	"CENS-D7"	"Medium Metro"	"3"	"2012"	"2012"	436	8531541	5.1
	"Division 7: West South Central"	"CENS-D7"	"Medium Metro"	"3"	"2013"	"2013"	477	8596814	5.5
	"Division 7: West South Central"	"CENS-D7"	"Medium Metro"	"3"	"2014"	"2014"	482	8671586	5.6
	"Division 7: West South Central"	"CENS-D7"	"Medium Metro"	"3"	"2015"	"2015"	473	8749499	5.4
	"Division 7: West South Central"	"CENS-D7"	"Medium Metro"	"3"	"2016"	"2016"	517	8803014	5.9
	"Division 7: West South Central"	"CENS-D7"	"Medium Metro"	"3"	"2017"	"2017"	568	8857241	6.4
"Total"	"Division 7: West South Central"	"CENS-D7"	"Medium Metro"	"3"			5221	93340283	5.6
	"Division 7: West South Central"	"CENS-D7"	"Small Metro"	"4"	"2007"	"2007"	110	2943508	3.7
	"Division 7: West South Central"	"CENS-D7"	"Small Metro"	"4"	"2008"	"2008"	120	2971291	4.0
	"Division 7: West South Central"	"CENS-D7"	"Small Metro"	"4"	"2009"	"2009"	126	3008247	4.2
	"Division 7: West South Central"	"CENS-D7"	"Small Metro"	"4"	"2010"	"2010"	135	3030847	4.5
	"Division 7: West South Central"	"CENS-D7"	"Small Metro"	"4"	"2011"	"2011"	112	3057901	3.7
	"Division 7: West South Central"	"CENS-D7"	"Small Metro"	"4"	"2012"	"2012"	99	3079612	3.2
	"Division 7: West South Central"	"CENS-D7"	"Small Metro"	"4"	"2013"	"2013"	111	3100689	3.6
	"Division 7: West South Central"	"CENS-D7"	"Small Metro"	"4"	"2014"	"2014"	144	3130132	4.6
	"Division 7: West South Central"	"CENS-D7"	"Small Metro"	"4"	"2015"	"2015"	146	3161483	4.6
	"Division 7: West South Central"	"CENS-D7"	"Small Metro"	"4"	"2016"	"2016"	132	3174123	4.2
	"Division 7: West South Central"	"CENS-D7"	"Small Metro"	"4"	"2017"	"2017"	132	3186173	4.1
"Total"	"Division 7: West South Central"	"CENS-D7"	"Small Metro"	"4"			1367	33844006	4.0
	"Division 7: West South Central"	"CENS-D7"	"Micropolitan (Nonmetro)"	"5"	"2007"	"2007"	176	3314032	5.3
	"Division 7: West South Central"	"CENS-D7"	"Micropolitan (Nonmetro)"	"5"	"2008"	"2008"	216	3331300	6.5
	"Division 7: West South Central"	"CENS-D7"	"Micropolitan (Nonmetro)"	"5"	"2009"	"2009"	243	3361003	7.2
	"Division 7: West South Central"	"CENS-D7"	"Micropolitan (Nonmetro)"	"5"	"2010"	"2010"	182	3378358	5.4
	"Division 7: West South Central"	"CENS-D7"	"Micropolitan (Nonmetro)"	"5"	"2011"	"2011"	217	3393507	6.4
	"Division 7: West South Central"	"CENS-D7"	"Micropolitan (Nonmetro)"	"5"	"2012"	"2012"	221	3400326	6.5
	"Division 7: West South Central"	"CENS-D7"	"Micropolitan (Nonmetro)"	"5"	"2013"	"2013"	200	3400926	5.9
	"Division 7: West South Central"	"CENS-D7"	"Micropolitan (Nonmetro)"	"5"	"2014"	"2014"	203	3408156	6.0
	"Division 7: West South Central"	"CENS-D7"	"Micropolitan (Nonmetro)"	"5"	"2015"	"2015"	225	3416248	6.6
	"Division 7: West South Central"	"CENS-D7"	"Micropolitan (Nonmetro)"	"5"	"2016"	"2016"	218	3411038	6.4
	"Division 7: West South Central"	"CENS-D7"	"Micropolitan (Nonmetro)"	"5"	"2017"	"2017"	191	3405426	5.6
"Total"	"Division 7: West South Central"	"CENS-D7"	"Micropolitan (Nonmetro)"	"5"			2292	37220320	6.2
	"Division 7: West South Central"	"CENS-D7"	"NonCore (Nonmetro)"	"6"	"2007"	"2007"	162	2883423	5.6
	"Division 7: West South Central"	"CENS-D7"	"NonCore (Nonmetro)"	"6"	"2008"	"2008"	146	2889034	5.1
	"Division 7: West South Central"	"CENS-D7"	"NonCore (Nonmetro)"	"6"	"2009"	"2009"	191	2894452	6.6
	"Division 7: West South Central"	"CENS-D7"	"NonCore (Nonmetro)"	"6"	"2010"	"2010"	168	2903346	5.8
	"Division 7: West South Central"	"CENS-D7"	"NonCore (Nonmetro)"	"6"	"2011"	"2011"	165	2903757	5.7
	"Division 7: West South Central"	"CENS-D7"	"NonCore (Nonmetro)"	"6"	"2012"	"2012"	172	2893554	5.9
	"Division 7: West South Central"	"CENS-D7"	"NonCore (Nonmetro)"	"6"	"2013"	"2013"	158	2890103	5.5
	"Division 7: West South Central"	"CENS-D7"	"NonCore (Nonmetro)"	"6"	"2014"	"2014"	157	2886555	5.4
	"Division 7: West South Central"	"CENS-D7"	"NonCore (Nonmetro)"	"6"	"2015"	"2015"	166	2887169	5.7
	"Division 7: West South Central"	"CENS-D7"	"NonCore (Nonmetro)"	"6"	"2016"	"2016"	162	2884760	5.6
	"Division 7: West South Central"	"CENS-D7"	"NonCore (Nonmetro)"	"6"	"2017"	"2017"	177	2885093	6.1
"Total"	"Division 7: West South Central"	"CENS-D7"	"NonCore (Nonmetro)"	"6"			1824	31801246	5.7
"Total"	"Division 7: West South Central"	"CENS-D7"					23476	411380976	5.7
	"Division 8: Mountain"	"CENS-D8"	"Large Central Metro"	"1"	"2007"	"2007"	885	7127885	12.4
	"Division 8: Mountain"	"CENS-D8"	"Large Central Metro"	"1"	"2008"	"2008"	902	7258684	12.4
	"Division 8: Mountain"	"CENS-D8"	"Large Central Metro"	"1"	"2009"	"2009"	996	7348992	13.6
	"Division 8: Mountain"	"CENS-D8"	"Large Central Metro"	"1"	"2010"	"2010"	921	7398199	12.4
	"Division 8: Mountain"	"CENS-D8"	"Large Central Metro"	"1"	"2011"	"2011"	960	7519172	12.8
	"Division 8: Mountain"	"CENS-D8"	"Large Central Metro"	"1"	"2012"	"2012"	877	7641035	11.5
	"Division 8: Mountain"	"CENS-D8"	"Large Central Metro"	"1"	"2013"	"2013"	856	7766496	11.0
	"Division 8: Mountain"	"CENS-D8"	"Large Central Metro"	"1"	"2014"	"2014"	926	7912476	11.7
	"Division 8: Mountain"	"CENS-D8"	"Large Central Metro"	"1"	"2015"	"2015"	985	8072607	12.2
	"Division 8: Mountain"	"CENS-D8"	"Large Central Metro"	"1"	"2016"	"2016"	1109	8213075	13.5
	"Division 8: Mountain"	"CENS-D8"	"Large Central Metro"	"1"	"2017"	"2017"	1254	8351382	15.0
"Total"	"Division 8: Mountain"	"CENS-D8"	"Large Central Metro"	"1"			10671	84610003	12.6
	"Division 8: Mountain"	"CENS-D8"	"Large Fringe Metro"	"2"	"2007"	"2007"	147	2214286	6.6
	"Division 8: Mountain"	"CENS-D8"	"Large Fringe Metro"	"2"	"2008"	"2008"	146	2279470	6.4
	"Division 8: Mountain"	"CENS-D8"	"Large Fringe Metro"	"2"	"2009"	"2009"	163	2327454	7.0
	"Division 8: Mountain"	"CENS-D8"	"Large Fringe Metro"	"2"	"2010"	"2010"	122	2377312	5.1
	"Division 8: Mountain"	"CENS-D8"	"Large Fringe Metro"	"2"	"2011"	"2011"	186	2421854	7.7
	"Division 8: Mountain"	"CENS-D8"	"Large Fringe Metro"	"2"	"2012"	"2012"	195	2458179	7.9
	"Division 8: Mountain"	"CENS-D8"	"Large Fringe Metro"	"2"	"2013"	"2013"	203	2498093	8.1
	"Division 8: Mountain"	"CENS-D8"	"Large Fringe Metro"	"2"	"2014"	"2014"	248	2553912	9.7
	"Division 8: Mountain"	"CENS-D8"	"Large Fringe Metro"	"2"	"2015"	"2015"	253	2601321	9.7
	"Division 8: Mountain"	"CENS-D8"	"Large Fringe Metro"	"2"	"2016"	"2016"	248	2643390	9.4
	"Division 8: Mountain"	"CENS-D8"	"Large Fringe Metro"	"2"	"2017"	"2017"	232	2681299	8.7
"Total"	"Division 8: Mountain"	"CENS-D8"	"Large Fringe Metro"	"2"			2143	27056570	7.9
	"Division 8: Mountain"	"CENS-D8"	"Medium Metro"	"3"	"2007"	"2007"	592	5270234	11.2
	"Division 8: Mountain"	"CENS-D8"	"Medium Metro"	"3"	"2008"	"2008"	635	5374545	11.8
	"Division 8: Mountain"	"CENS-D8"	"Medium Metro"	"3"	"2009"	"2009"	625	5458016	11.5
	"Division 8: Mountain"	"CENS-D8"	"Medium Metro"	"3"	"2010"	"2010"	606	5525922	11.0
	"Division 8: Mountain"	"CENS-D8"	"Medium Metro"	"3"	"2011"	"2011"	659	5616381	11.7
	"Division 8: Mountain"	"CENS-D8"	"Medium Metro"	"3"	"2012"	"2012"	696	5676968	12.3
	"Division 8: Mountain"	"CENS-D8"	"Medium Metro"	"3"	"2013"	"2013"	701	5745271	12.2
	"Division 8: Mountain"	"CENS-D8"	"Medium Metro"	"3"	"2014"	"2014"	801	5823301	13.8
	"Division 8: Mountain"	"CENS-D8"	"Medium Metro"	"3"	"2015"	"2015"	766	5909753	13.0
	"Division 8: Mountain"	"CENS-D8"	"Medium Metro"	"3"	"2016"	"2016"	819	6002406	13.6
	"Division 8: Mountain"	"CENS-D8"	"Medium Metro"	"3"	"2017"	"2017"	826	6085967	13.6
"Total"	"Division 8: Mountain"	"CENS-D8"	"Medium Metro"	"3"			7726	62488764	12.4
	"Division 8: Mountain"	"CENS-D8"	"Small Metro"	"4"	"2007"	"2007"	196	2790526	7.0
	"Division 8: Mountain"	"CENS-D8"	"Small Metro"	"4"	"2008"	"2008"	231	2832776	8.2
	"Division 8: Mountain"	"CENS-D8"	"Small Metro"	"4"	"2009"	"2009"	263	2869870	9.2
	"Division 8: Mountain"	"CENS-D8"	"Small Metro"	"4"	"2010"	"2010"	277	2891412	9.6
	"Division 8: Mountain"	"CENS-D8"	"Small Metro"	"4"	"2011"	"2011"	248	2923881	8.5
	"Division 8: Mountain"	"CENS-D8"	"Small Metro"	"4"	"2012"	"2012"	317	2940542	10.8
	"Division 8: Mountain"	"CENS-D8"	"Small Metro"	"4"	"2013"	"2013"	313	2954246	10.6
	"Division 8: Mountain"	"CENS-D8"	"Small Metro"	"4"	"2014"	"2014"	279	2973043	9.4
	"Division 8: Mountain"	"CENS-D8"	"Small Metro"	"4"	"2015"	"2015"	347	2992519	11.6
	"Division 8: Mountain"	"CENS-D8"	"Small Metro"	"4"	"2016"	"2016"	298	3015826	9.9
	"Division 8: Mountain"	"CENS-D8"	"Small Metro"	"4"	"2017"	"2017"	343	3052590	11.2
"Total"	"Division 8: Mountain"	"CENS-D8"	"Small Metro"	"4"			3112	32237231	9.7
	"Division 8: Mountain"	"CENS-D8"	"Micropolitan (Nonmetro)"	"5"	"2007"	"2007"	172	2462286	7.0
	"Division 8: Mountain"	"CENS-D8"	"Micropolitan (Nonmetro)"	"5"	"2008"	"2008"	195	2496775	7.8
	"Division 8: Mountain"	"CENS-D8"	"Micropolitan (Nonmetro)"	"5"	"2009"	"2009"	190	2530605	7.5
	"Division 8: Mountain"	"CENS-D8"	"Micropolitan (Nonmetro)"	"5"	"2010"	"2010"	208	2544215	8.2
	"Division 8: Mountain"	"CENS-D8"	"Micropolitan (Nonmetro)"	"5"	"2011"	"2011"	231	2561558	9.0
	"Division 8: Mountain"	"CENS-D8"	"Micropolitan (Nonmetro)"	"5"	"2012"	"2012"	236	2570320	9.2
	"Division 8: Mountain"	"CENS-D8"	"Micropolitan (Nonmetro)"	"5"	"2013"	"2013"	262	2584469	10.1
	"Division 8: Mountain"	"CENS-D8"	"Micropolitan (Nonmetro)"	"5"	"2014"	"2014"	270	2604333	10.4
	"Division 8: Mountain"	"CENS-D8"	"Micropolitan (Nonmetro)"	"5"	"2015"	"2015"	262	2621125	10.0
	"Division 8: Mountain"	"CENS-D8"	"Micropolitan (Nonmetro)"	"5"	"2016"	"2016"	280	2639117	10.6
	"Division 8: Mountain"	"CENS-D8"	"Micropolitan (Nonmetro)"	"5"	"2017"	"2017"	282	2646567	10.7
"Total"	"Division 8: Mountain"	"CENS-D8"	"Micropolitan (Nonmetro)"	"5"			2588	28261370	9.2
	"Division 8: Mountain"	"CENS-D8"	"NonCore (Nonmetro)"	"6"	"2007"	"2007"	85	1299907	6.5
	"Division 8: Mountain"	"CENS-D8"	"NonCore (Nonmetro)"	"6"	"2008"	"2008"	102	1311941	7.8
	"Division 8: Mountain"	"CENS-D8"	"NonCore (Nonmetro)"	"6"	"2009"	"2009"	97	1323572	7.3
	"Division 8: Mountain"	"CENS-D8"	"NonCore (Nonmetro)"	"6"	"2010"	"2010"	100	1328391	7.5
	"Division 8: Mountain"	"CENS-D8"	"NonCore (Nonmetro)"	"6"	"2011"	"2011"	105	1330565	7.9
	"Division 8: Mountain"	"CENS-D8"	"NonCore (Nonmetro)"	"6"	"2012"	"2012"	90	1330830	6.8
	"Division 8: Mountain"	"CENS-D8"	"NonCore (Nonmetro)"	"6"	"2013"	"2013"	91	1332670	6.8
	"Division 8: Mountain"	"CENS-D8"	"NonCore (Nonmetro)"	"6"	"2014"	"2014"	115	1330054	8.6
	"Division 8: Mountain"	"CENS-D8"	"NonCore (Nonmetro)"	"6"	"2015"	"2015"	103	1333173	7.7
	"Division 8: Mountain"	"CENS-D8"	"NonCore (Nonmetro)"	"6"	"2016"	"2016"	135	1341253	10.1
	"Division 8: Mountain"	"CENS-D8"	"NonCore (Nonmetro)"	"6"	"2017"	"2017"	104	1340312	7.8
"Total"	"Division 8: Mountain"	"CENS-D8"	"NonCore (Nonmetro)"	"6"			1127	14602668	7.7
"Total"	"Division 8: Mountain"	"CENS-D8"					27367	249256606	11.0
	"Division 9: Pacific"	"CENS-D9"	"Large Central Metro"	"1"	"2007"	"2007"	1300	25556273	5.1
	"Division 9: Pacific"	"CENS-D9"	"Large Central Metro"	"1"	"2008"	"2008"	1364	25816339	5.3
	"Division 9: Pacific"	"CENS-D9"	"Large Central Metro"	"1"	"2009"	"2009"	1522	26096437	5.8
	"Division 9: Pacific"	"CENS-D9"	"Large Central Metro"	"1"	"2010"	"2010"	1474	26296310	5.6
	"Division 9: Pacific"	"CENS-D9"	"Large Central Metro"	"1"	"2011"	"2011"	1512	26630427	5.7
	"Division 9: Pacific"	"CENS-D9"	"Large Central Metro"	"1"	"2012"	"2012"	1385	26933671	5.1
	"Division 9: Pacific"	"CENS-D9"	"Large Central Metro"	"1"	"2013"	"2013"	1602	27186279	5.9
	"Division 9: Pacific"	"CENS-D9"	"Large Central Metro"	"1"	"2014"	"2014"	1592	27551622	5.8
	"Division 9: Pacific"	"CENS-D9"	"Large Central Metro"	"1"	"2015"	"2015"	1565	27830444	5.6
	"Division 9: Pacific"	"CENS-D9"	"Large Central Metro"	"1"	"2016"	"2016"	1660	27918126	5.9
	"Division 9: Pacific"	"CENS-D9"	"Large Central Metro"	"1"	"2017"	"2017"	1827	28127383	6.5
"Total"	"Division 9: Pacific"	"CENS-D9"	"Large Central Metro"	"1"			16803	295943311	5.7
	"Division 9: Pacific"	"CENS-D9"	"Large Fringe Metro"	"2"	"2007"	"2007"	443	7593048	5.8
	"Division 9: Pacific"	"CENS-D9"	"Large Fringe Metro"	"2"	"2008"	"2008"	514	7687332	6.7
	"Division 9: Pacific"	"CENS-D9"	"Large Fringe Metro"	"2"	"2009"	"2009"	547	7776622	7.0
	"Division 9: Pacific"	"CENS-D9"	"Large Fringe Metro"	"2"	"2010"	"2010"	463	7839938	5.9
	"Division 9: Pacific"	"CENS-D9"	"Large Fringe Metro"	"2"	"2011"	"2011"	543	7954793	6.8
	"Division 9: Pacific"	"CENS-D9"	"Large Fringe Metro"	"2"	"2012"	"2012"	501	8034796	6.2
	"Division 9: Pacific"	"CENS-D9"	"Large Fringe Metro"	"2"	"2013"	"2013"	468	8113628	5.8
	"Division 9: Pacific"	"CENS-D9"	"Large Fringe Metro"	"2"	"2014"	"2014"	489	8226973	5.9
	"Division 9: Pacific"	"CENS-D9"	"Large Fringe Metro"	"2"	"2015"	"2015"	466	8328274	5.6
	"Division 9: Pacific"	"CENS-D9"	"Large Fringe Metro"	"2"	"2016"	"2016"	482	8416164	5.7
	"Division 9: Pacific"	"CENS-D9"	"Large Fringe Metro"	"2"	"2017"	"2017"	535	8515797	6.3
"Total"	"Division 9: Pacific"	"CENS-D9"	"Large Fringe Metro"	"2"			5451	88487365	6.2
	"Division 9: Pacific"	"CENS-D9"	"Medium Metro"	"3"	"2007"	"2007"	698	9784424	7.1
	"Division 9: Pacific"	"CENS-D9"	"Medium Metro"	"3"	"2008"	"2008"	708	9900479	7.2
	"Division 9: Pacific"	"CENS-D9"	"Medium Metro"	"3"	"2009"	"2009"	801	10019922	8.0
	"Division 9: Pacific"	"CENS-D9"	"Medium Metro"	"3"	"2010"	"2010"	735	10120294	7.3
	"Division 9: Pacific"	"CENS-D9"	"Medium Metro"	"3"	"2011"	"2011"	748	10244856	7.3
	"Division 9: Pacific"	"CENS-D9"	"Medium Metro"	"3"	"2012"	"2012"	673	10324437	6.5
	"Division 9: Pacific"	"CENS-D9"	"Medium Metro"	"3"	"2013"	"2013"	661	10395850	6.4
	"Division 9: Pacific"	"CENS-D9"	"Medium Metro"	"3"	"2014"	"2014"	747	10501533	7.1
	"Division 9: Pacific"	"CENS-D9"	"Medium Metro"	"3"	"2015"	"2015"	782	10600934	7.4
	"Division 9: Pacific"	"CENS-D9"	"Medium Metro"	"3"	"2016"	"2016"	740	10664391	6.9
	"Division 9: Pacific"	"CENS-D9"	"Medium Metro"	"3"	"2017"	"2017"	771	10752922	7.2
"Total"	"Division 9: Pacific"	"CENS-D9"	"Medium Metro"	"3"			8064	113310042	7.1
	"Division 9: Pacific"	"CENS-D9"	"Small Metro"	"4"	"2007"	"2007"	202	2852268	7.1
	"Division 9: Pacific"	"CENS-D9"	"Small Metro"	"4"	"2008"	"2008"	214	2889885	7.4
	"Division 9: Pacific"	"CENS-D9"	"Small Metro"	"4"	"2009"	"2009"	232	2915073	8.0
	"Division 9: Pacific"	"CENS-D9"	"Small Metro"	"4"	"2010"	"2010"	229	2936430	7.8
	"Division 9: Pacific"	"CENS-D9"	"Small Metro"	"4"	"2011"	"2011"	261	2964935	8.8
	"Division 9: Pacific"	"CENS-D9"	"Small Metro"	"4"	"2012"	"2012"	251	2973426	8.4
	"Division 9: Pacific"	"CENS-D9"	"Small Metro"	"4"	"2013"	"2013"	226	2987112	7.6
	"Division 9: Pacific"	"CENS-D9"	"Small Metro"	"4"	"2014"	"2014"	244	3010790	8.1
	"Division 9: Pacific"	"CENS-D9"	"Small Metro"	"4"	"2015"	"2015"	240	3038558	7.9
	"Division 9: Pacific"	"CENS-D9"	"Small Metro"	"4"	"2016"	"2016"	229	3067529	7.5
	"Division 9: Pacific"	"CENS-D9"	"Small Metro"	"4"	"2017"	"2017"	237	3096196	7.7
"Total"	"Division 9: Pacific"	"CENS-D9"	"Small Metro"	"4"			2565	32732202	7.8
	"Division 9: Pacific"	"CENS-D9"	"Micropolitan (Nonmetro)"	"5"	"2007"	"2007"	201	1937042	10.4
	"Division 9: Pacific"	"CENS-D9"	"Micropolitan (Nonmetro)"	"5"	"2008"	"2008"	226	1951955	11.6
	"Division 9: Pacific"	"CENS-D9"	"Micropolitan (Nonmetro)"	"5"	"2009"	"2009"	209	1963392	10.6
	"Division 9: Pacific"	"CENS-D9"	"Micropolitan (Nonmetro)"	"5"	"2010"	"2010"	211	1972735	10.7
	"Division 9: Pacific"	"CENS-D9"	"Micropolitan (Nonmetro)"	"5"	"2011"	"2011"	200	1979542	10.1
	"Division 9: Pacific"	"CENS-D9"	"Micropolitan (Nonmetro)"	"5"	"2012"	"2012"	196	1980606	9.9
	"Division 9: Pacific"	"CENS-D9"	"Micropolitan (Nonmetro)"	"5"	"2013"	"2013"	193	1978702	9.8
	"Division 9: Pacific"	"CENS-D9"	"Micropolitan (Nonmetro)"	"5"	"2014"	"2014"	199	1987251	10.0
	"Division 9: Pacific"	"CENS-D9"	"Micropolitan (Nonmetro)"	"5"	"2015"	"2015"	212	2001760	10.6
	"Division 9: Pacific"	"CENS-D9"	"Micropolitan (Nonmetro)"	"5"	"2016"	"2016"	193	2018263	9.6
	"Division 9: Pacific"	"CENS-D9"	"Micropolitan (Nonmetro)"	"5"	"2017"	"2017"	204	2036073	10.0
"Total"	"Division 9: Pacific"	"CENS-D9"	"Micropolitan (Nonmetro)"	"5"			2244	21807321	10.3
	"Division 9: Pacific"	"CENS-D9"	"NonCore (Nonmetro)"	"6"	"2007"	"2007"	53	707235	7.5
