"Notes"	"Census Division"	"Census Division Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Division 1: New England"	"CENS-D1"	"5-14 years"	"5-14"	"2012"	"2012"	Suppressed	1732940	Suppressed
	"Division 1: New England"	"CENS-D1"	"5-14 years"	"5-14"	"2013"	"2013"	Suppressed	1717245	Suppressed
	"Division 1: New England"	"CENS-D1"	"5-14 years"	"5-14"	"2014"	"2014"	Suppressed	1699328	Suppressed
	"Division 1: New England"	"CENS-D1"	"5-14 years"	"5-14"	"2015"	"2015"	Suppressed	1678718	Suppressed
	"Division 1: New England"	"CENS-D1"	"5-14 years"	"5-14"	"2016"	"2016"	Suppressed	1662030	Suppressed
	"Division 1: New England"	"CENS-D1"	"5-14 years"	"5-14"	"2017"	"2017"	Suppressed	1647998	Suppressed
	"Division 1: New England"	"CENS-D1"	"5-14 years"	"5-14"	"2018"	"2018"	Suppressed	1638059	Suppressed
	"Division 1: New England"	"CENS-D1"	"15-24 years"	"15-24"	"2007"	"2007"	147	2000334	7.3
	"Division 1: New England"	"CENS-D1"	"15-24 years"	"15-24"	"2008"	"2008"	124	2009282	6.2
	"Division 1: New England"	"CENS-D1"	"15-24 years"	"15-24"	"2009"	"2009"	138	2018752	6.8
	"Division 1: New England"	"CENS-D1"	"15-24 years"	"15-24"	"2010"	"2010"	106	2015354	5.3
	"Division 1: New England"	"CENS-D1"	"15-24 years"	"15-24"	"2011"	"2011"	140	2011799	7.0
	"Division 1: New England"	"CENS-D1"	"15-24 years"	"15-24"	"2012"	"2012"	115	2016616	5.7
	"Division 1: New England"	"CENS-D1"	"15-24 years"	"15-24"	"2013"	"2013"	165	2018597	8.2
	"Division 1: New England"	"CENS-D1"	"15-24 years"	"15-24"	"2014"	"2014"	207	2031412	10.2
	"Division 1: New England"	"CENS-D1"	"15-24 years"	"15-24"	"2015"	"2015"	310	2030699	15.3
	"Division 1: New England"	"CENS-D1"	"15-24 years"	"15-24"	"2016"	"2016"	332	2026456	16.4
	"Division 1: New England"	"CENS-D1"	"15-24 years"	"15-24"	"2017"	"2017"	316	2013551	15.7
	"Division 1: New England"	"CENS-D1"	"15-24 years"	"15-24"	"2018"	"2018"	246	1998241	12.3
	"Division 1: New England"	"CENS-D1"	"25-34 years"	"25-34"	"2007"	"2007"	285	1698269	16.8
	"Division 1: New England"	"CENS-D1"	"25-34 years"	"25-34"	"2008"	"2008"	275	1714904	16.0
	"Division 1: New England"	"CENS-D1"	"25-34 years"	"25-34"	"2009"	"2009"	295	1735132	17.0
	"Division 1: New England"	"CENS-D1"	"25-34 years"	"25-34"	"2010"	"2010"	269	1751198	15.4
	"Division 1: New England"	"CENS-D1"	"25-34 years"	"25-34"	"2011"	"2011"	333	1788805	18.6
	"Division 1: New England"	"CENS-D1"	"25-34 years"	"25-34"	"2012"	"2012"	351	1825729	19.2
	"Division 1: New England"	"CENS-D1"	"25-34 years"	"25-34"	"2013"	"2013"	483	1861735	25.9
	"Division 1: New England"	"CENS-D1"	"25-34 years"	"25-34"	"2014"	"2014"	706	1889012	37.4
	"Division 1: New England"	"CENS-D1"	"25-34 years"	"25-34"	"2015"	"2015"	969	1909359	50.8
	"Division 1: New England"	"CENS-D1"	"25-34 years"	"25-34"	"2016"	"2016"	1215	1927764	63.0
	"Division 1: New England"	"CENS-D1"	"25-34 years"	"25-34"	"2017"	"2017"	1226	1958087	62.6
	"Division 1: New England"	"CENS-D1"	"25-34 years"	"25-34"	"2018"	"2018"	1174	1988040	59.1
	"Division 1: New England"	"CENS-D1"	"35-44 years"	"35-44"	"2007"	"2007"	357	2107930	16.9
	"Division 1: New England"	"CENS-D1"	"35-44 years"	"35-44"	"2008"	"2008"	305	2049899	14.9
	"Division 1: New England"	"CENS-D1"	"35-44 years"	"35-44"	"2009"	"2009"	291	1983133	14.7
	"Division 1: New England"	"CENS-D1"	"35-44 years"	"35-44"	"2010"	"2010"	293	1937360	15.1
	"Division 1: New England"	"CENS-D1"	"35-44 years"	"35-44"	"2011"	"2011"	322	1880394	17.1
	"Division 1: New England"	"CENS-D1"	"35-44 years"	"35-44"	"2012"	"2012"	321	1844532	17.4
	"Division 1: New England"	"CENS-D1"	"35-44 years"	"35-44"	"2013"	"2013"	445	1810161	24.6
	"Division 1: New England"	"CENS-D1"	"35-44 years"	"35-44"	"2014"	"2014"	579	1787951	32.4
	"Division 1: New England"	"CENS-D1"	"35-44 years"	"35-44"	"2015"	"2015"	756	1767901	42.8
	"Division 1: New England"	"CENS-D1"	"35-44 years"	"35-44"	"2016"	"2016"	981	1743416	56.3
	"Division 1: New England"	"CENS-D1"	"35-44 years"	"35-44"	"2017"	"2017"	996	1749741	56.9
	"Division 1: New England"	"CENS-D1"	"35-44 years"	"35-44"	"2018"	"2018"	1081	1765832	61.2
	"Division 1: New England"	"CENS-D1"	"45-54 years"	"45-54"	"2007"	"2007"	389	2244184	17.3
	"Division 1: New England"	"CENS-D1"	"45-54 years"	"45-54"	"2008"	"2008"	403	2268380	17.8
	"Division 1: New England"	"CENS-D1"	"45-54 years"	"45-54"	"2009"	"2009"	364	2290227	15.9
	"Division 1: New England"	"CENS-D1"	"45-54 years"	"45-54"	"2010"	"2010"	343	2297521	14.9
	"Division 1: New England"	"CENS-D1"	"45-54 years"	"45-54"	"2011"	"2011"	343	2280323	15.0
	"Division 1: New England"	"CENS-D1"	"45-54 years"	"45-54"	"2012"	"2012"	381	2257257	16.9
	"Division 1: New England"	"CENS-D1"	"45-54 years"	"45-54"	"2013"	"2013"	528	2222157	23.8
	"Division 1: New England"	"CENS-D1"	"45-54 years"	"45-54"	"2014"	"2014"	613	2188577	28.0
	"Division 1: New England"	"CENS-D1"	"45-54 years"	"45-54"	"2015"	"2015"	745	2156699	34.5
	"Division 1: New England"	"CENS-D1"	"45-54 years"	"45-54"	"2016"	"2016"	898	2110004	42.6
	"Division 1: New England"	"CENS-D1"	"45-54 years"	"45-54"	"2017"	"2017"	913	2066628	44.2
	"Division 1: New England"	"CENS-D1"	"45-54 years"	"45-54"	"2018"	"2018"	889	2006986	44.3
	"Division 1: New England"	"CENS-D1"	"55-64 years"	"55-64"	"2007"	"2007"	99	1676918	5.9
	"Division 1: New England"	"CENS-D1"	"55-64 years"	"55-64"	"2008"	"2008"	110	1723059	6.4
	"Division 1: New England"	"CENS-D1"	"55-64 years"	"55-64"	"2009"	"2009"	143	1784571	8.0
	"Division 1: New England"	"CENS-D1"	"55-64 years"	"55-64"	"2010"	"2010"	128	1837727	7.0
	"Division 1: New England"	"CENS-D1"	"55-64 years"	"55-64"	"2011"	"2011"	176	1914910	9.2
	"Division 1: New England"	"CENS-D1"	"55-64 years"	"55-64"	"2012"	"2012"	156	1939713	8.0
	"Division 1: New England"	"CENS-D1"	"55-64 years"	"55-64"	"2013"	"2013"	248	1977101	12.5
	"Division 1: New England"	"CENS-D1"	"55-64 years"	"55-64"	"2014"	"2014"	283	2015237	14.0
	"Division 1: New England"	"CENS-D1"	"55-64 years"	"55-64"	"2015"	"2015"	404	2053834	19.7
	"Division 1: New England"	"CENS-D1"	"55-64 years"	"55-64"	"2016"	"2016"	512	2081791	24.6
	"Division 1: New England"	"CENS-D1"	"55-64 years"	"55-64"	"2017"	"2017"	546	2108094	25.9
	"Division 1: New England"	"CENS-D1"	"55-64 years"	"55-64"	"2018"	"2018"	557	2121115	26.3
	"Division 1: New England"	"CENS-D1"	"65-74 years"	"65-74"	"2007"	"2007"	18	942276	Unreliable
	"Division 1: New England"	"CENS-D1"	"65-74 years"	"65-74"	"2008"	"2008"	15	984162	Unreliable
	"Division 1: New England"	"CENS-D1"	"65-74 years"	"65-74"	"2009"	"2009"	26	1020167	2.5
	"Division 1: New England"	"CENS-D1"	"65-74 years"	"65-74"	"2010"	"2010"	15	1044234	Unreliable
	"Division 1: New England"	"CENS-D1"	"65-74 years"	"65-74"	"2011"	"2011"	18	1083332	Unreliable
	"Division 1: New England"	"CENS-D1"	"65-74 years"	"65-74"	"2012"	"2012"	23	1163282	2.0
	"Division 1: New England"	"CENS-D1"	"65-74 years"	"65-74"	"2013"	"2013"	32	1228191	2.6
	"Division 1: New England"	"CENS-D1"	"65-74 years"	"65-74"	"2014"	"2014"	44	1283922	3.4
	"Division 1: New England"	"CENS-D1"	"65-74 years"	"65-74"	"2015"	"2015"	55	1337882	4.1
	"Division 1: New England"	"CENS-D1"	"65-74 years"	"65-74"	"2016"	"2016"	68	1389107	4.9
	"Division 1: New England"	"CENS-D1"	"65-74 years"	"65-74"	"2017"	"2017"	87	1446341	6.0
	"Division 1: New England"	"CENS-D1"	"65-74 years"	"65-74"	"2018"	"2018"	110	1483187	7.4
	"Division 1: New England"	"CENS-D1"	"75-84 years"	"75-84"	"2007"	"2007"	Suppressed	694257	Suppressed
	"Division 1: New England"	"CENS-D1"	"75-84 years"	"75-84"	"2008"	"2008"	Suppressed	687082	Suppressed
	"Division 1: New England"	"CENS-D1"	"75-84 years"	"75-84"	"2009"	"2009"	Suppressed	677399	Suppressed
	"Division 1: New England"	"CENS-D1"	"75-84 years"	"75-84"	"2010"	"2010"	10	673815	Unreliable
	"Division 1: New England"	"CENS-D1"	"75-84 years"	"75-84"	"2011"	"2011"	Suppressed	669295	Suppressed
	"Division 1: New England"	"CENS-D1"	"75-84 years"	"75-84"	"2012"	"2012"	Suppressed	665942	Suppressed
	"Division 1: New England"	"CENS-D1"	"75-84 years"	"75-84"	"2013"	"2013"	Suppressed	664324	Suppressed
	"Division 1: New England"	"CENS-D1"	"75-84 years"	"75-84"	"2014"	"2014"	10	666163	Unreliable
	"Division 1: New England"	"CENS-D1"	"75-84 years"	"75-84"	"2015"	"2015"	Suppressed	671055	Suppressed
	"Division 1: New England"	"CENS-D1"	"75-84 years"	"75-84"	"2016"	"2016"	14	680660	Unreliable
	"Division 1: New England"	"CENS-D1"	"75-84 years"	"75-84"	"2017"	"2017"	Suppressed	703810	Suppressed
	"Division 1: New England"	"CENS-D1"	"75-84 years"	"75-84"	"2018"	"2018"	12	738236	Unreliable
	"Division 1: New England"	"CENS-D1"	"85+ years"	"85+"	"2007"	"2007"	Suppressed	301777	Suppressed
	"Division 1: New England"	"CENS-D1"	"85+ years"	"85+"	"2008"	"2008"	Suppressed	310164	Suppressed
	"Division 1: New England"	"CENS-D1"	"85+ years"	"85+"	"2009"	"2009"	Suppressed	317959	Suppressed
	"Division 1: New England"	"CENS-D1"	"85+ years"	"85+"	"2010"	"2010"	Suppressed	323541	Suppressed
	"Division 1: New England"	"CENS-D1"	"85+ years"	"85+"	"2011"	"2011"	Suppressed	333580	Suppressed
	"Division 1: New England"	"CENS-D1"	"85+ years"	"85+"	"2012"	"2012"	Suppressed	339234	Suppressed
	"Division 1: New England"	"CENS-D1"	"85+ years"	"85+"	"2013"	"2013"	Suppressed	346027	Suppressed
	"Division 1: New England"	"CENS-D1"	"85+ years"	"85+"	"2014"	"2014"	Suppressed	348991	Suppressed
	"Division 1: New England"	"CENS-D1"	"85+ years"	"85+"	"2015"	"2015"	Suppressed	352438	Suppressed
	"Division 1: New England"	"CENS-D1"	"85+ years"	"85+"	"2016"	"2016"	Suppressed	352983	Suppressed
	"Division 1: New England"	"CENS-D1"	"85+ years"	"85+"	"2017"	"2017"	Suppressed	358063	Suppressed
	"Division 1: New England"	"CENS-D1"	"85+ years"	"85+"	"2018"	"2018"	Suppressed	357903	Suppressed
	"Division 1: New England"	"CENS-D1"	"Not Stated"	"NS"	"2007"	"2007"	Suppressed	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Not Stated"	"NS"	"2008"	"2008"	Suppressed	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Not Stated"	"NS"	"2009"	"2009"	Suppressed	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Not Stated"	"NS"	"2010"	"2010"	Suppressed	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Not Stated"	"NS"	"2011"	"2011"	Suppressed	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Not Stated"	"NS"	"2012"	"2012"	Suppressed	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Not Stated"	"NS"	"2013"	"2013"	Suppressed	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Not Stated"	"NS"	"2014"	"2014"	Suppressed	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Not Stated"	"NS"	"2015"	"2015"	Suppressed	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Not Stated"	"NS"	"2016"	"2016"	Suppressed	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Not Stated"	"NS"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Not Stated"	"NS"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"< 1 year"	"1"	"2007"	"2007"	Suppressed	498648	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"< 1 year"	"1"	"2008"	"2008"	Suppressed	497833	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"< 1 year"	"1"	"2009"	"2009"	Suppressed	487475	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"< 1 year"	"1"	"2010"	"2010"	Suppressed	478408	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"< 1 year"	"1"	"2011"	"2011"	Suppressed	489769	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"< 1 year"	"1"	"2012"	"2012"	Suppressed	480702	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"< 1 year"	"1"	"2013"	"2013"	Suppressed	487035	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"< 1 year"	"1"	"2014"	"2014"	Suppressed	485846	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"< 1 year"	"1"	"2015"	"2015"	Suppressed	484040	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"< 1 year"	"1"	"2016"	"2016"	Suppressed	476454	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"< 1 year"	"1"	"2017"	"2017"	Suppressed	474914	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"< 1 year"	"1"	"2018"	"2018"	Suppressed	463693	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"1-4 years"	"1-4"	"2007"	"2007"	Suppressed	1936370	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"1-4 years"	"1-4"	"2008"	"2008"	Suppressed	1937544	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"1-4 years"	"1-4"	"2009"	"2009"	Suppressed	1941355	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"1-4 years"	"1-4"	"2010"	"2010"	Suppressed	1947972	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"1-4 years"	"1-4"	"2011"	"2011"	Suppressed	1933586	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"1-4 years"	"1-4"	"2012"	"2012"	Suppressed	1933835	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"1-4 years"	"1-4"	"2013"	"2013"	Suppressed	1935731	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"1-4 years"	"1-4"	"2014"	"2014"	Suppressed	1946348	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"1-4 years"	"1-4"	"2015"	"2015"	Suppressed	1945400	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"1-4 years"	"1-4"	"2016"	"2016"	Suppressed	1916700	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"1-4 years"	"1-4"	"2017"	"2017"	Suppressed	1920039	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"1-4 years"	"1-4"	"2018"	"2018"	Suppressed	1898374	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"5-14 years"	"5-14"	"2007"	"2007"	Suppressed	5147157	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"5-14 years"	"5-14"	"2008"	"2008"	Suppressed	5105911	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"5-14 years"	"5-14"	"2009"	"2009"	Suppressed	5087924	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"5-14 years"	"5-14"	"2010"	"2010"	Suppressed	5072282	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"5-14 years"	"5-14"	"2011"	"2011"	Suppressed	5027540	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"5-14 years"	"5-14"	"2012"	"2012"	Suppressed	5008143	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"5-14 years"	"5-14"	"2013"	"2013"	Suppressed	4979717	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"5-14 years"	"5-14"	"2014"	"2014"	Suppressed	4946252	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"5-14 years"	"5-14"	"2015"	"2015"	Suppressed	4908385	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"5-14 years"	"5-14"	"2016"	"2016"	Suppressed	4892260	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"5-14 years"	"5-14"	"2017"	"2017"	Suppressed	4867632	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"5-14 years"	"5-14"	"2018"	"2018"	Suppressed	4810219	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"15-24 years"	"15-24"	"2007"	"2007"	199	5611255	3.5
	"Division 2: Middle Atlantic"	"CENS-D2"	"15-24 years"	"15-24"	"2008"	"2008"	273	5648024	4.8
	"Division 2: Middle Atlantic"	"CENS-D2"	"15-24 years"	"15-24"	"2009"	"2009"	220	5681763	3.9
	"Division 2: Middle Atlantic"	"CENS-D2"	"15-24 years"	"15-24"	"2010"	"2010"	285	5695762	5.0
	"Division 2: Middle Atlantic"	"CENS-D2"	"15-24 years"	"15-24"	"2011"	"2011"	350	5664865	6.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"15-24 years"	"15-24"	"2012"	"2012"	353	5652869	6.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"15-24 years"	"15-24"	"2013"	"2013"	414	5594286	7.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"15-24 years"	"15-24"	"2014"	"2014"	455	5562391	8.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"15-24 years"	"15-24"	"2015"	"2015"	516	5501778	9.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"15-24 years"	"15-24"	"2016"	"2016"	719	5434094	13.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"15-24 years"	"15-24"	"2017"	"2017"	730	5371584	13.6
	"Division 2: Middle Atlantic"	"CENS-D2"	"15-24 years"	"15-24"	"2018"	"2018"	630	5224824	12.1
	"Division 2: Middle Atlantic"	"CENS-D2"	"25-34 years"	"25-34"	"2007"	"2007"	412	5118399	8.0
	"Division 2: Middle Atlantic"	"CENS-D2"	"25-34 years"	"25-34"	"2008"	"2008"	402	5176140	7.8
	"Division 2: Middle Atlantic"	"CENS-D2"	"25-34 years"	"25-34"	"2009"	"2009"	391	5238210	7.5
	"Division 2: Middle Atlantic"	"CENS-D2"	"25-34 years"	"25-34"	"2010"	"2010"	441	5280257	8.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"25-34 years"	"25-34"	"2011"	"2011"	651	5384626	12.1
	"Division 2: Middle Atlantic"	"CENS-D2"	"25-34 years"	"25-34"	"2012"	"2012"	779	5467718	14.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"25-34 years"	"25-34"	"2013"	"2013"	889	5555841	16.0
	"Division 2: Middle Atlantic"	"CENS-D2"	"25-34 years"	"25-34"	"2014"	"2014"	948	5635953	16.8
	"Division 2: Middle Atlantic"	"CENS-D2"	"25-34 years"	"25-34"	"2015"	"2015"	1300	5697934	22.8
	"Division 2: Middle Atlantic"	"CENS-D2"	"25-34 years"	"25-34"	"2016"	"2016"	2081	5730548	36.3
	"Division 2: Middle Atlantic"	"CENS-D2"	"25-34 years"	"25-34"	"2017"	"2017"	2291	5796581	39.5
	"Division 2: Middle Atlantic"	"CENS-D2"	"25-34 years"	"25-34"	"2018"	"2018"	2458	5735738	42.9
	"Division 2: Middle Atlantic"	"CENS-D2"	"35-44 years"	"35-44"	"2007"	"2007"	500	5849895	8.5
	"Division 2: Middle Atlantic"	"CENS-D2"	"35-44 years"	"35-44"	"2008"	"2008"	500	5711916	8.8
	"Division 2: Middle Atlantic"	"CENS-D2"	"35-44 years"	"35-44"	"2009"	"2009"	426	5562232	7.7
	"Division 2: Middle Atlantic"	"CENS-D2"	"35-44 years"	"35-44"	"2010"	"2010"	489	5463983	8.9
	"Division 2: Middle Atlantic"	"CENS-D2"	"35-44 years"	"35-44"	"2011"	"2011"	557	5348418	10.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"35-44 years"	"35-44"	"2012"	"2012"	638	5288028	12.1
	"Division 2: Middle Atlantic"	"CENS-D2"	"35-44 years"	"35-44"	"2013"	"2013"	676	5230591	12.9
	"Division 2: Middle Atlantic"	"CENS-D2"	"35-44 years"	"35-44"	"2014"	"2014"	776	5194357	14.9
	"Division 2: Middle Atlantic"	"CENS-D2"	"35-44 years"	"35-44"	"2015"	"2015"	935	5159009	18.1
	"Division 2: Middle Atlantic"	"CENS-D2"	"35-44 years"	"35-44"	"2016"	"2016"	1446	5089925	28.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"35-44 years"	"35-44"	"2017"	"2017"	1780	5104972	34.9
	"Division 2: Middle Atlantic"	"CENS-D2"	"35-44 years"	"35-44"	"2018"	"2018"	2055	5069709	40.5
	"Division 2: Middle Atlantic"	"CENS-D2"	"45-54 years"	"45-54"	"2007"	"2007"	557	6077237	9.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"45-54 years"	"45-54"	"2008"	"2008"	664	6131182	10.8
	"Division 2: Middle Atlantic"	"CENS-D2"	"45-54 years"	"45-54"	"2009"	"2009"	519	6183681	8.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"45-54 years"	"45-54"	"2010"	"2010"	604	6198291	9.7
	"Division 2: Middle Atlantic"	"CENS-D2"	"45-54 years"	"45-54"	"2011"	"2011"	726	6154446	11.8
	"Division 2: Middle Atlantic"	"CENS-D2"	"45-54 years"	"45-54"	"2012"	"2012"	805	6087400	13.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"45-54 years"	"45-54"	"2013"	"2013"	842	6007744	14.0
	"Division 2: Middle Atlantic"	"CENS-D2"	"45-54 years"	"45-54"	"2014"	"2014"	865	5932830	14.6
	"Division 2: Middle Atlantic"	"CENS-D2"	"45-54 years"	"45-54"	"2015"	"2015"	1007	5856362	17.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"45-54 years"	"45-54"	"2016"	"2016"	1466	5737592	25.6
	"Division 2: Middle Atlantic"	"CENS-D2"	"45-54 years"	"45-54"	"2017"	"2017"	1712	5635551	30.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"45-54 years"	"45-54"	"2018"	"2018"	1824	5443784	33.5
	"Division 2: Middle Atlantic"	"CENS-D2"	"55-64 years"	"55-64"	"2007"	"2007"	205	4577280	4.5
	"Division 2: Middle Atlantic"	"CENS-D2"	"55-64 years"	"55-64"	"2008"	"2008"	233	4680675	5.0
	"Division 2: Middle Atlantic"	"CENS-D2"	"55-64 years"	"55-64"	"2009"	"2009"	214	4834407	4.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"55-64 years"	"55-64"	"2010"	"2010"	251	4972177	5.0
	"Division 2: Middle Atlantic"	"CENS-D2"	"55-64 years"	"55-64"	"2011"	"2011"	324	5171369	6.3
	"Division 2: Middle Atlantic"	"CENS-D2"	"55-64 years"	"55-64"	"2012"	"2012"	381	5228704	7.3
	"Division 2: Middle Atlantic"	"CENS-D2"	"55-64 years"	"55-64"	"2013"	"2013"	487	5326043	9.1
	"Division 2: Middle Atlantic"	"CENS-D2"	"55-64 years"	"55-64"	"2014"	"2014"	503	5421516	9.3
	"Division 2: Middle Atlantic"	"CENS-D2"	"55-64 years"	"55-64"	"2015"	"2015"	596	5515670	10.8
	"Division 2: Middle Atlantic"	"CENS-D2"	"55-64 years"	"55-64"	"2016"	"2016"	907	5567570	16.3
	"Division 2: Middle Atlantic"	"CENS-D2"	"55-64 years"	"55-64"	"2017"	"2017"	1117	5628824	19.8
	"Division 2: Middle Atlantic"	"CENS-D2"	"55-64 years"	"55-64"	"2018"	"2018"	1283	5623757	22.8
	"Division 2: Middle Atlantic"	"CENS-D2"	"65-74 years"	"65-74"	"2007"	"2007"	17	2743271	Unreliable
	"Division 2: Middle Atlantic"	"CENS-D2"	"65-74 years"	"65-74"	"2008"	"2008"	35	2834947	1.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"65-74 years"	"65-74"	"2009"	"2009"	25	2906264	0.9
	"Division 2: Middle Atlantic"	"CENS-D2"	"65-74 years"	"65-74"	"2010"	"2010"	41	2951574	1.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"65-74 years"	"65-74"	"2011"	"2011"	35	3027899	1.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"65-74 years"	"65-74"	"2012"	"2012"	49	3215203	1.5
	"Division 2: Middle Atlantic"	"CENS-D2"	"65-74 years"	"65-74"	"2013"	"2013"	78	3355777	2.3
	"Division 2: Middle Atlantic"	"CENS-D2"	"65-74 years"	"65-74"	"2014"	"2014"	82	3481657	2.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"65-74 years"	"65-74"	"2015"	"2015"	105	3610113	2.9
	"Division 2: Middle Atlantic"	"CENS-D2"	"65-74 years"	"65-74"	"2016"	"2016"	158	3726665	4.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"65-74 years"	"65-74"	"2017"	"2017"	206	3866676	5.3
	"Division 2: Middle Atlantic"	"CENS-D2"	"65-74 years"	"65-74"	"2018"	"2018"	256	3929968	6.5
	"Division 2: Middle Atlantic"	"CENS-D2"	"75-84 years"	"75-84"	"2007"	"2007"	11	2003290	Unreliable
	"Division 2: Middle Atlantic"	"CENS-D2"	"75-84 years"	"75-84"	"2008"	"2008"	14	1978489	Unreliable
	"Division 2: Middle Atlantic"	"CENS-D2"	"75-84 years"	"75-84"	"2009"	"2009"	11	1948298	Unreliable
	"Division 2: Middle Atlantic"	"CENS-D2"	"75-84 years"	"75-84"	"2010"	"2010"	17	1935508	Unreliable
	"Division 2: Middle Atlantic"	"CENS-D2"	"75-84 years"	"75-84"	"2011"	"2011"	Suppressed	1920141	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"75-84 years"	"75-84"	"2012"	"2012"	16	1910229	Unreliable
	"Division 2: Middle Atlantic"	"CENS-D2"	"75-84 years"	"75-84"	"2013"	"2013"	16	1905549	Unreliable
	"Division 2: Middle Atlantic"	"CENS-D2"	"75-84 years"	"75-84"	"2014"	"2014"	10	1909090	Unreliable
	"Division 2: Middle Atlantic"	"CENS-D2"	"75-84 years"	"75-84"	"2015"	"2015"	13	1913307	Unreliable
	"Division 2: Middle Atlantic"	"CENS-D2"	"75-84 years"	"75-84"	"2016"	"2016"	24	1930583	1.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"75-84 years"	"75-84"	"2017"	"2017"	18	1997967	Unreliable
	"Division 2: Middle Atlantic"	"CENS-D2"	"75-84 years"	"75-84"	"2018"	"2018"	37	2064868	1.8
