county.fips.character.x,county.fips.character.y,county.name.x,county.name.y,discharge_rate.x,discharge_rate.y,discharges.x,discharges.y,drug_deaths_mcd.x,drug_deaths_mcd.y,drug_deaths_ucd.x,drug_deaths_ucd.y,log_drug_deaths_mcd.x,log_drug_deaths_mcd.y,log_income.x,log_income.y,log_med_income.x,log_med_income.y,log_nonmedical_use_count.x,log_nonmedical_use_count.y,log_opioid_deaths.x,log_opioid_deaths.y,log_population.x,log_population.y,mean_costs.x,mean_costs.y,med_income.x,med_income.y,medical_cost.x,medical_cost.y,nonmedical_use_count.x,nonmedical_use_count.y,nonmedical_use_pct.x,nonmedical_use_pct.y,opioid_deaths.x,opioid_deaths.y,pct_college.x,pct_college.y,pct_hs.x,pct_hs.y,pct_no_hs.x,pct_no_hs.y,per_capita_costs.x,per_capita_costs.y,percent_black.x,percent_black.y,percent_hispanic.x,percent_hispanic.y,percent_rural.x,percent_rural.y,region,region_name.x,region_name.y,state.abb.x,state.abb.y,state.fips.character.x,state.fips.character.y,state.name.x,state.name.y,state_name.x,state_name.y,total_costs.x,total_costs.y,total_population.x,total_population.y,working_population.x,working_population.y
01005,01005,barbour,barbour,NA,NA,NA,NA,16,NA,NA,NA,2.772588722239781,NA,10.400741496272024,10.400741496272024,10.400741496272024,10.400741496272024,0.3387660045460184,0.32312618940207294,NA,NA,10.189192672103689,10.173552856959743,NA,NA,32884,32884,5.85626,5.85626,1.4032149608722,1.3814396629523,0.0527246923,0.0527246923,NA,NA,0.3883722195029097,0.3756645329282846,0.3492685049219557,0.35526744059889337,0.2623592755751346,0.26906802647282196,NA,NA,47.88832945066506,47.81496889431701,4.309761779514541,4.213579634365101,67.7896347015333,67.7896347015333,1005,NA,NA,AL,AL,01,01,alabama,alabama,NA,NA,NA,NA,26614,26201,13988,13863
18087,18087,lagrange,lagrange,NA,89.5206575699,NA,33,22,NA,NA,NA,3.091042453358316,NA,11.008777495957478,11.008777495957478,11.008777495957478,11.008777495957478,0.6262600560021527,0.6346890756280222,NA,NA,10.555682521764643,10.564111541390513,NA,12724.4893208222,60402,60402,5.809500000000001,5.949000000000001,1.870601535733,1.8864355114880003,0.0487199254,0.0487199254,NA,NA,0.3229024323585679,0.2986530630509689,0.3199416962740275,0.3346310466729315,0.35715587136740456,0.3667158902760997,NA,11.3910465124,0.22398749837218385,0.06973140495867769,3.8963406693579894,3.899793388429752,91.61549235078647,91.61549235078647,18087,LaGrange,LaGrange,IN,IN,18,18,indiana,indiana,Indiana, Indiana,NA,419908.147587132,38395,38720,17104,17329
22083,22083,richland,richland,NA,NA,NA,NA,12,NA,NA,NA,2.4849066497880004,NA,10.428807622452572,10.428807622452572,10.428807622452572,10.428807622452572,-0.05814807593019941,-0.061682247263890155,NA,NA,9.937502431123406,9.933968259789715,NA,NA,33820,33820,6.111659999999999,6.215159999999999,0.9435102259379999,0.9401815846035,0.0455978265,0.0455978265,NA,NA,0.38279365543454424,0.40395011893606286,0.4119581901907755,0.3898940387803647,0.20524815437468022,0.2061558422835724,NA,NA,36.187898704813456,35.84557932004462,2.0152716025517106,2.070905475532276,66.04583835946924,66.04583835946924,22083,NA,NA,LA,LA,22,22,louisiana,louisiana,NA,NA,NA,NA,20692,20619,10512,10543
39075,39075,holmes,holmes,NA,NA,NA,NA,17,NA,NA,NA,2.833213344056216,NA,10.981607976438474,10.981607976438474,10.981607976438474,10.981607976438474,0.7767138923760297,0.779136473837393,NA,NA,10.685149146626813,10.687571728088175,NA,NA,58783,58783,6.13904,6.1840399999999995,2.1743154782818,2.1795893202272,0.0497532259,0.0497532259,NA,NA,0.22155712678772305,0.2306618819776715,0.36312871605335045,0.3517942583732057,0.41531415715892656,0.41754385964912283,NA,NA,0.17161685964029108,0.1597881665449233,0.8969841197199213,0.8948137326515705,92.99438228768352,92.99438228768352,39075,NA,NA,OH,OH,39,39,ohio,ohio,NA,NA,NA,NA,43702,43808,19439,19513
48427,48427,starr,starr,17.77576678,26.5380352488,11,17,21,NA,NA,NA,3.044522437723423,NA,10.192081708912877,10.192081708912877,10.192081708912877,10.192081708912877,0.9321504476436527,0.9386680142971391,NA,NA,11.051016981438853,11.057534548092338,5546.559842,24957.826514006,26691,26691,6.08944,6.13444,2.5399653714336,2.5565738296140004,0.0403117917,0.0403117917,NA,NA,0.2464060384316211,0.2507790388518826,0.23880038028290743,0.2375997026787501,0.5147935812854715,0.5116212584693673,0.985943542,6.6233167976,0.046025901472828847,0.03784295175023652,98.9588623666836,99.18479974771365,23.705878493636007,23.705878493636007,48427,Starr,Starr,TX,TX,48,48,texas,texas,Texas, Texas,61012.15826,424283.050738102,63008,63420,27684,27956
