state.name,criminal_cost,health_cost,productivity_cost,death_cost,total_nonfatal_cost,total_cost,total_population,criminal_cost_pc,health_cost_pc,productivity_cost_pc,death_cost_pc,per_capita_nf_cost,per_capita_total_cost,region
alabama,108062918.14355548,179108811.93331668,338054451.5929045,5692651696.851653,625226181.6697767,6317877878.52143,4841164,22.321680931188343,36.99705523987964,69.8291674466935,1175.8849104991389,129.1479036177615,1305.0328141169005,alabama
alaska,37664076.111535884,145503301.07514942,68854383.6265404,1377660134.8360622,252021760.8132257,1629681895.649288,728862,51.67518146306967,199.63079578184818,94.4683405453164,1890.152230238457,345.7743177902342,2235.9265480286913,alaska
arizona,185544958.0656559,1022956783.132486,443977913.37865233,11643684034.316116,1652479654.5767941,13296163688.89291,6728577,27.575660955601144,152.0316677854004,65.9839239973998,1730.4823938726,245.59125273840132,1976.073646611001,arizona
arkansas,73199808.98650782,216879662.4419996,203875320.30253145,2531693479.329418,493954791.7310389,3025648271.060457,2968472,24.659086892686815,73.0610436756687,68.68022346262032,852.860825141493,166.40035403097585,1019.2611791724689,arkansas
california,1282347007.9705024,5866047313.800528,2775446534.5945106,27135088583.55394,9923840856.365541,37058929439.91948,38654206,33.174837635275765,151.7570251941154,71.80192847822332,701.9957565175168,256.7337913076145,958.7295478251314,california
colorado,160078794.36962876,637517962.2206366,510428323.950102,7465258726.923987,1308025080.5403674,8773283807.464355,5359295,29.8693754252432,118.95556453239402,95.24169204160286,1392.9553657568742,244.0666319992401,1637.0219977561144,colorado
connecticut,105929644.90643464,179108811.93331665,326576407.7032337,12474161688.195023,611614864.542985,13085776552.738007,3588570,29.518622990894603,49.91091491410691,91.00460843824524,3476.0814720613007,170.43414634324674,3646.5156184045472,connecticut
delaware,39680602.260263875,179108811.93331668,85566835.93745872,3398899805.182178,304356250.13103926,3703256055.313217,934695,42.452995105637534,191.6227346175134,91.54519488973271,3636.3731540044378,325.62092461288364,3961.9940786173215,delaware
district of columbia,27610230.406317398,179108811.93331665,60420075.65830008,2501926234.5091867,267139117.99793413,2769065352.507121,659009,41.89659079969682,271.78507718910765,91.68323294264582,3796.4978240193786,405.3649009314503,4201.862724950829,district of columbia
florida,565056581.4122033,2636570351.4840837,1305580957.7317212,43454561726.12942,4507207890.628008,47961769616.75742,19934451,28.34573078597466,132.26199966500624,65.4937002143536,2179.8725094626093,226.1014306653345,2405.9739401279435,florida
georgia,218590525.73600551,470840052.85188246,692588386.8395747,13440914989.806715,1382018965.4274626,14822933955.234177,10099320,21.644083535921776,46.62096585234278,68.57772472201839,1330.8732657056826,136.84277411028293,1467.7160398159656,georgia
hawaii,24685391.159856673,159532612.4134162,86652421.44858976,596562709.5197682,270870425.0218626,867433134.5416309,1413673,17.461882033438194,112.84972720948636,61.295944287391606,421.9948386364939,191.60755353031615,613.6023921668101,hawaii
idaho,47437640.72106623,179108811.93331665,127657884.7891472,1350895677.8176095,354204337.4435301,1705100015.2611396,1635483,29.005279003857716,109.51432202799825,78.05515850005607,825.9918799630505,216.57475953191204,1042.5666394949624,idaho
illinois,302450461.54948354,1489115277.4905386,917342727.5339221,28642260017.294304,2708908466.573944,31351168483.868248,12851684,23.533916765264657,115.8692726564502,71.37918482386604,2228.6775816534473,210.7823742455809,2439.4599558990285,illinois
indiana,133995901.3585257,698780745.5684024,505438740.03613096,16022236872.84447,1338215386.963059,17360452259.80753,6589578,20.33451935139484,106.04332258733449,76.7027478900972,2431.4511297756044,203.0805898288265,2634.531719604431,indiana
iowa,65987149.10844201,184607817.74386662,230541522.73341113,2670655754.8176723,481136489.58571976,3151792244.403392,3106589,21.241029665798084,59.42460291460075,74.21049991917538,859.6746318285658,154.87613249957423,1014.55076432814,iowa
kansas,65641987.535759225,179108811.93331668,205033002.06963846,1895316077.617352,449783801.5387144,2345099879.1560664,2898292,22.64850730559903,61.79805621149169,70.74270020744578,653.9424176781883,155.18926372453652,809.1316814027249,kansas
kentucky,110171480.9609375,611506249.5045154,339903288.84367526,15937119800.87963,1061581019.3091282,16998700820.188757,4411989,24.970932828920812,138.60103674431542,77.04082871550116,3612.2301757505807,240.6127982887374,3852.842974039318,kentucky
louisiana,145444954.63723183,399633137.82747746,292490443.203314,5793192968.2846,837568535.6680233,6630761503.952623,4645670,31.307638002103428,86.02271315600925,62.959797661761165,1247.009143629358,180.29014881987385,1427.2992924492319,louisiana
maine,32971729.021694895,181792631.7040969,116470053.89899828,4982798164.835628,331234414.6247901,5314032579.460418,1329923,24.79220903894052,136.69410312032872,87.57653931768853,3746.6816987416773,249.06285147695775,3995.744550218635,maine
maryland,198835312.32500222,1106429346.5234017,563823785.276532,25379374236.47756,1869088444.124936,27248462680.602493,5959902,33.36217815746001,185.6455603671674,94.60286180486392,4258.3542877848595,313.6106003294913,4571.96488811435,maryland
massachusetts,200380618.43877712,1178817236.638074,723395234.7530342,25923536463.288776,2102593089.8298855,28026129553.11866,6742143,29.720612339248383,174.84310799074922,107.29455527019142,3844.9994999051155,311.8582756001891,4156.857775505305,massachusetts
michigan,279328676.992186,1227389273.1895986,776849132.8378695,26548428431.302868,2283567083.0196543,28831995514.32252,9909600,28.187684365886213,123.85860914563641,78.39359134958723,2679.061559629336,230.43988486110987,2909.501444490446,michigan
minnesota,130154811.00166792,905814390.8077238,427673954.95560443,5483424323.930686,1463643156.764996,6947067480.695683,5450868,23.877813772351104,166.17800886165722,78.45978933182833,1005.9726861723097,268.5156119658366,1274.4882981381465,minnesota
mississippi,66279847.14185673,192109027.26245847,176212222.73551327,2437416033.3870616,434601097.13982844,2872017130.52689,2989192,22.1731649027084,64.2678781632155,58.94978400032961,815.4096603319765,145.3908270662535,960.80048739823,mississippi
missouri,136338083.1709242,179108811.93331665,421523719.4652078,12758071294.433882,736970614.5694487,13495041909.00333,6059651,22.499329280007082,29.55761180525358,69.56237569873377,2105.4135451751067,121.61931678399445,2227.0328619591014,missouri
montana,31773443.886217996,179108811.93331662,70076986.83223669,460972640.90771174,280959242.6517713,741931883.559483,1023391,31.047218400609342,175.01503524392595,68.47528152215203,450.43648117651196,274.53753516668735,724.9740163431993,montana
nebraska,43584370.82265202,145422783.29531828,130218766.90344647,743185266.806682,319225921.0214168,1062411187.8280988,1881259,23.167661030539666,77.300777455586,69.21894694108917,395.0467568828545,169.68738542721485,564.7341423100694,nebraska
nevada,100262720.486073,317279326.93608797,226277430.28594252,5222480336.009873,643819477.7081035,5866299813.717977,2839172,35.314070611457495,111.75065368920515,79.69838751788991,1839.4378135632055,226.76311181855257,2066.2009253817578,nevada
new hampshire,31726577.998865053,179108811.93331665,137718551.8894586,5801397684.677336,348553941.8216403,6149951626.498976,1327503,23.899439774422394,134.92158732094515,103.74255417084451,4370.157871339903,262.56358126621205,4632.721452606115,new hampshire
new jersey,264224620.08836916,1224493331.4278145,853217180.9115132,26010273691.396015,2341935132.4276967,28352208823.82371,8915456,29.63669161603951,137.34500304054157,95.70090199665762,2917.436157095724,262.6825966532387,3180.1187537489627,new jersey
new mexico,53899231.35636494,287154199.101887,92811625.14864017,4423267697.935051,433865055.6068921,4857132753.541943,2082669,25.87988362834658,137.87798209983774,44.56379057288516,2123.845746940609,208.3216563010695,2332.167403241678,new mexico
new york,715936927.1865041,179108811.93331665,1474567195.32876,42083160834.05241,2369612934.4485807,44452773768.500984,19697457,36.34666785598284,9.092991645232004,74.86079016843443,2136.476847445455,120.30044966964927,2256.777297115104,new york
north carolina,230363634.32539943,1051968997.625369,673074167.0778724,26121180275.4572,1955406799.0286407,28076587074.48584,9940828,23.173485581422334,105.82307606824793,67.70805883351693,2627.6664554961817,196.7046204831872,2824.371075979369,north carolina
north dakota,19624409.291038953,87662749.20783626,53767693.63663118,459054758.1395696,161054852.1355064,620109610.2750759,736162,26.657731981600453,119.08078548992783,73.03785530444547,623.5784489549442,218.77637277597375,842.3548217309178,north dakota
ohio,338306060.96877825,179108811.93331668,880327681.8825337,58027904467.69197,1397742554.7846286,59425647022.4766,11586941,29.197185086968016,15.45781685893772,75.9758491807746,5008.043492039182,120.63085112668034,5128.674343165862,ohio
oklahoma,89177233.41007856,270423740.3435339,242489001.6066428,4904789821.17685,602089975.3602552,5506879796.537106,3875589,23.009982072422684,69.77616572436702,62.56829648516466,1265.5598468198898,155.35444428195436,1420.9142911018444,oklahoma
oregon,140877547.57323542,763586059.6166431,338267382.02985936,4295207220.687963,1242730989.2197378,5537938209.907701,3982267,35.376218514036204,191.74657540959535,84.94342092829521,1078.5834351860292,312.06621485192676,1390.649650037956,oregon
pennsylvania,383709178.6759027,1476134122.6305196,992571169.7941962,34131677165.698147,2852414471.1006184,36984091636.79877,12783977,30.014852082094855,115.46752021147407,77.64181442083292,2669.8794252913744,223.12418671440182,2893.003612005776,pennsylvania
rhode island,33153346.2671301,151685437.34115997,85515720.1882824,3646661516.591295,270354503.79657245,3917016020.387867,1054491,31.440141515793023,143.84706682291264,81.09668094680978,3458.2196686280818,256.3838892855154,3714.6035579135973,rhode island
south carolina,101400814.18857728,354812631.7396731,342614844.60429657,9805052633.07455,798828290.532547,10603880923.607098,4834605,20.97396047631136,73.39020080020458,70.86718451751416,2028.0979796849072,165.23134579403012,2193.3293254789373,south carolina
south dakota,19863899.906759564,179108811.93331662,62058495.4665698,426515375.61718667,261031207.306646,687546582.9238327,836795,23.738071937283998,214.0414461526618,74.16212509225056,509.7011521545739,311.94164318219634,821.6427953367703,south dakota
tennessee,174205139.42518732,622926086.4142662,500919156.3613594,16738079184.90088,1298050382.200813,18036129567.101692,6548009,26.604291384631164,95.13213656460555,76.49946057822453,2556.2089460935194,198.23588852746127,2754.4448346209806,tennessee
texas,537495577.8094622,1787278927.624623,1666492625.481215,18640384712.60738,3991267130.9153004,22631651843.522682,26956435,19.939416239924242,66.30249614330022,61.8216995489654,691.5003676341987,148.06361193218987,839.5639795663886,texas
utah,69472308.97069073,314055643.8031834,267639451.2714425,5875528062.119072,651167404.0453166,6526695466.164389,2948427,23.562499248138323,106.51633694956102,90.77364007026205,1992.7670117384869,220.85247626796138,2213.6194880064486,utah
vermont,18889627.398657463,179108811.93331665,52410810.54745081,1611413879.6117027,250409249.87942493,1861823129.4911275,626249,30.16312584715898,286.0025515942008,83.6900506786451,2573.120084202454,399.85572812000487,2972.9758123224588,vermont
virginia,220279718.41301727,179108811.93331668,764827868.5289638,16420447579.723545,1164216398.8752978,17584663978.598843,8310301,26.506827901061257,21.552626304789282,92.03371436593739,1975.914901244076,140.0931685717879,2116.0080698158636,virginia
washington,201367585.58197746,1521677625.6760967,708184103.808727,9178063698.155409,2431229315.066801,11609293013.22221,7073146,28.469309919797706,215.1344855140975,100.1229302786521,1297.5928530466372,343.7267257125473,1641.3195787591844,washington
