region,county.name,death_cost,death_cost_pc,health_cost,health_cost_pc,criminal_cost,criminal_cost_pc,productivity_cost,productivity_cost_pc,total_population,nonfatal_cost,total_cost,per_capita_nf_cost,per_capita_total_cost
1001,autauga,30820356.59233626,559.8713254071148,2900404.6803148636,52.6876906086371,1395040.5136894346,25.34179573996684,4779969.107607957,86.83117055001829,55049,9075414.301612254,39895770.89394851,164.8606568986222,724.7319823057369
1003,baldwin,107358883.1598393,538.1127921399394,14620003.110192973,73.2795504495663,5202369.037986143,26.07573073021975,18176005.021957107,91.10322801843068,199510,37998377.17013622,145357260.32997552,190.45850919821675,728.5713013381561
1005,barbour,7265027.518310744,272.9776628207238,780854.4117266862,29.339986913905694,693979.4976540685,26.075730730219753,1443167.0373531862,54.22585997419351,26614,2918000.946733941,10183028.465044685,109.64157761831896,382.6192404390428
1007,bibb,19894782.36291265,881.392094759554,1720400.833268301,76.2183605027601,627137.2737126354,27.78385937057573,1784306.0245556945,79.04953147951863,22572,4131844.131536631,24026626.49444928,183.05175135285447,1064.4438461124082
1009,blount,55569487.97521447,963.0092883546109,5109465.589613032,88.54612487198516,1603239.8211197024,27.783859370575737,4664082.256987086,80.82771137160483,57704,11376787.667719819,66946275.642934285,197.15769561416573,1160.1669839687765
1011,bullock,4585319.852085478,434.54509591409,417597.36837318516,39.575186540294276,267406.62864813005,25.341795739966834,599517.4840292534,56.81553108692697,10552,1284521.4810505686,5869841.333136046,121.73251336718808,556.277609281278
1013,butler,10806528.704809027,532.866306943246,939131.9179496708,46.30827997779442,528815.8192088566,26.07573073021975,1141267.073256279,56.275496708889506,20280,2609214.8104148065,13415743.515223833,128.65950741690366,661.5258143601495
1015,calhoun,69809347.30628102,602.4123236909729,7809506.498055556,67.39130414345121,3219676.9754404277,27.783859370575733,8407687.453302324,72.55324295455178,115883,19436870.926798306,89246218.23307931,167.7284064685787,770.1407301595516
1017,chambers,22644197.28833569,665.653397858066,2019388.043121668,59.36233885359716,862077.2074821921,25.341795739966845,2121250.910303265,62.3567202746565,34018,5002716.160907125,27646913.449242815,147.0608548682205,812.7142527262865
1019,cherokee,25397043.817840107,980.6944363378038,2025779.0009886818,78.22446619255828,624485.7344892921,24.114211471957837,1615506.3145750244,62.38198689327044,25897,4265771.050052999,29662814.867893107,164.72066455778656,1145.4151008955905
1021,chilton,39637465.478399396,904.6138594244105,3572650.196866696,81.53570981278261,1217405.3660405169,27.783859370575733,3405369.309535386,77.71799323402757,43817,8195424.872442598,47832890.35084199,187.0375624173859,1091.6514218417963
