state.name,criminal_cost,health_cost,productivity_cost,death_cost,total_nonfatal_cost,total_cost,total_population,criminal_cost_pc,health_cost_pc,productivity_cost_pc,death_cost_pc,per_capita_nf_cost,per_capita_total_cost,region
alabama,126846280.876168,289756270.75396466,422572342.08265424,4067541657.829227,839174893.7127869,4906716551.542014,4817678,26.32933975167456,60.14438298988946,87.71286542659227,844.2950437595097,174.1865881681563,1018.4816319276661,alabama
alaska,35143767.73035198,289756270.75396466,72455341.63120425,1235827277.283993,397355380.1155209,1633182657.399514,728300,48.25452111815458,397.85290505830653,99.485571373341,1696.8656834875642,545.5929975498021,2242.458681037366,alaska
arizona,204405239.90275514,1016968346.1711835,522944891.37601215,8929205839.299763,1744318477.4499507,10673524316.749714,6561516,31.152136168342064,154.9898447509971,79.69879085504206,1360.8449387763076,265.8407717743812,1626.6857105506888,arizona
arkansas,67045487.41750691,174243356.97811785,205538999.6779012,2799537876.2119293,446827844.07352597,3246365720.285455,2947036,22.750141979095915,59.124950281611035,69.74431248138849,949.9503488291047,151.61940474209544,1101.5697535712002,arkansas
california,1406631191.989868,5901351481.373399,3316610010.290956,26249503798.515156,10624592683.654222,36874096482.16938,38066920,36.95153671455079,155.02571475111196,87.12577771700353,689.562060668821,279.10302918266626,968.6650898514873,california
colorado,170228655.06168112,289756270.75396466,593060065.6127237,6761129422.933512,1053044991.4283695,7814174414.361881,5197580,32.751521873964634,55.74830416346928,114.10311445186485,1300.822579533843,202.60294048929876,1503.4255200231419,colorado
connecticut,104480952.26038496,289756270.75396466,374905994.84998333,9492618763.203907,769143217.8643329,10261761981.06824,3592053,29.086695619576037,80.66592301226197,104.37095300375115,2642.672244313741,214.12357163558914,2856.79581594933,connecticut
delaware,36264195.440420926,289756270.75396466,89804259.77530165,1946849042.1898432,415824725.9696872,2362673768.1595306,917060,39.54397252134094,315.9621734171861,97.92626412154237,2122.924391195607,453.4324100600694,2576.3568012556766,delaware
district of columbia,24816920.05235247,289756270.75396466,59174320.29231886,1087331402.9162612,373747511.09863603,1461078914.0148973,633736,39.15971327548454,457.21920603210907,93.37377124278699,1715.7482025895029,589.7526905503806,2305.500893139884,district of columbia
florida,536093451.12899387,2414219056.9715304,1382314672.3768146,26277660087.350574,4332627180.477339,30610287267.82791,19361792,27.688214558290568,124.68985603045061,71.39394289417088,1357.1915289323722,223.77201348291206,1580.9635424152843,florida
georgia,239115933.0378769,289756270.7539647,798184973.0904639,11862603410.936794,1327057176.8823056,13189660587.8191,9907756,24.134216974850503,29.245398327730793,80.5616300089005,1197.3047591136474,133.9412453114818,1331.246004425129,georgia
hawaii,27202929.07785723,175861859.06628215,106419803.40181163,750386763.5302163,309484591.545951,1059871355.0761673,1392704,19.532455624351787,126.27367988192908,76.41236285801695,538.7984550415712,222.2184983642978,761.016953405869,hawaii
idaho,47548801.91784667,289756270.75396466,140558661.4089672,1209433059.3625243,477863734.08077854,1687296793.4433029,1599464,29.727960065276037,181.15835727091368,87.87860271251319,756.1489720072001,298.7649200487029,1054.913892055903,idaho
illinois,312507468.65677595,1466722424.2927735,1016339483.9026889,19474102021.549267,2795569376.852238,22269671398.401505,12868747,24.284218864258964,113.97554278538334,78.97734596093069,1513.2865710662636,217.237107610573,1730.5236786768367,illinois
indiana,116924271.82759707,697431660.5119131,523266384.4647886,7919825885.506503,1337622316.8042986,9257448202.310802,6542411,17.871740529232582,106.60162752109476,79.98066530286596,1210.5362817326063,204.4540333531933,1414.9903150857997,indiana
iowa,56001200.32885048,129490622.83826627,222841358.9456496,2426503635.1560693,408333182.1127664,2834836817.2688355,3078116,18.193336550295857,42.06814260354914,72.39537397084761,788.3080543930344,132.65685312469265,920.9649075177269,iowa
kansas,63529719.861433424,289756270.7539646,226884697.05700102,2117748148.4899168,580170687.672399,2697918836.162316,2882946,22.036389117740473,100.50700594252012,78.69890627746791,734.5778063445922,201.2423013377285,935.8201076823208,kansas
kentucky,97871527.32092975,664957672.4565022,378275302.5725204,12969882519.254793,1141104502.3499522,14110987021.604746,4383272,22.32841752027475,151.7034928374288,86.29975565571117,2958.9499623237602,260.3316660134147,3219.281628337175,kentucky
louisiana,156616352.02976266,256045940.60155198,365215431.53524256,4169092047.1664443,777877724.1665572,4946969771.333001,4601049,34.0392706162796,55.649470501520845,79.37655772308501,906.117723842203,169.06529884088545,1075.1830226830884,louisiana
maine,22888283.116633236,199168007.52310985,103400631.71167453,3577717394.358678,325456922.3514176,3903174316.7100954,1328535,17.228212366729696,149.91551409869507,77.830566535074,2692.9794054042068,244.97429300049873,2937.9536984047054,maine
maryland,209525145.15955216,1341009222.623551,693224603.6216984,14764768260.621666,2243758971.4048014,17008527232.026466,5887776,35.58646680165009,227.7615898810605,117.73963609038428,2507.6987067139894,381.0876927730949,2888.786399487084,maryland
massachusetts,178412856.80956435,1481952883.2533736,713976595.3842676,22470188261.204617,2374342335.4472055,24844530596.65182,6657291,26.799618164440215,222.60599442827024,107.24731657130019,3375.2750572574664,356.65292916401063,3731.927986421477,massachusetts
michigan,270186894.307185,1271448460.2142248,826208866.8412048,18123014408.00113,2367844221.3626146,20490858629.363743,9889024,27.32189691391031,128.57168313214981,83.54806974289927,1832.6393391300426,239.4416497889594,2072.080988919002,michigan
minnesota,127254959.41372913,852981195.2414684,481670682.6596767,4619306499.874133,1461906837.3148742,6081213337.189007,5383661,23.637253425453263,158.4388755609739,89.4689845180959,858.0232856181199,271.54511350452304,1129.5683991226429,minnesota
mississippi,69289239.49043818,289756270.75396466,206729939.7049185,2131935878.4772553,565775449.9493213,2697711328.4265766,2984345,23.217570183888988,97.09208243482729,69.27146147811949,714.3731299421667,189.58111409683573,903.9542440390024,mississippi
missouri,137762231.28328177,289756270.75396466,479684635.87622947,9846393302.904182,907203137.913476,10753596440.817657,6028076,22.853433049497347,48.06778659624807,79.57508098375493,1633.422223426543,150.49630062950035,1783.9185240560432,missouri
montana,33678062.076307796,289756270.75396466,82990367.97189623,630650015.8018215,406424700.80216867,1037074716.6039901,1006370,33.46489072240607,287.9222062998347,82.46506550463172,626.6582030484032,403.85216252687246,1030.5103655752755,montana
nebraska,37937443.95737509,289756270.75396466,133335135.40675658,776084739.354513,461028850.11809635,1237113589.4726095,1855617,20.44465207926802,156.1509033135419,71.85487921632351,418.2354113777321,248.45043460913342,666.6858459868656,nebraska
nevada,89489941.47409531,360102625.6815454,223200528.11199656,5884020076.454789,672793095.2676373,6556813171.722426,2761584,32.405294017525925,130.39712921335922,80.82337097549687,2130.6685135975545,243.625794206382,2374.2943078039366,nevada
new hampshire,32588997.08243435,289756270.75396466,160241222.23416972,5526342520.742096,482586490.07056874,6008929010.812665,1321069,24.668656279448196,219.3346984555422,121.29663343411262,4183.23533497652,365.299988169103,4548.535323145623,new hampshire
new jersey,262823892.32225168,1566482761.4321156,932904855.3369,12105973221.262299,2762211509.0912676,14868184730.353565,8874374,29.616048672531907,176.51755058239777,105.12345494306415,1364.149541281706,311.25705419799385,1675.4065954796997,new jersey
