state.name,criminal_cost,health_cost,productivity_cost,death_cost,total_nonfatal_cost,total_cost,total_population,criminal_cost_pc,health_cost_pc,productivity_cost_pc,death_cost_pc,per_capita_nf_cost,per_capita_total_cost,region
ohio,109076980.2075351,1770939123.9853635,261649017.83692628,61432165231.29103,2141665122.0298247,63573830353.320854,11609756,9.395286189264882,152.538875406629,22.53699542323941,5291.426041278648,184.47115701913327,5475.897198297781,ohio
oklahoma,74817502.14236993,212239871.76061586,189815219.56296927,5833404149.631906,476872593.4659551,6310276743.09786,3896251,19.202433863313715,54.472843705555896,48.7174002811855,1497.1838697332141,122.39267785005511,1619.5765475832693,oklahoma
oregon,165501722.65823328,599294304.4325637,371480083.41519666,6014825809.787922,1136276110.5059936,7151101920.293916,4025127,41.117143051196464,148.88829704815865,92.2902764099609,1494.319510859638,282.295716509316,1776.615227368954,oregon
pennsylvania,216226866.39466032,1158531852.6050107,565142799.2548585,36284332031.20325,1939901518.2545295,38224233549.45778,12790505,16.905264209244304,90.57749108459836,44.18455715820904,2836.817782503759,151.6673124520517,2988.4850949558113,pennsylvania
rhode island,79496440.75236589,119049081.00281186,176085452.7080966,3921498961.8338885,374630974.46327436,4296129936.297163,1056138,75.27088387347665,112.72114155802733,166.72579976110754,3713.0554547169863,354.71782519261154,4067.773279909598,rhode island
south carolina,137669391.59788632,278471806.3725113,434286185.42954373,10927166146.320053,850427383.3999414,11777593529.719994,4893444,28.1334355921691,56.907120296566454,88.74857573307138,2233.021599168204,173.78913162180694,2406.810730790011,south carolina
south dakota,24302997.861929383,76733963.12072039,72879249.90063132,530309468.1483551,173916210.8832811,704225679.0316362,841153,28.892481940775795,91.22473928134404,86.6420852099812,630.4554202961353,206.75930643210108,837.2147267282364,south dakota
tennessee,144424952.18922013,488898469.2281565,401800324.3389389,18309632163.437946,1035123745.7563155,19344755909.194263,6597381,21.891255361668538,74.10493182494031,60.903004440540705,2775.287976158713,156.89919162714955,2932.187167785863,tennessee
texas,432128637.76981753,1402731320.5475798,1345711370.0178788,21575222046.246235,3180571328.335276,24755793374.581512,27419612,15.759837804043965,51.15795659499411,49.078424961588766,786.8536595720697,115.99621936062684,902.8498789326965,texas
utah,76680850.09370863,246484016.09196624,286812779.21230817,6656779376.493825,609977645.3979831,7266757021.891808,2993941,25.612011089633576,82.32761303311129,95.7977392381173,2223.4170200728154,203.7373633608622,2427.1543834336776,utah
vermont,27318699.947793156,90263761.24913813,71976384.68678103,1730483527.6420012,189558845.88371232,1920042373.5257134,624636,43.735391408425315,144.50617839691938,115.22932505776329,2770.3871176845414,303.470894863108,3073.858012547649,vermont
virginia,288005114.53514516,1277550739.289986,1004836404.8432328,17946788843.12591,2570392258.6683636,20517181101.794273,8365952,34.42586265557646,152.70835157672263,120.1102283210844,2145.217763994571,307.24444255338346,2452.4622065479543,virginia
washington,186537407.99596378,1194276300.313792,675442168.9596847,12266895329.010635,2056255877.2694407,14323151206.280075,7169967,26.01649463602326,166.56649888539124,94.204362301763,1710.8719369295054,286.7873558231775,1997.6592927526829,washington
west virginia,46710187.190720275,211628812.22021422,105215720.82506247,12225028792.051554,363554720.23599696,12588583512.28755,1836843,25.42960241605857,115.21333735121304,57.28073701729678,6655.456558917422,197.92367678456839,6853.3802357019895,west virginia
wisconsin,169136770.9341218,632910573.5085139,415685895.9436545,13578713487.06183,1217733240.3862903,14796446727.44812,5763217,29.347631875412947,109.81897324159648,72.12740661051883,2356.099637938643,211.29401172752827,2567.393649666171,wisconsin
wyoming,16236472.095807418,41757105.160420746,29542862.892973624,725686640.6240649,87536440.14920178,813223080.7732667,583200,27.84031566496471,71.59997455490526,50.656486441998666,1244.3186567628,150.09677666186863,1394.4154334246684,wyoming
