Census Division Code,Year,urbanization,cost,cost_pc,total_deaths,Census Division
CENS-D9,2010,Large Central Metro,20054.8242048043,762.6478469718488,3192,Pacific
CENS-D9,2010,Fringe/Small/Medium Metro,19812.654729361784,2915.6086194967647,3192,Pacific
CENS-D9,2010,Micropolitan/Rural,4146.637295571543,3181.70375500382,3192,Pacific
CENS-D9,2011,Large Central Metro,21001.626279930737,788.6327275161881,3321,Pacific
CENS-D9,2011,Fringe/Small/Medium Metro,21668.943055032167,3180.2209164612714,3321,Pacific
CENS-D9,2011,Micropolitan/Rural,3336.8148715356756,2362.166287712478,3321,Pacific
CENS-D9,2012,Large Central Metro,18322.134504932677,680.2687426059625,3078,Pacific
CENS-D9,2012,Fringe/Small/Medium Metro,19194.452668728856,2840.8417177774254,3078,Pacific
CENS-D9,2012,Micropolitan/Rural,3769.4969656685284,2812.439906128801,3078,Pacific
CENS-D9,2013,Large Central Metro,20585.984012372,757.2196258403733,3204,Pacific
CENS-D9,2013,Fringe/Small/Medium Metro,17632.198998020103,2570.5178808677956,3204,Pacific
CENS-D9,2013,Micropolitan/Rural,3192.620900710731,2303.403985336228,3204,Pacific
CENS-D9,2014,Large Central Metro,19539.742458637826,709.2047959513172,3339,Pacific
CENS-D9,2014,Fringe/Small/Medium Metro,18423.7994205472,2613.763464812261,3339,Pacific
CENS-D9,2014,Micropolitan/Rural,3236.916105321523,2388.893240390474,3339,Pacific
CENS-D9,2015,Large Central Metro,19120.32119040501,687.0289669257527,3343,Pacific
CENS-D9,2015,Fringe/Small/Medium Metro,18352.0084034231,2583.950597126378,3343,Pacific
CENS-D9,2015,Micropolitan/Rural,3483.1922241267835,2577.9652918964084,3343,Pacific
CENS-D9,2016,Large Central Metro,19525.190485099538,699.3732489458475,3383,Pacific
CENS-D9,2016,Fringe/Small/Medium Metro,17237.272327817616,2376.0893196019642,3383,Pacific
CENS-D9,2016,Micropolitan/Rural,3301.6390937299434,2471.9044158671168,3383,Pacific
CENS-D9,2017,Large Central Metro,21295.0357594258,757.0926793802964,3625,Pacific
CENS-D9,2017,Fringe/Small/Medium Metro,17956.67582529797,2463.3085168321436,3625,Pacific
CENS-D9,2017,Micropolitan/Rural,2862.490655442018,1900.2784550407632,3625,Pacific
CENS-D9,2018,Large Central Metro,23164.228028211663,822.6151171551512,3805,Pacific
CENS-D9,2018,Fringe/Small/Medium Metro,18072.785698899468,2460.748550691664,3805,Pacific
CENS-D9,2018,Micropolitan/Rural,2825.1234495744047,2031.8433781961817,3805,Pacific
