state.name,criminal_cost,health_cost,productivity_cost,death_cost,total_nonfatal_cost,total_cost,total_population,criminal_cost_pc,health_cost_pc,productivity_cost_pc,death_cost_pc,per_capita_nf_cost,per_capita_total_cost,region
alabama,109047407.42748,182069382.51231486,354963055.16472274,4782210059.187338,646079845.1045176,5428289904.291856,4830620,22.574205262984876,37.69068618775951,73.48188331202263,989.978524327589,133.74677476276702,1123.725299090356,alabama
alaska,38007208.42702144,151363030.8385884,76213098.36719792,1327243379.1481164,265583337.63280773,1592826716.780924,725461,52.39042267885033,208.64392550197513,105.05471468100686,1829.5172023694124,366.0890628618323,2195.606265231245,alaska
arizona,187235334.6170202,1064153445.0950718,456299918.5862318,10052043488.900326,1707688698.2983236,11759732187.19865,6641928,28.189907300563963,160.21755205643177,68.69991944902623,1513.4225316655534,257.1073788060219,1770.5299104715755,arizona
arkansas,73866683.69959678,225613871.2448612,212180827.15610677,2303147291.802034,511661382.1005647,2814808673.9025984,2958208,24.970077729353978,76.26707494701562,71.72613526706262,778.5616467138328,172.96328794343222,951.5249346572649,arkansas
california,1294029617.5955963,6102285610.694323,2829889986.0714087,25896063003.433617,10226205214.361328,36122268217.794945,38421464,33.6798623185102,158.82491127080223,73.65388226933281,673.9999028520521,266.15865585864526,940.1585587106973,california
colorado,161537165.662463,663192176.8284677,526113846.10847366,7239594275.641179,1350843188.5994043,8590437464.240583,5278906,30.6005004943189,125.63060922631843,99.66342384359064,1371.4194334282859,255.89453356422794,1627.3139669925138,colorado
connecticut,106894699.35852502,182069382.51231483,350247174.1094903,11640936689.887224,639211255.9803301,12280147945.867554,3593222,29.74898276770125,50.67022925728352,97.47440433947311,3239.693147233103,177.8936163644579,3417.5867635975605,connecticut
delaware,40042105.802607656,182069382.51231483,90989103.06182984,2193378893.60492,313100591.3767523,2506479484.9816723,926454,43.2208245661497,196.5228522002332,98.21221891408514,2367.498973078987,337.955895680468,2705.454868759455,delaware
district of columbia,27861768.828827858,182069382.51231483,60305056.322854,2266277075.7806153,270236207.6639967,2536513283.444612,647484,43.03082211889075,281.1951839926775,93.13752358800217,3500.128305534369,417.3635296995705,3917.4918352339396,district of columbia
florida,570204435.6323931,2742750689.9907184,1355794547.6141837,38800177938.89822,4668749673.237295,43468927612.13551,19645772,29.024282457945308,139.6102270753584,69.01202699563976,1974.9887120189635,237.6465365289435,2212.635248547907,florida
georgia,220581958.4480913,489801790.8408398,722505572.1068645,12489957246.460196,1432889321.3957956,13922846567.855991,10006693,22.04344216896544,48.94741857683051,72.20223225663707,1248.1603309365237,143.19309300243302,1391.353423938957,georgia
hawaii,24910283.31975633,165957332.61076257,91049989.56288084,927092786.640567,281917605.49339974,1209010392.1339667,1406299,17.713362037345068,118.00999119729344,64.74440326195271,659.2430106546096,200.46775649659122,859.7107671512009,hawaii
idaho,47869813.47511411,182069382.5123148,135905244.88458633,1586780179.3641095,365844440.87201524,1952624620.2361248,1616547,29.612385829248456,112.6285734422289,84.071322939937,981.5861706242439,226.31228221141436,1207.8984528356582,idaho
illinois,305205886.2911876,1549085141.0484545,962222925.4833509,26621261887.243996,2816513952.822993,29437775840.06699,12873761,23.70759300962536,120.32887211813662,74.74295394200271,2067.869823530513,218.77941906976469,2286.6492426002774,illinois
indiana,135216648.78274414,726922143.7543478,531109128.1501979,11374138233.871134,1393247920.68729,12767386154.558424,6568645,20.58516616177981,110.66546353994588,80.85520349329244,1731.5805975008748,212.10583319501814,1943.686430695893,indiana
iowa,66588314.08057139,192042370.1987182,242843045.43366802,2528872824.3840084,501473729.7129576,3030346554.096966,3093526,21.525053961263424,62.07879623404432,78.5004055028689,817.4726265058088,162.10425569817664,979.5768822039853,iowa
kansas,66240007.97065636,182069382.51231486,215851616.3854549,2034540992.4814324,464161006.8684261,2498701999.3498583,2892987,22.896752723277483,62.934739254726985,74.6120243144732,703.2665520036669,160.44351629247765,863.7100682961445,kansas
kentucky,111175179.95651756,636132916.6953847,355560452.1389593,14079649866.014904,1102868548.7908616,15182518414.805765,4397353,25.282295953160357,144.6626906448913,80.85783700761783,3201.8466259167512,250.80282360566952,3452.6494495224206,kentucky
louisiana,146770006.76150465,415727220.7443642,307431267.34101903,4943940375.396422,869928494.846888,5813868870.24331,4625253,31.732319672351903,89.8820498563785,66.46798939236817,1068.9016093598389,188.08235892109857,1256.9839682809372,louisiana
