Series ID,Year,Period,Label,Value
CUUR0000SAM2,2015,M04,2015 Apr,476.163
CUUR0000SAM2,2015,M05,2015 May,476.800
CUUR0000SAM2,2015,M06,2015 Jun,475.546
CUUR0000SAM2,2015,M07,2015 Jul,475.956
CUUR0000SAM2,2015,M08,2015 Aug,475.189
CUUR0000SAM2,2015,M09,2015 Sep,476.466
CUUR0000SAM2,2015,M10,2015 Oct,480.245
CUUR0000SAM2,2015,M11,2015 Nov,481.894
CUUR0000SAM2,2015,M12,2015 Dec,481.983
CUUR0000SAM2,2016,M01,2016 Jan,485.321
CUUR0000SAM2,2016,M02,2016 Feb,489.432
CUUR0000SAM2,2016,M03,2016 Mar,489.520
CUUR0000SAM2,2016,M04,2016 Apr,490.848
CUUR0000SAM2,2016,M05,2016 May,493.270
CUUR0000SAM2,2016,M06,2016 Jun,493.438
CUUR0000SAM2,2016,M07,2016 Jul,495.431
CUUR0000SAM2,2016,M08,2016 Aug,499.187
CUUR0000SAM2,2016,M09,2016 Sep,499.483
CUUR0000SAM2,2016,M10,2016 Oct,499.717
CUUR0000SAM2,2016,M11,2016 Nov,500.697
CUUR0000SAM2,2016,M12,2016 Dec,500.845
CUUR0000SAM2,2017,M01,2017 Jan,502.948
CUUR0000SAM2,2017,M02,2017 Feb,506.105
CUUR0000SAM2,2017,M03,2017 Mar,505.991
CUUR0000SAM2,2017,M04,2017 Apr,505.855
CUUR0000SAM2,2017,M05,2017 May,505.611
CUUR0000SAM2,2017,M06,2017 Jun,505.813
CUUR0000SAM2,2017,M07,2017 Jul,506.681
CUUR0000SAM2,2017,M08,2017 Aug,507.390
CUUR0000SAM2,2017,M09,2017 Sep,508.078
CUUR0000SAM2,2017,M10,2017 Oct,509.256
CUUR0000SAM2,2017,M11,2017 Nov,508.879
CUUR0000SAM2,2017,M12,2017 Dec,509.045
